chr	position	value	color
1	14961714	0.233	a
1	15019673	0.233	a
1	15056854	0.074	a
1	15071704	0.233	a
1	15082048	0.233	a
1	15082884	0.233	a
1	15084604	0.405	a
1	15084931	0.233	a
1	15091934	0.233	a
1	15092974	0.233	a
1	15138140	0.521	a
1	15158530	0.381	a
1	15179650	0.521	a
1	15184161	0.521	a
1	15230360	0.191	a
1	15289546	0.349	a
1	15291850	0.349	a
1	15336968	0.515	a
1	15354882	0.455	a
1	15398062	0.349	a
1	15399057	0.521	a
1	15408449	0.521	a
1	15550596	0.075	a
1	15860347	0.646	a
1	15879196	0.499	a
1	16354694	2.097	a
1	16441184	1.767	a
1	16642081	1.137	a
1	17657357	0.103	a
1	17788970	1.087	a
1	17829496	1.623	a
1	17869085	1.623	a
1	17890466	1.623	a
1	18029655	0.66	a
1	18173804	0.28	a
1	18194369	0.492	a
1	18346079	0.588	a
1	18350491	0.48	a
1	18366610	0.588	a
1	18401850	0.588	a
1	18467471	0.936	a
1	18475062	0.577	a
1	18482050	0.664	a
1	18483721	0.931	a
1	18497219	0.304	a
1	18618535	0.037	a
1	18645233	0.336	a
1	18775790	0.204	a
1	18801714	0.181	a
1	19099360	1.586	a
1	19104820	0.704	a
1	19193604	0.854	a
1	19353970	1.895	a
1	19378221	1.807	a
1	19853882	0.277	a
1	19926360	0.558	a
1	20021194	0.155	a
1	20088908	0.581	a
1	20115296	0.26	a
1	20143376	0.007	a
1	20374377	0.241	a
1	20456920	0.468	a
1	22099377	0.291	a
1	22798283	0.556	a
1	22808962	0.492	a
1	22863343	0.666	a
1	22876979	1.477	a
1	22883398	0.811	a
1	22940489	1.134	a
1	22945671	0.729	a
1	22960547	0.766	a
1	22975646	0.805	a
1	23013129	1.182	a
1	23063142	0.772	a
1	23146371	0.464	a
1	23164083	0.232	a
1	23214968	0.46	a
1	23215792	0.15	a
1	23217030	0.072	a
1	23240846	0.01	a
1	23270183	0.424	a
1	23314706	1.361	a
1	23327500	1.361	a
1	23406628	0.213	a
1	23407001	0.703	a
1	23411347	0.188	a
1	23418232	0.271	a
1	23469669	0.262	a
1	23469714	0.188	a
1	23489004	0.262	a
1	23516065	0.829	a
1	23516289	0.829	a
1	23535538	0.434	a
1	23546661	0.076	a
1	23549371	0.231	a
1	23619639	0.253	a
1	23625608	0.762	a
1	23650747	2.104	a
1	23660895	1.129	a
1	23663315	1.129	a
1	23686645	1.346	a
1	23691216	1.419	a
1	23696001	0.328	a
1	23716864	1.13	a
1	23768350	0.402	a
1	23769055	0.603	a
1	23773523	0.155	a
1	23786142	0.384	a
1	23786625	0.424	a
1	23796867	0.281	a
1	23799614	0.91	a
1	23811378	0.603	a
1	23818796	0.603	a
1	23822539	0.244	a
1	23822951	0.623	a
1	23823042	0.008	a
1	23849586	0.492	a
1	23851900	0.339	a
1	23861627	0.492	a
1	23874990	1.546	a
1	23878351	0.417	a
1	23926456	0.119	a
1	23929244	0.492	a
1	23957455	0.626	a
1	24001565	0.13	a
1	24007707	0.13	a
1	24031445	0.351	a
1	24045027	0.505	a
1	24046228	0.13	a
1	24057384	1.199	a
1	24087720	0.255	a
1	24091537	1.294	a
1	24096996	0.969	a
1	24098320	0.203	a
1	24102997	0.133	a
1	24114893	0.603	a
1	24191684	0.416	a
1	24220863	0.234	a
1	24229297	0.616	a
1	24241415	0.358	a
1	24262715	0.358	a
1	24262979	0.358	a
1	24271755	0.358	a
1	24274728	0.351	a
1	24288842	0.416	a
1	24309212	0.2	a
1	24323528	0.735	a
1	24345761	0.252	a
1	24380775	0.252	a
1	24402246	2.209	a
1	24426585	0.735	a
1	24439350	0.272	a
1	24509299	0.571	a
1	24577658	0.187	a
1	24581731	0.315	a
1	24593899	0.032	a
1	24635304	0.197	a
1	24656857	0.197	a
1	24659225	0.267	a
1	24669577	0.135	a
1	24670493	0.18	a
1	24683094	0.213	a
1	24686909	0.197	a
1	24687874	0.205	a
1	24698481	0.309	a
1	24705406	0.135	a
1	24734232	0.007	a
1	24737775	0.642	a
1	24750977	0.126	a
1	24759964	0.17	a
1	24790331	0.221	a
1	24875080	0.141	a
1	24885239	0.141	a
1	24904504	0.98	a
1	24929132	0.141	a
1	24970433	0.046	a
1	24974602	0.01	a
1	24976015	0.019	a
1	24976129	0.046	a
1	25002724	0.539	a
1	25013981	0.286	a
1	25080653	0.088	a
1	25086345	0.064	a
1	25097475	0.255	a
1	25097645	0.016	a
1	25097700	0.016	a
1	25128963	0.15	a
1	25129940	0.241	a
1	25149714	0.01	a
1	25172857	0.482	a
1	25248319	0.321	a
1	25334036	0.295	a
1	25346573	0.071	a
1	25370332	0.012	a
1	25372698	0.064	a
1	25373625	0.012	a
1	25427180	0.005	a
1	25431268	1.613	a
1	25609182	0.154	a
1	25617767	0.154	a
1	25667151	0.626	a
1	25852378	0.356	a
1	25876358	0.356	a
1	26000727	0.694	a
1	26000795	0.694	a
1	26004360	0.694	a
1	26004839	0.694	a
1	26030481	0.694	a
1	26049271	0.637	a
1	26104782	0.677	a
1	26143638	0.396	a
1	26145081	0.195	a
1	26157242	0.273	a
1	26198485	0.377	a
1	26218497	0.341	a
1	26314452	0.15	a
1	26421330	0.76	a
1	26422536	0.284	a
1	26443106	0.49	a
1	26466540	0.779	a
1	26581005	0.064	a
1	26582181	0.273	a
1	26644501	0.349	a
1	26683822	0.529	a
1	26708949	0.622	a
1	26715164	0.401	a
1	26738177	0.093	a
1	26744671	0.325	a
1	26758841	0.475	a
1	27007084	0.015	a
1	27076634	0.463	a
1	27120174	0.188	a
1	27269678	0.112	a
1	27645558	1.05	a
1	27787976	0.286	a
1	27832036	0.208	a
1	27846167	0.147	a
1	27885640	0.919	a
1	27950475	1.159	a
1	27968530	1.159	a
1	28031002	0.136	a
1	28074484	0.349	a
1	28178664	0.296	a
1	28181922	0.163	a
1	28196582	0.163	a
1	28199612	0.163	a
1	28200276	0.163	a
1	28272399	0.534	a
1	28272461	0.214	a
1	28343516	0.452	a
1	28351199	0.111	a
1	28400598	1.056	a
1	28411063	0.58	a
1	28482844	0.139	a
1	28484596	0.702	a
1	28497304	0.057	a
1	28517163	0.352	a
1	28523816	0.12	a
1	28523881	0.062	a
1	28523890	0.422	a
1	28531210	0.12	a
1	28537814	0.062	a
1	28544190	0.114	a
1	28547757	0.103	a
1	28567342	0.048	a
1	28568650	0.255	a
1	28607821	0.357	a
1	28629338	0.448	a
1	28632249	0.095	a
1	28680669	0.043	a
1	28692225	0.043	a
1	28719682	0.077	a
1	28735037	0.043	a
1	28738686	0.043	a
1	28814643	0.47	a
1	28850670	0.43	a
1	28867155	0.296	a
1	28920130	0.159	a
1	28925965	0.454	a
1	28959674	1.105	a
1	28964934	0.319	a
1	28988494	0.184	a
1	28989164	0.725	a
1	29080004	0.491	a
1	29129432	0.983	a
1	29133920	0.983	a
1	29162153	0.857	a
1	29170154	1.064	a
1	29186489	0.579	a
1	29197170	0.863	a
1	29208873	0.775	a
1	29213548	0.78	a
1	29267946	0.181	a
1	29342510	0.265	a
1	29450489	0.859	a
1	29452446	0.311	a
1	29470876	0.248	a
1	29491750	0.248	a
1	29550256	1.41	a
1	29565674	0.279	a
1	29570745	0.279	a
1	29572540	0.124	a
1	29577577	0.279	a
1	29578117	0.279	a
1	29578468	0.279	a
1	29597898	1.733	a
1	29598583	1.733	a
1	29659119	1.41	a
1	29676961	1.41	a
1	29731711	1.032	a
1	29738603	1.032	a
1	29760627	0.833	a
1	29793606	0.17	a
1	29804086	1.032	a
1	29809509	0.923	a
1	29814711	0.002	a
1	29819206	0.017	a
1	29825287	0.017	a
1	29916087	1.628	a
1	29924087	1.307	a
1	29962420	1.263	a
1	29990968	1.263	a
1	30051094	0.864	a
1	30095490	0.075	a
1	30156083	0.163	a
1	30158736	0.163	a
1	30162970	0.163	a
1	30194584	0.163	a
1	30214700	0.219	a
1	30230712	0.163	a
1	30238767	0.944	a
1	30644539	1.267	a
1	30651403	0.106	a
1	30652749	1.267	a
1	30653010	1.283	a
1	30660227	0.417	a
1	30690713	1.283	a
1	30705567	1.283	a
1	30719113	0.463	a
1	30721131	1.267	a
1	30741198	1.267	a
1	30816469	0.568	a
1	30886549	0.112	a
1	30890323	0.721	a
1	31140135	0.037	a
1	31343459	0.066	a
1	31368744	0.463	a
1	31377374	0.463	a
1	31425738	0.463	a
1	31433301	0.918	a
1	31483549	1.243	a
1	31493683	0.573	a
1	31536975	0.528	a
1	31627034	0.976	a
1	31651440	0.713	a
1	31664316	1.149	a
1	31670373	1.629	a
1	31673745	0.489	a
1	31679986	1.629	a
1	31691649	0.489	a
1	31691987	1.514	a
1	31693179	1.453	a
1	31726153	0.255	a
1	31758792	0.727	a
1	31780642	0.741	a
1	31785512	0.97	a
1	31818670	0.085	a
1	31842940	0.054	a
1	31866975	0.056	a
1	31911360	0.115	a
1	31911746	0.115	a
1	31942796	0.235	a
1	31973179	0.448	a
1	31982716	0.463	a
1	31984491	0.037	a
1	31989739	0.439	a
1	31993746	0.439	a
1	32040921	0.115	a
1	32044428	0.374	a
1	32055675	0.115	a
1	32055926	0.463	a
1	32082013	0.115	a
1	32082538	0.569	a
1	32111561	0.378	a
1	32113809	0.378	a
1	32123878	0.353	a
1	32166065	0.368	a
1	32202167	0.368	a
1	32238561	0.691	a
1	32257672	0.324	a
1	32259996	0.368	a
1	32275332	0.266	a
1	32301957	0.336	a
1	32376808	0.066	a
1	32426661	0.066	a
1	32455561	0.72	a
1	32458235	0.766	a
1	32458777	0.283	a
1	32479185	0.822	a
1	32491952	0.875	a
1	32496367	0.875	a
1	32498239	0.379	a
1	32575057	0.064	a
1	32677191	0.191	a
1	32720083	1.026	a
1	32721348	0.031	a
1	32721406	0.196	a
1	32725062	0.196	a
1	32756166	0.196	a
1	32767462	1.028	a
1	32831238	0.241	a
1	32931459	0.401	a
1	33099591	0.192	a
1	33100616	0.192	a
1	33100653	0.164	a
1	33143634	0.23	a
1	33230709	0.064	a
1	33241150	0.064	a
1	33243693	0.064	a
1	33284739	0.12	a
1	33322188	0.195	a
1	33322885	0.12	a
1	33361997	0.274	a
1	33429107	0.182	a
1	33436151	0.174	a
1	33662513	0.273	a
1	33664600	0.273	a
1	33667958	0.273	a
1	33683047	0.273	a
1	33683881	0.273	a
1	33794443	0.003	a
1	33830142	0.313	a
1	33903977	0.408	a
1	33918792	0.34	a
1	33918911	1.012	a
1	33932272	0.34	a
1	33941739	0.34	a
1	33960735	0.408	a
1	33989348	1.029	a
1	34015555	0.529	a
1	34015930	0.39	a
1	34045966	0.819	a
1	34072574	0.86	a
1	34090537	0.992	a
1	34092607	1.016	a
1	34093077	0.317	a
1	34105163	1.016	a
1	34112137	1.016	a
1	34166765	0.483	a
1	34187110	0.525	a
1	34188559	0.896	a
1	34190517	0.433	a
1	34197402	0.364	a
1	34199853	0.478	a
1	34216560	0.389	a
1	34220562	0.182	a
1	34222362	0.097	a
1	34428365	0.095	a
1	34594945	0.284	a
1	34602608	0.051	a
1	34784943	0.086	a
1	34798315	0.052	a
1	34830746	0.056	a
1	34832966	0.095	a
1	34884388	0.535	a
1	35005823	0.05	a
1	35067717	0.879	a
1	35077837	0.715	a
1	35123085	0.982	a
1	35195353	0.577	a
1	35202718	0.672	a
1	35204318	0.784	a
1	35235647	0.664	a
1	35295945	0.102	a
1	35389283	0.023	a
1	35950607	0.333	a
1	36025608	0.06	a
1	36389601	0.315	a
1	36803640	0.279	a
1	37201161	0.397	a
1	37649293	1.412	a
1	37703154	0.11	a
1	37953423	0.244	a
1	37969951	0.244	a
1	38021810	0.238	a
1	38032690	0.238	a
1	38058193	0.238	a
1	38139533	0.04	a
1	38147017	0.349	a
1	38194248	0.191	a
1	38222914	0.191	a
1	38244670	0.191	a
1	38247176	0.093	a
1	38290645	0.191	a
1	38316085	0.191	a
1	38324525	0.191	a
1	38327207	0.191	a
1	38363752	0.191	a
1	38364219	0.191	a
1	38395936	0.256	a
1	38422693	0.191	a
1	38497995	0.098	a
1	38512566	0.098	a
1	38533167	0.044	a
1	38546438	0.033	a
1	38564944	0.033	a
1	38681576	0.044	a
1	38763571	0.266	a
1	38767606	0.266	a
1	38777614	0.266	a
1	38783718	0.266	a
1	38787320	0.266	a
1	38806069	0.534	a
1	38816208	0.266	a
1	38840411	0.016	a
1	38916246	0.216	a
1	39102559	0.698	a
1	39102754	0.698	a
1	39105009	0.445	a
1	39132475	0.698	a
1	39133332	0.096	a
1	39192998	0.07	a
1	39261971	0.216	a
1	39285925	0.183	a
1	39334418	0.234	a
1	39340193	0.15	a
1	39349932	0.158	a
1	39378816	0.402	a
1	39391825	0.439	a
1	39442169	0.895	a
1	39480971	0.194	a
1	39506563	0.007	a
1	39520679	0.059	a
1	39554943	0.024	a
1	39557740	0.294	a
1	39642134	0.342	a
1	39672678	0.304	a
1	39674069	0.304	a
1	39681298	0.304	a
1	39711313	0.304	a
1	39748150	0.355	a
1	40487109	0.254	a
1	40494094	1.445	a
1	40504708	1.452	a
1	40541596	0.099	a
1	40546611	3.526	a
1	40552823	0.025	a
1	40566873	0.068	a
1	40567744	0.025	a
1	40571598	0.025	a
1	40638606	0.209	a
1	40687872	1.515	a
1	40847418	0.704	a
1	40857626	0.144	a
1	40884773	0.989	a
1	40889623	0.299	a
1	41240052	0.527	a
1	41277835	0.477	a
1	41278045	0.2	a
1	41279975	0.358	a
1	41281816	0.141	a
1	41337865	0.693	a
1	41350616	0.056	a
1	41373066	0.205	a
1	41538412	0.644	a
1	41590329	0.679	a
1	41641380	0.155	a
1	41748322	0.556	a
1	41761085	0.717	a
1	41765999	0.347	a
1	41836943	1.413	a
1	41944363	0.42	a
1	42008444	1.049	a
1	42179535	1.6	a
1	42204071	0.048	a
1	42255958	0.019	a
1	42286209	0.61	a
1	42318520	0.226	a
1	42323424	0.186	a
1	42358197	0.253	a
1	42383332	0.56	a
1	42402034	1.366	a
1	42416655	0.464	a
1	42417020	0.44	a
1	42432833	0.395	a
1	42454133	0.688	a
1	42454458	0.032	a
1	42492640	1.1	a
1	42515932	0.23	a
1	42524334	0.888	a
1	42572689	0.222	a
1	42572910	0.402	a
1	42583795	0.114	a
1	42642655	0.314	a
1	42732138	2.521	a
1	43065235	0.956	a
1	43086149	0.113	a
1	43140074	0.062	a
1	43158752	0.956	a
1	43159747	0.366	a
1	43170082	0.037	a
1	43240953	0.27	a
2	83883	1.213	b
2	436035	0.243	b
2	711858	0.563	b
2	2112247	0.811	b
2	2114354	0.811	b
2	2124768	0.947	b
2	2146297	0.947	b
2	2147386	0.947	b
2	2389826	0.578	b
2	2414916	0.824	b
2	2466196	0.824	b
2	2478701	0.824	b
2	2516169	0.824	b
2	2557387	0.824	b
2	2880684	1.341	b
2	2926002	0.798	b
2	2932652	2.265	b
2	2963170	2.135	b
2	2969977	2.02	b
2	2971671	1.458	b
2	3001888	2.135	b
2	3021146	0.369	b
2	3096120	0.132	b
2	3121159	0.642	b
2	3144367	0.422	b
2	3162055	0.783	b
2	3176714	0.09	b
2	3234545	1.471	b
2	3358815	0.566	b
2	3359245	0.566	b
2	3381340	0.566	b
2	3403833	1.283	b
2	3432313	0.85	b
2	3433765	0.525	b
2	3433904	0.31	b
2	3444474	0.298	b
2	3454166	0.566	b
2	3456709	0.566	b
2	3544180	0.06	b
2	3597465	0.127	b
2	3637572	0.329	b
2	3784938	2.598	b
2	3873813	1.406	b
2	3960866	2.629	b
2	3993406	1.613	b
2	4058123	0.926	b
2	4058190	0.876	b
2	4153191	1.434	b
2	4186532	0.207	b
2	4234893	0.287	b
2	4384644	0.873	b
2	4402043	1.227	b
2	4490731	0.531	b
2	4502139	0.479	b
2	4567381	0.636	b
2	4646715	0.297	b
2	4657769	0.054	b
2	4730683	0.966	b
2	4734515	0.966	b
2	4737418	1.122	b
2	4752629	0.966	b
2	4775905	1.838	b
2	4801163	1.126	b
2	4807537	0.621	b
2	4810587	0.889	b
2	4839971	0.279	b
2	5250285	1.131	b
2	5285489	0.206	b
2	5481849	0.025	b
2	5751338	0.265	b
2	6096313	0.21	b
2	6109854	0.21	b
2	6135944	0.21	b
2	6136052	0.21	b
2	6163505	0.057	b
2	6493425	0.012	b
2	6494693	0.021	b
2	6520662	0.229	b
2	6555829	0.021	b
2	6558248	0.013	b
2	6558357	0.025	b
2	6600797	0.021	b
2	6612753	0.021	b
2	6620211	0.021	b
2	6630659	0.004	b
2	6636459	0.094	b
2	6640860	1.352	b
2	6763367	0.175	b
2	6780013	0.139	b
2	6806704	0.03	b
2	6810412	0.185	b
2	6810638	0.011	b
2	6817264	0.109	b
2	6818164	0.192	b
2	6824188	0.407	b
2	6934136	0.133	b
2	6934158	0.178	b
2	6946081	0.125	b
2	6951106	0.134	b
2	6951330	0.134	b
2	6962707	0.317	b
2	6981919	0.267	b
2	6989123	0.04	b
2	6996116	0.134	b
2	7008728	0.052	b
2	7016151	0.052	b
2	7043110	0.02	b
2	7050865	0.209	b
2	7120749	0.766	b
2	7129315	0.766	b
2	7145385	0.915	b
2	7155350	1.709	b
2	7171248	0.575	b
2	7172938	1.041	b
2	7174888	0.452	b
2	7218379	0.915	b
2	7225747	0.802	b
2	7263904	0.965	b
2	7301442	0.085	b
2	7472624	0.063	b
2	7522362	0.27	b
2	7725033	0.095	b
2	7828002	0.491	b
2	7964138	2.102	b
