chr	start	stop	color
1	8600001	8700000	A
1	8700001	8800000	A
1	8800001	8900000	C
1	8900001	9000000	C
1	9000001	9100000	A
1	9100001	9200000	A
1	9200001	9300000	A
1	9300001	9400000	A
1	9400001	9500000	A
1	9500001	9600000	B
1	9600001	9700000	B
1	9700001	9800000	B
1	9800001	9900000	B
1	9900001	10000000	A
1	10000001	10100000	A
1	10100001	10200000	B
1	10200001	10300000	A
1	10300001	10400000	A
1	10400001	10500000	B
1	10500001	10600000	A
1	10600001	10700000	A
1	10700001	10800000	A
1	10800001	10900000	A
1	10900001	11000000	A
1	11000001	11100000	A
1	11100001	11200000	A
1	11200001	11300000	A
1	11300001	11400000	A
1	11400001	11500000	A
1	11500001	11600000	A
1	11600001	11700000	A
1	11700001	11800000	A
1	11800001	11900000	A
1	11900001	12000000	A
1	12000001	12100000	A
1	12100001	12200000	A
1	12200001	12300000	A
1	12300001	12400000	A
1	12400001	12500000	C
1	12500001	12600000	A
1	12600001	12700000	A
1	12700001	12800000	A
1	12800001	12900000	A
1	12900001	13000000	A
1	13000001	13100000	A
1	13100001	13200000	A
1	13200001	13300000	A
1	13300001	13400000	A
1	13400001	13500000	A
1	13500001	13600000	A
1	13600001	13700000	A
1	13700001	13800000	A
1	13800001	13900000	A
1	13900001	14000000	A
1	14000001	14100000	A
1	14100001	14200000	A
1	14200001	14300000	A
1	14300001	14400000	C
1	14400001	14500000	A
1	14500001	14600000	A
1	14600001	14700000	A
1	14700001	14800000	A
1	14800001	14900000	B
1	14900001	15000000	B
1	15000001	15100000	B
1	15100001	15200000	B
1	15200001	15300000	B
1	15300001	15400000	B
1	15400001	15500000	B
1	15500001	15600000	B
1	15600001	15700000	B
1	15700001	15800000	B
1	15800001	15900000	B
1	15900001	16000000	B
1	16000001	16100000	B
1	16100001	16200000	B
1	16200001	16300000	B
1	16300001	16400000	B
1	16400001	16500000	B
1	16500001	16600000	B
1	16600001	16700000	B
1	16700001	16800000	B
1	16800001	16900000	B
1	16900001	17000000	B
1	17000001	17100000	B
1	17100001	17200000	B
1	17200001	17300000	B
1	17300001	17400000	B
1	17400001	17500000	B
1	17500001	17600000	B
1	17600001	17700000	B
1	17700001	17800000	B
1	17800001	17900000	B
1	17900001	18000000	B
1	18000001	18100000	B
1	18100001	18200000	B
1	18200001	18300000	B
1	18300001	18400000	B
1	18400001	18500000	B
1	18500001	18600000	C
1	18600001	18700000	C
1	18700001	18800000	C
1	18800001	18900000	B
1	18900001	19000000	C
1	19000001	19100000	C
1	19100001	19200000	B
1	19200001	19300000	C
1	19300001	19400000	B
1	19400001	19500000	B
1	19500001	19600000	B
1	19600001	19700000	B
1	19700001	19800000	A
1	19800001	19900000	B
1	19900001	20000000	B
1	20000001	20100000	B
1	20100001	20200000	B
1	20200001	20300000	B
1	20300001	20400000	B
1	20400001	20500000	C
1	20500001	20600000	C
1	20600001	20700000	C
1	20700001	20800000	B
1	20800001	20900000	B
1	20900001	21000000	C
1	21000001	21100000	A
1	21100001	21200000	A
1	21200001	21300000	A
1	21300001	21400000	A
1	21400001	21500000	A
1	21500001	21600000	A
1	21600001	21700000	A
1	21700001	21800000	A
1	21800001	21900000	A
1	21900001	22000000	A
1	22000001	22100000	A
1	22100001	22200000	A
1	22200001	22300000	A
1	22300001	22400000	A
1	22400001	22500000	A
1	22500001	22600000	A
1	22600001	22700000	A
1	22700001	22800000	A
1	22800001	22900000	A
1	22900001	23000000	A
1	23000001	23100000	A
1	23100001	23200000	A
1	23200001	23300000	A
1	23300001	23400000	A
1	23400001	23500000	A
1	23500001	23600000	A
1	23600001	23700000	A
1	23700001	23800000	A
1	23800001	23900000	A
1	23900001	24000000	A
1	24000001	24100000	A
1	24100001	24200000	A
1	24200001	24300000	A
1	24300001	24400000	A
1	24400001	24500000	A
1	24500001	24600000	A
1	24600001	24700000	A
1	24700001	24800000	A
1	24800001	24900000	A
1	24900001	25000000	A
1	25000001	25100000	A
1	25100001	25200000	A
1	25200001	25300000	A
1	25300001	25400000	A
1	25400001	25500000	A
1	25500001	25600000	A
1	25600001	25700000	A
1	25700001	25800000	A
1	25800001	25900000	A
1	25900001	26000000	C
1	26000001	26100000	A
1	26100001	26200000	A
1	26200001	26300000	A
1	26300001	26400000	A
1	26400001	26500000	A
1	26500001	26600000	A
1	26600001	26700000	A
1	26700001	26800000	A
1	26800001	26900000	A
1	26900001	27000000	A
1	27000001	27100000	A
1	27100001	27200000	A
1	27200001	27300000	A
1	27300001	27400000	B
1	27400001	27500000	B
1	27500001	27600000	B
1	27600001	27700000	A
1	27700001	27800000	A
1	27800001	27900000	A
1	27900001	28000000	B
1	28000001	28100000	B
1	28100001	28200000	B
1	28200001	28300000	B
1	28300001	28400000	B
1	28400001	28500000	B
1	28500001	28600000	B
1	28600001	28700000	A
1	28700001	28800000	A
1	28800001	28900000	A
1	28900001	29000000	B
1	29000001	29100000	B
1	29100001	29200000	A
1	29200001	29300000	B
1	29300001	29400000	A
1	29400001	29500000	A
1	29500001	29600000	A
1	29600001	29700000	A
1	29700001	29800000	B
1	29800001	29900000	A
1	29900001	30000000	A
1	30000001	30100000	A
1	30100001	30200000	A
1	30200001	30300000	A
1	30300001	30400000	A
1	30400001	30500000	A
1	30500001	30600000	A
1	30600001	30700000	A
1	30700001	30800000	A
1	30800001	30900000	A
1	30900001	31000000	A
1	31000001	31100000	A
1	31100001	31200000	B
1	31200001	31300000	A
1	31300001	31400000	A
1	31400001	31500000	A
1	31500001	31600000	A
1	31600001	31700000	B
1	31700001	31800000	B
1	31800001	31900000	B
1	31900001	32000000	B
1	32000001	32100000	A
1	32100001	32200000	C
1	32200001	32300000	C
1	32300001	32400000	C
1	32400001	32500000	A
1	32500001	32600000	A
1	32600001	32700000	C
1	32700001	32800000	C
1	32800001	32900000	C
1	32900001	33000000	C
1	33000001	33100000	C
1	33100001	33200000	C
1	33200001	33300000	C
1	33300001	33400000	C
1	33400001	33500000	C
1	33500001	33600000	C
1	33600001	33700000	C
1	33700001	33800000	C
1	33800001	33900000	C
1	33900001	34000000	C
1	34000001	34100000	C
1	34100001	34200000	C
1	34200001	34300000	C
1	34300001	34400000	C
1	34400001	34500000	C
1	34500001	34600000	C
1	34600001	34700000	C
1	34700001	34800000	C
1	34800001	34900000	C
1	34900001	35000000	C
1	35000001	35100000	C
1	35100001	35200000	C
1	35200001	35300000	C
1	35300001	35400000	C
1	35400001	35500000	B
1	35500001	35600000	B
1	35600001	35700000	B
1	35700001	35800000	B
1	35800001	35900000	B
1	35900001	36000000	B
1	36000001	36100000	B
1	36100001	36200000	B
1	36200001	36300000	B
1	36300001	36400000	B
1	36400001	36500000	B
1	36500001	36600000	B
1	36600001	36700000	B
1	36700001	36800000	B
1	36800001	36900000	B
1	36900001	37000000	B
1	37000001	37100000	B
1	37100001	37200000	B
1	37200001	37300000	B
1	37300001	37400000	B
1	37400001	37500000	B
1	37500001	37600000	B
1	37600001	37700000	B
1	37700001	37800000	B
1	37800001	37900000	B
1	37900001	38000000	B
1	38000001	38100000	B
1	38100001	38200000	B
1	38200001	38300000	B
1	38300001	38400000	B
1	38400001	38500000	B
1	38500001	38600000	B
1	38600001	38700000	B
1	38700001	38800000	B
1	38800001	38900000	B
1	38900001	39000000	B
1	39000001	39100000	B
1	39100001	39200000	B
1	39200001	39300000	B
1	39300001	39400000	B
1	39400001	39500000	B
1	39500001	39600000	B
1	39600001	39700000	B
1	39700001	39800000	B
1	39800001	39900000	B
1	39900001	40000000	C
1	40000001	40100000	B
1	40100001	40200000	C
1	40200001	40300000	C
1	40300001	40400000	C
1	40400001	40500000	A
1	40500001	40600000	C
1	40600001	40700000	C
1	40700001	40800000	A
1	40800001	40900000	A
1	40900001	41000000	A
1	41000001	41100000	A
1	41100001	41200000	B
1	41200001	41300000	B
1	41300001	41400000	B
1	41400001	41500000	A
1	41500001	41600000	B
1	41600001	41700000	C
1	41700001	41800000	B
1	41800001	41900000	B
1	41900001	42000000	B
1	42000001	42100000	B
1	42100001	42200000	B
1	42200001	42300000	B
1	42300001	42400000	B
1	42400001	42500000	B
1	42500001	42600000	B
1	42600001	42700000	B
1	42700001	42800000	B
1	42800001	42900000	C
1	42900001	43000000	C
1	43000001	43100000	C
1	43100001	43200000	A
1	43200001	43254181	C
2	1	100000	C
2	100001	200000	C
2	200001	300000	B
2	300001	400000	C
2	400001	500000	C
2	500001	600000	C
2	600001	700000	C
2	700001	800000	B
2	800001	900000	B
2	900001	1000000	B
2	1000001	1100000	B
2	1100001	1200000	A
2	1200001	1300000	C
2	1300001	1400000	C
2	1400001	1500000	C
2	1500001	1600000	C
2	1600001	1700000	C
2	1700001	1800000	C
2	1800001	1900000	C
2	1900001	2000000	C
2	2000001	2100000	C
2	2100001	2200000	B
2	2200001	2300000	B
2	2300001	2400000	B
2	2400001	2500000	B
2	2500001	2600000	B
2	2600001	2700000	B
2	2700001	2800000	B
2	2800001	2900000	C
2	2900001	3000000	A
2	3000001	3100000	C
2	3100001	3200000	C
2	3200001	3300000	C
2	3300001	3400000	B
2	3400001	3500000	B
2	3500001	3600000	C
2	3600001	3700000	C
2	3700001	3800000	B
2	3800001	3900000	C
2	3900001	4000000	B
2	4000001	4100000	C
2	4100001	4200000	C
2	4200001	4300000	C
2	4300001	4400000	B
2	4400001	4500000	C
2	4500001	4600000	C
2	4600001	4700000	C
2	4700001	4800000	C
2	4800001	4900000	B
2	4900001	5000000	B
2	5000001	5100000	B
2	5100001	5200000	B
2	5200001	5300000	C
2	5300001	5400000	C
2	5400001	5500000	C
2	5500001	5600000	C
2	5600001	5700000	C
2	5700001	5800000	B
2	5800001	5900000	B
2	5900001	6000000	B
2	6000001	6100000	B
2	6100001	6200000	B
2	6200001	6300000	C
2	6300001	6400000	B
2	6400001	6500000	B
2	6500001	6600000	B
2	6600001	6700000	C
2	6700001	6800000	B
2	6800001	6900000	B
2	6900001	7000000	A
2	7000001	7100000	A
2	7100001	7200000	B
2	7200001	7300000	B
2	7300001	7400000	B
2	7400001	7500000	A
2	7500001	7600000	A
2	7600001	7700000	A
2	7700001	7800000	B
2	7800001	7900000	A
2	7900001	8000000	C
2	8000001	8100000	A
2	8100001	8200000	A
2	8200001	8300000	A
2	8300001	8400000	C
2	8400001	8500000	A
2	8500001	8600000	B
2	8600001	8700000	A
2	8700001	8800000	A
2	8800001	8900000	A
2	8900001	9000000	B
2	9000001	9100000	A
2	9100001	9200000	C
2	9200001	9300000	C
2	9300001	9400000	C
2	9400001	9500000	C
2	9500001	9600000	B
2	9600001	9700000	B
2	9700001	9800000	B
2	9800001	9900000	B
2	9900001	10000000	B
2	10000001	10100000	B
2	10100001	10200000	B
2	10200001	10300000	B
2	10300001	10400000	B
2	10400001	10500000	B
2	10500001	10600000	B
2	10600001	10700000	B
2	10700001	10800000	B
2	10800001	10900000	B
2	10900001	11000000	B
2	11000001	11100000	B
2	11100001	11200000	B
2	11200001	11300000	B
2	11300001	11400000	B
2	11400001	11500000	B
2	11500001	11600000	B
2	11600001	11700000	B
2	11700001	11800000	B
2	11800001	11900000	B
2	11900001	12000000	B
2	12000001	12100000	B
2	12100001	12200000	B
2	12200001	12300000	B
2	12300001	12400000	B
2	12400001	12500000	B
2	12500001	12600000	B
2	12600001	12700000	B
2	12700001	12800000	B
2	12800001	12900000	B
2	12900001	13000000	B
2	13000001	13100000	B
2	13100001	13200000	B
2	13200001	13300000	B
2	13300001	13400000	B
2	13400001	13500000	B
2	13500001	13600000	B
2	13600001	13700000	B
2	13700001	13800000	B
2	13800001	13900000	B
2	13900001	14000000	B
2	14000001	14100000	B
2	14100001	14200000	B
2	14200001	14300000	B
2	14300001	14400000	B
2	14400001	14500000	B
2	14500001	14600000	B
2	14600001	14700000	B
2	14700001	14800000	B
2	14800001	14900000	B
2	14900001	15000000	B
2	15000001	15100000	B
2	15100001	15200000	B
2	15200001	15300000	B
2	15300001	15400000	B
2	15400001	15500000	B
2	15500001	15600000	B
2	15600001	15700000	B
2	15700001	15800000	B
2	15800001	15900000	B
2	15900001	16000000	B
2	16000001	16100000	B
2	16100001	16200000	B
2	16200001	16300000	B
2	16300001	16400000	B
2	16400001	16500000	B
2	16500001	16600000	B
2	16600001	16700000	B
2	16700001	16800000	B
2	16800001	16900000	B
2	16900001	17000000	B
2	17000001	17100000	B
2	17100001	17200000	B
2	17200001	17300000	B
2	17300001	17400000	B
2	17400001	17500000	B
2	17500001	17600000	B
2	17600001	17700000	B
2	17700001	17800000	B
2	17800001	17900000	B
2	17900001	18000000	B
2	18000001	18100000	B
2	18100001	18200000	B
2	18200001	18300000	B
2	18300001	18400000	B
2	18400001	18500000	B
2	18500001	18600000	B
2	18600001	18700000	B
2	18700001	18800000	B
2	18800001	18900000	B
2	18900001	19000000	B
2	19000001	19100000	B
2	19100001	19200000	B
2	19200001	19300000	B
2	19300001	19400000	B
2	19400001	19500000	B
2	19500001	19600000	B
2	19600001	19700000	B
2	19700001	19800000	B
2	19800001	19900000	B
2	19900001	20000000	C
2	20000001	20100000	C
2	20100001	20200000	B
2	20200001	20300000	B
2	20300001	20400000	C
2	20400001	20500000	B
2	20500001	20600000	C
2	20600001	20700000	B
2	20700001	20800000	C
2	20800001	20900000	C
2	20900001	21000000	C
2	21000001	21100000	A
2	21100001	21200000	A
2	21200001	21300000	C
2	21300001	21400000	A
2	21400001	21500000	B
2	21500001	21600000	A
2	21600001	21700000	B
2	21700001	21800000	B
2	21800001	21900000	B
2	21900001	22000000	C
2	22000001	22100000	B
2	22100001	22200000	B
2	22200001	22300000	B
2	22300001	22400000	B
2	22400001	22500000	B
2	22500001	22600000	B
2	22600001	22700000	C
2	22700001	22800000	C
2	22800001	22900000	B
2	22900001	23000000	C
2	23000001	23100000	B
2	23100001	23200000	A
2	23200001	23300000	A
2	23300001	23400000	C
2	23400001	23500000	A
2	23500001	23600000	A
2	23600001	23700000	A
2	23700001	23800000	A
2	23800001	23900000	A
2	23900001	24000000	A
2	24000001	24100000	A
2	24100001	24200000	A
2	24200001	24300000	A
2	24300001	24400000	A
2	24400001	24500000	A
2	24500001	24600000	A
2	24600001	24700000	A
2	24700001	24800000	A
2	24800001	24900000	A
2	24900001	25000000	A
2	25000001	25100000	A
2	25100001	25200000	A
2	25200001	25300000	A
2	25300001	25400000	A
2	25400001	25500000	A
2	25500001	25600000	A
2	25600001	25700000	A
2	25700001	25800000	A
2	25800001	25900000	A
2	25900001	26000000	A
2	26000001	26100000	A
2	26100001	26200000	A
2	26200001	26300000	A
2	26300001	26400000	A
2	26400001	26500000	A
2	26500001	26600000	A
2	26600001	26700000	A
2	26700001	26800000	A
2	26800001	26900000	A
2	26900001	27000000	A
2	27000001	27100000	A
2	27100001	27200000	A
2	27200001	27300000	A
2	27300001	27400000	A
2	27400001	27500000	A
2	27500001	27600000	A
2	27600001	27700000	A
2	27700001	27800000	A
2	27800001	27900000	A
2	27900001	28000000	A
2	28000001	28100000	A
2	28100001	28200000	A
2	28200001	28300000	A
2	28300001	28400000	A
2	28400001	28500000	A
2	28500001	28600000	A
2	28600001	28700000	A
2	28700001	28800000	A
2	28800001	28900000	A
2	28900001	29000000	A
2	29000001	29100000	A
2	29100001	29200000	A
2	29200001	29300000	A
2	29300001	29400000	A
2	29400001	29500000	A
2	29500001	29600000	A
2	29600001	29700000	A
2	29700001	29800000	A
2	29800001	29900000	A
2	29900001	30000000	A
2	30000001	30100000	A
2	30100001	30200000	A
2	30200001	30300000	A
2	30300001	30400000	A
2	30400001	30500000	A
2	30500001	30600000	A
2	30600001	30700000	A
2	30700001	30800000	A
2	30800001	30900000	A
2	30900001	31000000	A
2	31000001	31100000	A
2	31100001	31200000	A
2	31200001	31300000	A
2	31300001	31400000	A
2	31400001	31500000	A
2	31500001	31600000	A
2	31600001	31700000	A
2	31700001	31800000	A
2	31800001	31900000	A
2	31900001	32000000	A
2	32000001	32100000	A
2	32100001	32200000	A
2	32200001	32300000	A
2	32300001	32400000	A
2	32400001	32500000	A
2	32500001	32600000	A
2	32600001	32700000	A
2	32700001	32800000	A
2	32800001	32900000	A
2	32900001	33000000	A
2	33000001	33100000	A
2	33100001	33200000	A
2	33200001	33300000	A
2	33300001	33400000	A
2	33400001	33500000	A
2	33500001	33600000	A
2	33600001	33700000	A
2	33700001	33800000	A
2	33800001	33900000	A
2	33900001	34000000	C
2	34000001	34100000	A
2	34100001	34200000	B
2	34200001	34300000	B
2	34300001	34400000	B
2	34400001	34500000	B
2	34500001	34600000	B
2	34600001	34700000	B
2	34700001	34800000	B
2	34800001	34900000	B
2	34900001	35000000	B
2	35000001	35100000	B
2	35100001	35200000	B
2	35200001	35300000	B
2	35300001	35400000	B
2	35400001	35500000	B
2	35500001	35600000	B
2	35600001	35700000	B
2	35700001	35800000	B
2	35800001	35900000	B
2	35900001	35935679	B
3	1	100000	B
3	100001	200000	B
3	200001	300000	B
3	300001	400000	B
3	400001	500000	B
3	500001	600000	B
3	600001	700000	B
3	700001	800000	B
3	800001	900000	B
3	900001	1000000	B
3	1000001	1100000	B
3	1100001	1200000	A
3	1200001	1300000	A
3	1300001	1400000	A
3	1400001	1500000	B
3	1500001	1600000	A
3	1600001	1700000	A
3	1700001	1800000	A
3	1800001	1900000	A
3	1900001	2000000	A
3	2000001	2100000	A
3	2100001	2200000	A
3	2200001	2300000	A
3	2300001	2400000	A
3	2400001	2500000	A
3	2500001	2600000	A
3	2600001	2700000	A
3	2700001	2800000	A
3	2800001	2900000	A
3	2900001	3000000	A
3	3000001	3100000	A
3	3100001	3200000	A
3	3200001	3300000	A
3	3300001	3400000	A
3	3400001	3500000	A
3	3500001	3600000	A
3	3600001	3700000	A
3	3700001	3800000	A
3	3800001	3900000	A
3	3900001	4000000	C
3	4000001	4100000	A
3	4100001	4200000	A
3	4200001	4300000	A
3	4300001	4400000	A
3	4400001	4500000	A
3	4500001	4600000	A
3	4600001	4700000	A
3	4700001	4800000	A
3	4800001	4900000	A
3	4900001	5000000	A
3	5000001	5100000	A
3	5100001	5200000	A
3	5200001	5300000	A
3	5300001	5400000	A
3	5400001	5500000	A
3	5500001	5600000	A
3	5600001	5700000	A
3	5700001	5800000	A
3	5800001	5900000	A
3	5900001	6000000	A
3	6000001	6100000	A
3	6100001	6200000	A
3	6200001	6300000	A
3	6300001	6400000	A
3	6400001	6500000	A
3	6500001	6600000	A
3	6600001	6700000	A
3	6700001	6800000	A
3	6800001	6900000	A
3	6900001	7000000	A
3	7000001	7100000	A
3	7100001	7200000	A
3	7200001	7300000	A
3	7300001	7400000	A
3	7400001	7500000	A
3	7500001	7600000	A
3	7600001	7700000	A
3	7700001	7800000	A
3	7800001	7900000	A
3	7900001	8000000	A
3	8000001	8100000	A
3	8100001	8200000	A
3	8200001	8300000	A
3	8300001	8400000	A
3	8400001	8500000	A
3	8500001	8600000	A
3	8600001	8700000	A
3	8700001	8800000	A
3	8800001	8900000	A
3	8900001	9000000	A
3	9000001	9100000	A
3	9100001	9200000	A
3	9200001	9300000	A
3	9300001	9400000	A
3	9400001	9500000	A
3	9500001	9600000	A
3	9600001	9700000	A
3	9700001	9800000	A
3	9800001	9900000	A
3	9900001	10000000	A
3	10000001	10100000	A
3	10100001	10200000	A
3	10200001	10300000	A
3	10300001	10400000	A
3	10400001	10500000	A
3	10500001	10600000	A
3	10600001	10700000	A
3	10700001	10800000	A
3	10800001	10900000	A
3	10900001	11000000	A
3	11000001	11100000	A
3	11100001	11200000	A
3	11200001	11300000	A
3	11300001	11400000	A
3	11400001	11500000	A
3	11500001	11600000	A
3	11600001	11700000	A
3	11700001	11800000	A
3	11800001	11900000	A
3	11900001	12000000	A
3	12000001	12100000	A
3	12100001	12200000	A
3	12200001	12300000	A
3	12300001	12400000	A
3	12400001	12500000	A
3	12500001	12600000	A
3	12600001	12700000	A
3	12700001	12800000	A
3	12800001	12900000	A
3	12900001	13000000	A
3	13000001	13100000	A
3	13100001	13200000	A
3	13200001	13300000	A
3	13300001	13400000	A
3	13400001	13500000	A
3	13500001	13600000	A
3	13600001	13700000	A
3	13700001	13800000	A
3	13800001	13900000	A
3	13900001	14000000	A
3	14000001	14100000	B
3	14100001	14200000	A
3	14200001	14300000	A
3	14300001	14400000	A
3	14400001	14500000	B
3	14500001	14600000	B
3	14600001	14700000	B
3	14700001	14800000	B
3	14800001	14900000	B
3	14900001	15000000	B
3	15000001	15100000	B
3	15100001	15200000	B
3	15200001	15300000	B
3	15300001	15400000	B
3	15400001	15500000	B
3	15500001	15600000	B
3	15600001	15700000	B
3	15700001	15800000	B
3	15800001	15900000	B
3	15900001	16000000	B
3	16000001	16100000	B
3	16100001	16200000	B
3	16200001	16300000	B
3	16300001	16400000	B
3	16400001	16500000	B
3	16500001	16600000	B
3	16600001	16700000	B
3	16700001	16800000	C
3	16800001	16900000	C
3	16900001	17000000	B
3	17000001	17100000	B
3	17100001	17200000	B
3	17200001	17300000	B
3	17300001	17400000	B
3	17400001	17500000	B
3	17500001	17600000	B
3	17600001	17700000	B
3	17700001	17800000	B
3	17800001	17900000	B
3	17900001	18000000	B
3	18000001	18100000	B
3	18100001	18200000	B
3	18200001	18300000	B
3	18300001	18400000	B
3	18400001	18500000	B
3	18500001	18600000	B
3	18600001	18700000	B
3	18700001	18800000	B
3	18800001	18900000	B
3	18900001	19000000	B
3	19000001	19100000	B
3	19100001	19200000	B
3	19200001	19300000	B
3	19300001	19400000	B
3	19400001	19500000	B
3	19500001	19600000	B
3	19600001	19700000	B
3	19700001	19800000	B
3	19800001	19900000	B
3	19900001	20000000	B
3	20000001	20100000	B
3	20100001	20200000	B
3	20200001	20300000	B
3	20300001	20400000	B
3	20400001	20500000	B
3	20500001	20600000	B
3	20600001	20700000	B
3	20700001	20800000	B
3	20800001	20900000	B
3	20900001	21000000	B
3	21000001	21100000	B
3	21100001	21200000	B
3	21200001	21300000	B
3	21300001	21400000	B
3	21400001	21500000	B
3	21500001	21600000	B
3	21600001	21700000	B
3	21700001	21800000	B
3	21800001	21900000	B
3	21900001	22000000	B
3	22000001	22100000	B
3	22100001	22200000	B
3	22200001	22300000	B
3	22300001	22400000	B
3	22400001	22500000	B
3	22500001	22600000	B
3	22600001	22700000	B
3	22700001	22800000	B
3	22800001	22900000	B
3	22900001	23000000	B
3	23000001	23100000	B
3	23100001	23200000	B
3	23200001	23300000	B
3	23300001	23400000	B
3	23400001	23500000	B
3	23500001	23600000	B
3	23600001	23700000	B
3	23700001	23800000	B
3	23800001	23900000	B
3	23900001	24000000	B
3	24000001	24100000	B
3	24100001	24200000	B
3	24200001	24300000	B
3	24300001	24400000	B
3	24400001	24500000	B
3	24500001	24600000	B
3	24600001	24700000	B
3	24700001	24800000	B
3	24800001	24900000	B
3	24900001	25000000	B
3	25000001	25100000	B
3	25100001	25200000	B
3	25200001	25300000	B
3	25300001	25400000	B
3	25400001	25500000	B
3	25500001	25600000	B
3	25600001	25700000	B
3	25700001	25800000	B
3	25800001	25900000	B
3	25900001	26000000	B
3	26000001	26100000	B
3	26100001	26200000	B
3	26200001	26300000	B
3	26300001	26400000	B
3	26400001	26500000	B
3	26500001	26600000	B
3	26600001	26700000	B
3	26700001	26800000	B
3	26800001	26900000	B
3	26900001	27000000	B
3	27000001	27100000	B
3	27100001	27200000	B
3	27200001	27300000	B
3	27300001	27400000	B
3	27400001	27500000	B
3	27500001	27600000	B
3	27600001	27700000	B
3	27700001	27800000	B
3	27800001	27900000	B
3	27900001	28000000	B
3	28000001	28100000	B
3	28100001	28200000	B
3	28200001	28300000	B
3	28300001	28400000	B
3	28400001	28500000	B
3	28500001	28600000	B
3	28600001	28700000	B
3	28700001	28800000	B
3	28800001	28900000	B
3	28900001	29000000	B
3	29000001	29100000	B
3	29100001	29200000	B
3	29200001	29300000	B
3	29300001	29400000	B
3	29400001	29500000	B
3	29500001	29600000	B
3	29600001	29700000	B
3	29700001	29800000	B
3	29800001	29900000	B
3	29900001	30000000	B
3	30000001	30100000	B
3	30100001	30200000	B
3	30200001	30300000	B
3	30300001	30400000	B
3	30400001	30500000	B
3	30500001	30600000	B
3	30600001	30700000	B
3	30700001	30800000	B
3	30800001	30900000	B
3	30900001	31000000	B
3	31000001	31100000	B
3	31100001	31200000	A
3	31200001	31300000	B
3	31300001	31400000	A
3	31400001	31500000	A
3	31500001	31600000	A
3	31600001	31700000	B
3	31700001	31800000	A
3	31800001	31900000	A
3	31900001	32000000	A
3	32000001	32100000	A
3	32100001	32200000	A
3	32200001	32300000	A
3	32300001	32400000	A
3	32400001	32500000	A
3	32500001	32600000	B
3	32600001	32700000	B
3	32700001	32800000	B
3	32800001	32900000	B
3	32900001	33000000	B
3	33000001	33100000	B
3	33100001	33200000	B
3	33200001	33300000	B
3	33300001	33400000	C
3	33400001	33500000	B
3	33500001	33600000	C
3	33600001	33700000	A
3	33700001	33800000	A
3	33800001	33900000	A
3	33900001	34000000	A
3	34000001	34100000	A
3	34100001	34200000	A
3	34200001	34300000	A
3	34300001	34400000	A
3	34400001	34500000	A
3	34500001	34600000	A
3	34600001	34700000	B
3	34700001	34800000	A
3	34800001	34900000	A
3	34900001	35000000	A
3	35000001	35100000	A
3	35100001	35200000	A
3	35200001	35300000	A
3	35300001	35400000	A
3	35400001	35500000	A
3	35500001	35600000	C
3	35600001	35700000	C
3	35700001	35800000	C
3	35800001	35900000	C
3	35900001	36000000	C
3	36000001	36100000	C
3	36100001	36200000	C
3	36200001	36300000	A
3	36300001	36400000	A
3	36400001	36413231	A
4	1	100000	A
4	100001	200000	A
4	200001	300000	A
4	300001	400000	A
4	400001	500000	A
4	500001	600000	A
4	600001	700000	A
4	700001	800000	A
4	800001	900000	A
4	900001	1000000	A
4	1000001	1100000	A
4	1100001	1200000	A
4	1200001	1300000	A
