chr	position	value
1	32324000	2.1136
1	32718000	2.6586
1	32896000	2.5631
1	33285000	2.7329
1	33617000	2.8188
1	33842000	3.0112
1	34682000	3.2218
1	34744000	3.3035
1	34860000	3.0731
1	35075000	3.4757
1	35134000	3.7466
1	35542000	3.6786
1	35645000	3.3902
1	35774000	2.8265
1	35965000	2.1432
1	36270000	2.2821
1	36538000	2.1576
1	37332000	2.5649
1	37623000	2.4901
1	37835000	3.0185
1	37860000	2.9072
1	37960000	3.029
1	38075000	2.7078
1	38201000	2.6935
1	38343000	2.245
1	38367000	2.1892
1	38418000	1.5481
1	38631000	1.8018
1	39021000	0.7266
1	39109000	0.7723
1	39351000	0.7641
1	39782000	0.229
1	39820000	0.3784
1	40119000	0.0128
1	40470000	0.0315
1	40640000	0.0463
1	40894000	0.0105
1	40961000	0.0326
1	41089000	0.0339
1	41695000	0.0012
1	41764000	0.0086
1	41821000	0.0549
1	41970000	0.0207
1	42051000	0.0052
1	42069000	0.0011
1	42089000	0.002
1	42181000	0.0003
1	42212000	0.0062
1	42249000	0.0038
1	42315000	0.025
1	42374000	0.1088
1	42422000	0.0335
1	42782000	0.0613
1	42883000	0.0746
1	42929000	0.0889
1	42957000	0.0886
1	43065000	0.1954
2	0	0.0239
2	106000	0.0495
2	213000	0.0209
2	454000	0.0042
2	495000	0.0001
2	568000	0.0071
2	704000	0.001
2	771000	0.0028
2	831000	0.0014
2	841000	0.0027
2	981000	0.0439
2	1147000	0.0438
2	1197000	0.0438
2	1236000	0.063
2	1311000	0.185
2	1487000	0.3638
2	1646000	0.3756
2	1848000	0.454
2	2095000	0.4413
2	2105000	0.3224
2	2571000	0.3271
2	2647000	0.2269
2	2789000	0.6173
2	2828000	0.5259
2	3150000	0.5535
2	3227000	0.5569
2	3493000	0.3347
2	4021000	0.3828
2	4180000	0.4805
2	4263000	0.5221
2	4367000	0.5526
2	4604000	0.4226
2	4749000	0.422
2	4880000	0.2485
2	4993000	0.2108
2	5065000	0.1586
2	5399000	0.2366
2	5897000	0.2413
2	6087000	0.2109
2	6236000	0.2314
2	6387000	0.1483
2	6823000	0.4592
2	7029000	0.7116
2	7068000	0.6054
2	7267000	0.6388
2	7364000	0.5255
2	7590000	0.3789
2	7838000	0.3514
2	8015000	0.4544
2	8720000	0.3535
2	8810000	0.2463
2	8897000	0.3097
2	8999000	0.3474
2	9141000	0.4594
2	9457000	0.3134
2	9598000	0.3118
2	9924000	0.3889
2	10189000	0.4438
2	10748000	0.2764
2	11096000	0.1863
2	12036000	0.161
2	12101000	0.0672
2	15858000	0.0722
2	15880000	0.0675
2	16087000	0.0668
2	16147000	0.1209
2	16202000	0.2049
2	16454000	0.218
2	16549000	0.1405
2	18065000	0.0992
2	18126000	0.1091
2	18461000	0.1382
2	18525000	0.1406
2	18638000	0.1135
2	18691000	0.0526
2	18744000	0.044
2	18803000	0.0673
2	19068000	0.0163
2	19192000	0.0013
2	19233000	0.0002
2	19299000	0.0046
2	19497000	0.0253
2	19568000	0.0236
2	19645000	0.0162
2	19671000	0.0137
2	19749000	0.034
2	19857000	0.0228
2	19971000	0.0122
2	20008000	0.0635
2	20057000	0.0811
2	20102000	0.104
2	20278000	0.0914
2	20520000	0.1342
2	20669000	0.8217
2	28616000	0.813
2	28725000	0.6664
2	29189000	0.8759
2	29397000	0.7352
2	29443000	0.6635
2	29587000	0.6253
2	29999000	0.567
2	30565000	0.5961
2	30614000	0.5163
2	30760000	0.6582
2	30786000	0.6939
2	31059000	0.91
2	31209000	1.2161
2	31251000	1.4158
2	31389000	1.4829
2	31533000	1.2683
2	31543000	1.2443
2	31596000	1.3013
2	31646000	1.3681
2	31984000	1.0842
2	32263000	0.8228
2	33446000	0.6897
2	33745000	0.6887
2	33758000	0.4858
2	33991000	0.7129
2	34167000	0.6562
2	34293000	0.6166
2	34340000	0.5899
2	34387000	0.764
2	34472000	0.7057
2	34503000	0.7054
2	34585000	0.8419
2	34738000	1.4951
2	34863000	1.1934
2	34973000	1.0649
2	35103000	1.3496
2	35129000	1.4463
2	35154000	1.4461
2	35209000	1.1335
2	35244000	1.6587
2	35323000	1.4423
2	35378000	0.638
2	35427000	0.6967
2	35705000	0.4174
2	35749000	0.3138
3	0	0.1147
3	265000	0.1189
3	367000	0.0415
3	529000	0.0354
3	1115000	0.0401
3	1843000	0.0265
3	1875000	0.0339
3	2096000	0.07
3	2159000	0.0963
3	2213000	0.0331
3	2329000	0.0331
3	2512000	0.0333
3	2639000	0.0158
3	2720000	0.0027
3	3127000	0.0152
3	3223000	0.0439
3	3277000	0.0087
3	3342000	0.0018
3	3481000	0.0002
3	3781000	0.2756
3	4586000	0.2509
3	4894000	0.3571
3	5515000	0.1596
3	5621000	0.1931
3	5868000	0.1684
3	5942000	0.1024
3	6040000	0.0717
3	6596000	0.1167
3	7877000	0.029
3	8534000	0.1319
3	8659000	0.0021
3	8751000	0.0004
3	8783000	0.0004
3	9242000	0.0028
3	9256000	0.0003
3	9280000	0.0039
3	9337000	0.0025
3	9372000	0.0024
3	9423000	0.014
3	9507000	0.0167
3	9528000	0.0022
3	9690000	0.0019
3	9986000	0.0059
3	10038000	0.0056
3	10087000	0.0001
3	10123000	0.0082
3	10177000	0.0051
3	10435000	0.0396
3	10777000	0.057
3	10972000	0.0765
3	11176000	0.0423
3	11316000	0.1077
3	12114000	0.1126
3	12563000	0.088
3	12670000	0.2162
3	12881000	0.3027
3	12993000	0.113
3	13076000	0.1879
3	13655000	0.1373
3	13767000	0.0426
3	13900000	0.1168
3	14075000	0.0015
3	14203000	0.0059
3	14348000	0.008
3	14521000	0.0073
3	14601000	0.0111
3	14721000	0.0606
3	14863000	0.1527
3	14877000	0.0177
3	15020000	0.0321
3	15102000	0.0331
3	15153000	0.0321
3	15333000	0.1574
3	15378000	0.3985
3	15477000	0.4377
3	15584000	0.3097
3	15597000	0.4015
3	15801000	0.4826
3	15902000	0.272
3	16184000	12.6349
3	16224000	12.7945
3	16416000	12.8101
3	16717000	13.07
3	16914000	12.5914
3	17041000	12.6943
3	17188000	10.6342
3	17375000	10.3414
3	17419000	9.3098
3	17835000	9.5752
3	18075000	0.722
3	18081000	0.7196
3	21238000	0.3824
3	22491000	0.6716
3	22620000	0.4434
3	22754000	0.087
3	22884000	0.0431
3	23482000	0.0399
3	23569000	0.0785
3	23664000	0.1116
3	23803000	0.0134
3	23872000	0.0144
3	23969000	0.124
3	24067000	0.1636
3	24421000	0.0088
3	24471000	0.0004
3	24666000	0.0047
3	24679000	0.0565
3	25164000	0.58
3	25392000	0.4637
3	25498000	0.4923
3	25619000	0.8737
3	25880000	1.1109
3	25972000	1.1167
3	26216000	1.111
3	26332000	1.1318
3	26443000	1.4658
3	26578000	1.2491
3	26684000	1.2288
3	26702000	1.2416
3	26724000	1.2066
3	26740000	1.565
3	26961000	1.5026
3	27021000	1.1212
3	27173000	0.7329
3	27242000	0.5975
3	27430000	0.8143
3	27448000	1.0598
3	27554000	0.8379
3	27630000	0.6207
3	27671000	0.7152
3	27778000	0.6309
3	27880000	0.5506
3	28102000	0.431
3	28192000	0.4303
3	28242000	0.431
3	28264000	0.52
3	28415000	0.5598
3	28482000	0.7711
3	28511000	1.0666
3	28598000	0.9747
3	28623000	0.8883
3	28663000	0.8632
3	28759000	0.8636
3	29001000	0.8288
3	29175000	0.6248
3	29220000	0.6221
3	29304000	0.6465
3	29434000	0.6474
3	29522000	0.8146
3	29587000	0.8169
3	29614000	0.7997
3	29647000	0.7693
3	29797000	0.7924
3	29854000	0.6167
3	29946000	0.7055
3	29981000	0.4789
3	30209000	0.4485
3	30273000	0.3656
3	30308000	0.4547
3	30327000	0.4244
3	30338000	0.4682
3	30404000	0.5604
3	30527000	0.4287
3	30626000	0.3416
3	30927000	0.2529
3	31490000	0.4366
3	31652000	0.4226
3	32003000	0.514
3	32068000	0.7893
3	32275000	0.462
3	32642000	0.3275
3	32837000	0.3077
3	33123000	0.5596
3	33887000	1.1378
3	34899000	0.8968
3	34918000	1.235
3	34946000	0.8807
3	35135000	0.7598
3	35270000	0.5885
3	35296000	0.6661
3	35313000	0.6215
3	35470000	0.7308
3	35538000	0.7021
3	35565000	1.0388
3	35599000	1.0388
3	35643000	0.804
3	35662000	0.7147
3	35750000	0.6411
3	35796000	0.6284
3	35950000	1.1074
3	36085000	1.0659
3	36177000	0.8774
4	0	0.1883
4	150000	0.3161
4	489000	0.3143
4	519000	0.2333
4	562000	0.122
4	642000	0.1228
4	803000	0.1161
4	1004000	0.1246
4	1224000	0.068
4	1254000	0.1051
4	1709000	0.1914
4	1816000	0.0422
4	2036000	0.0329
4	2354000	0.0301
4	2465000	0.0582
4	2491000	0.0317
4	2528000	0.058
4	2885000	0.0435
4	3560000	0.0083
4	3571000	0.0088
4	3645000	0.004
4	3955000	0.0203
4	4184000	0.0025
4	4319000	0.0002
4	4366000	0.0021
4	4421000	0.0002
4	4586000	0.0031
4	4797000	0.0022
4	4914000	0.0031
4	5237000	0.0073
4	5311000	0.008
4	5485000	0.0023
4	5816000	0.0094
4	6593000	0.0115
4	6934000	0.0004
4	7103000	0.0005
4	7375000	0.0166
4	12713000	0.0126
4	13227000	0.0712
4	13338000	0.083
4	13616000	0.0898
4	13939000	0.3672
4	15075000	0.3344
4	15662000	0.2287
4	15763000	0.3042
4	15876000	0.1291
4	16553000	0.0496
4	16694000	0.412
4	16988000	0.4446
4	17412000	0.4794
4	17646000	0.4893
4	17912000	0.4794
4	18000000	0.4798
4	18025000	0.4794
4	18072000	0.4796
4	18225000	0.4794
4	18384000	0.4801
4	18429000	0.4794
4	18593000	0.4939
4	18657000	0.3905
4	18767000	0.5982
4	18948000	0.1794
4	19106000	0.1694
4	19155000	0.1609
4	19273000	0.0873
4	19326000	0.0446
4	19370000	0.0506
4	19519000	0.0081
4	19644000	0.0238
4	19651000	0.0015
4	20546000	0.005
4	20592000	0.0083
4	20890000	0.0005
4	21246000	0.0013
4	21343000	0.0355
4	21368000	0.042
4	21461000	0.1081
4	21615000	0.17
4	21694000	0.1003
4	21776000	0.0588
4	21825000	0.0012
4	21840000	0.0499
4	22000000	0.0903
4	22168000	0.0743
4	22260000	0.1148
4	22425000	0.1114
4	22821000	0.1893
4	23060000	0.2206
4	23102000	0.3176
4	23157000	0.2854
4	23316000	0.3626
4	23659000	0.2802
4	24030000	0.2183
4	24066000	0.3032
4	24378000	0.2678
4	25543000	0.5686
4	25808000	0.5098
4	26113000	0.5119
4	26350000	0.3944
4	27799000	0.4255
4	27860000	0.4579
4	28314000	0.1871
4	28910000	0.2154
4	29494000	0.7071
4	29854000	0.4444
4	29900000	0.4849
4	29969000	0.4556
4	29988000	0.378
4	30133000	0.3935
4	30296000	0.427
4	30380000	0.0669
4	30429000	0.0616
4	30684000	0.0678
4	30706000	0.0014
4	30913000	0.0033
4	30983000	0.0217
4	31142000	0.0213
4	31203000	0.0532
4	31242000	0.1904
4	31262000	0.1767
4	31318000	0.1847
4	31368000	0.1565
4	31427000	0.2052
4	31447000	0.2051
4	31488000	0.2052
4	31818000	0.3126
4	31905000	0.2845
4	31974000	0.2953
4	32011000	0.2686
4	32188000	0.2693
4	32217000	0.2567
4	32268000	0.206
4	32470000	0.1798
4	32572000	0.0318
4	33251000	0.0475
4	33499000	0.5156
4	34110000	0.8004
4	34458000	0.7366
4	34483000	0.8729
4	34747000	0.6383
5	0	0.1712
5	290000	0.0963
5	358000	0.0452
5	504000	0.1965
5	536000	0.301
5	663000	0.2448
5	684000	0.2245
5	877000	0.2056
5	952000	0.176
5	1155000	0.2021
5	1171000	0.3572
5	1252000	0.7269
5	1312000	0.5532
5	1450000	0.4821
5	1532000	0.1708
5	1725000	0.0867
5	1763000	0.0862
5	1795000	0.0867
5	1803000	0.0486
5	1929000	0.1384
5	2031000	0.2208
5	2045000	0.22
5	2142000	0.1211
5	2185000	0.0564
5	2265000	0.0167
5	2333000	0.0158
5	2402000	0.0381
5	2465000	0.0743
5	2753000	0.0122
5	2997000	0.0571
5	3104000	0.043
5	3179000	0.0201
5	3255000	0.0061
5	3438000	0.0487
5	3497000	0.0001
5	3561000	0.0067
5	3973000	0.2136
5	4188000	0.0365
5	4323000	7.9191
5	4776000	8.8409
5	5253000	10.3127
5	5376000	6.8482
5	5651000	6.6419
5	6002000	6.727
5	6214000	6.1441
5	6511000	0.1279
5	6734000	0.1159
5	7014000	0.063
5	8268000	0.0218
5	10351000	0.0018
5	14364000	0.0016
5	15007000	0.0314
5	15840000	0.0536
5	16106000	0.0537
5	16192000	0.1404
5	16337000	0.1891
5	16454000	0.1388
5	16504000	0.074
5	16530000	0.0527
5	16559000	0.0583
5	16592000	0.058
5	16730000	0.0584
5	16768000	0.0431
5	16948000	0.0377
5	17117000	0.0039
5	17378000	0.0113
5	17914000	0.0106
5	18095000	0.0181
5	18350000	0.0217
5	18416000	0.0001
5	18532000	0.0002
5	18908000	0.0145
5	18970000	0.0002
5	18984000	0.2378
5	19060000	0.4072
5	19212000	0.4115
5	19443000	0.2371
5	20062000	0.2557
5	20141000	0.2205
5	20402000	0.3106
5	20670000	0.3681
5	21027000	0.4564
5	21260000	0.6402
5	21354000	0.6402
5	21364000	0.6402
5	21375000	0.6402
5	21876000	0.8649
5	22002000	0.6516
5	22136000	1.0313
5	22154000	0.9777
5	22271000	0.9294
5	22348000	1.176
5	22502000	1.3584
5	22571000	1.1711
5	22597000	1.2741
5	22886000	0.7356
5	23117000	0.955
5	23253000	1.335
5	23468000	1.8113
5	23732000	1.6781
5	24035000	1.698
5	24082000	2.0582
5	24656000	2.6767
5	25281000	2.5979
5	25902000	2.8804
5	26297000	2.7208
5	26778000	2.9539
5	26864000	2.7673
5	27017000	2.7392
5	27181000	2.2418
5	27233000	1.8682
5	27299000	1.7449
5	27381000	1.6875
5	27520000	1.7887
5	27740000	1.9576
5	27784000	2.0532
5	27812000	2.1141
5	27853000	1.9054
5	27878000	1.7381
5	27899000	1.5787
5	27955000	1.6634
5	28019000	1.452
5	28128000	1.2358
5	28333000	1.2916
5	28496000	0.9748
5	28586000	0.8119
5	28616000	0.8709
5	28799000	1.1026
5	28889000	1.047
5	29389000	1.1586
6	0	0.6066
6	271000	0.5347
6	397000	0.5623
6	461000	0.6856
6	516000	0.4141
6	606000	0.3862
6	640000	0.3536
6	795000	0.3551
6	830000	0.5356
6	1048000	0.6488
6	1062000	0.6499
6	1206000	0.5487
6	1366000	0.8886
6	1514000	0.8688
6	1605000	1.0466
6	1631000	1.0807
6	1679000	0.9646
6	1698000	0.9972
6	1779000	0.815
6	1798000	0.8914
6	1859000	0.8892
6	1985000	0.9128
6	2085000	1.0455
6	2235000	1.0335
6	2296000	1.5808
6	2325000	1.5305
6	2415000	1.5428
6	2592000	1.4545
6	2741000	1.617
6	2765000	1.69
6	2846000	1.5572
6	2885000	0.852
6	2912000	0.8828
6	2951000	0.6229
6	3059000	0.6188
6	3132000	0.6781
6	3291000	0.7229
6	3363000	0.6142
6	3562000	0.4982
6	3581000	0.4979
6	3951000	0.5288
6	4022000	0.0017
6	4498000	0.014
6	4777000	0.0359
6	4842000	0.0834
6	4868000	0.0787
6	5004000	0.139
6	5044000	0.0434
6	5164000	0.018
6	5243000	0.0163
6	5361000	0.037
6	5492000	0.0812
6	5612000	0.0029
6	6479000	0.0436
6	6570000	0.0247
6	6650000	0.0095
6	6764000	0.1361
6	6782000	0.1354
6	6927000	0.2052
6	7091000	0.3141
6	7116000	0.3263
6	7175000	0.3366
6	7216000	0.3366
6	7317000	0.4574
6	7638000	0.3946
6	7699000	0.7277
6	7806000	0.8617
6	7915000	0.9577
6	8263000	1.0997
6	8318000	1.0976
6	8392000	1.072
6	8453000	0.9866
6	8764000	0.8287
6	9117000	0.85
6	9369000	0.6392
6	9654000	1.1846
6	9888000	0.853
6	10368000	0.9698
6	10696000	0.9386
6	10822000	1.0537
6	11070000	1.0126
6	11459000	1.3285
6	12021000	1.3831
6	12490000	2.5546
6	13724000	2.7399
6	13827000	2.8506
6	15727000	2.8195
6	15808000	2.8507
6	16936000	2.4491
6	18151000	2.5397
6	19492000	2.8913
6	19577000	2.8971
6	19706000	2.8796
6	19796000	2.8605
6	19865000	2.7027
6	20186000	2.5772
6	20260000	1.9975
6	20467000	1.984
6	20973000	2.0743
6	21082000	2.2714
6	21281000	3.3735
6	21496000	3.3719
6	21532000	3.3736
6	21717000	3.9414
6	22114000	3.5076
6	22232000	3.4963
6	22531000	3.1628
6	22828000	3.5353
6	23041000	3.5699
6	23085000	3.5991
6	23124000	3.567
6	23357000	4.0789
6	23503000	4.0407
6	23888000	3.6616
6	23924000	2.7824
6	24059000	2.1191
6	24147000	2.427
6	24309000	2.4818
6	24434000	2.2487
6	24666000	1.9461
6	24915000	2.1559
6	25043000	1.8858
6	25090000	1.6807
6	25212000	1.7051
6	25623000	1.8709
6	26268000	1.7315
6	26419000	1.9809
6	26849000	1.7851
6	27796000	1.5581
6	27919000	1.0698
6	28020000	1.0877
6	28436000	1.1757
6	28466000	1.3632
6	28479000	1.1687
6	28629000	0.9036
6	28653000	0.7063
6	28837000	0.6397
6	28968000	0.5194
6	29071000	0.4082
6	29134000	0.3649
6	29194000	0.2713
6	29439000	0.2638
6	29519000	0.2346
6	29530000	0.2428
6	29591000	0.2667
6	29671000	0.0149
6	29808000	0.0436
6	30267000	0.0178
6	30500000	0.0322
7	0	0.747
7	120000	0.7411
7	154000	0.8813
7	308000	0.9587
7	427000	0.9567
7	441000	0.9878
7	636000	1.2292
7	701000	1.2508
7	821000	1.2856
7	908000	1.1847
7	919000	1.1938
7	939000	1.1905
7	1190000	1.6231
7	1302000	1.8776
7	1744000	1.5987
7	1834000	1.432
7	2111000	1.6648
7	2170000	1.9537
7	2225000	2.2773
7	2235000	2.0627
7	2318000	1.8377
7	2817000	1.0987
7	2954000	1.2732
7	3283000	1.8515
7	3786000	1.6296
7	4007000	1.5222
7	4972000	4.7582
7	6027000	4.662
7	6056000	4.346
7	6719000	4.3474
7	6962000	4.0076
7	7128000	4.0089
7	7153000	4.0075
7	7203000	4.4145
7	7265000	5.4211
7	7595000	5.8724
7	8407000	5.326
7	8756000	5.6728
7	8933000	6.0969
7	9342000	6.5882
7	12799000	6.7716
7	15412000	3.5499
7	16157000	3.5497
7	16606000	3.7312
7	16614000	4.1151
7	16665000	4.136
7	16963000	2.7408
7	17338000	2.5068
7	17389000	2.9292
7	17525000	2.6813
7	17691000	2.6955
7	17757000	2.6604
7	17883000	2.725
7	18147000	2.4199
7	18358000	2.4093
7	18805000	1.8313
7	19259000	0.446
7	20113000	0.2143
7	20208000	0.0752
7	21154000	0.0932
7	21296000	0.1562
7	21643000	0.1534
7	21910000	0.1556
7	22010000	0.1938
7	22311000	0.2354
7	23189000	0.2508
7	23825000	0.4156
7	23846000	0.291
7	24393000	0.124
7	24667000	0.1174
7	24696000	0.1584
7	24758000	0.1349
7	25137000	0.0873
7	25328000	0.1586
7	25361000	0.1751
7	25525000	0.1383
7	25846000	0.0515
7	25986000	0.0548
7	26043000	0.032
7	26239000	0.0001
7	26327000	0.0004
7	26672000	0.0003
7	26721000	0.0121
7	26773000	0.0404
7	26929000	0.0026
7	27628000	0.0478
7	28057000	0.086
7	28077000	0.2022
7	28152000	0.1112
7	28411000	0.1536
7	28556000	0.0839
8	0	0.1664
8	453000	0.1438
8	470000	0.0925
8	682000	0.0446
8	722000	0.1115
8	840000	0.1313
8	876000	0.1537
8	1008000	0.2107
8	1030000	0.379
8	1070000	0.4319
8	1289000	0.0276
8	2468000	0.015
8	2784000	0.024
8	2983000	0.0203
8	3016000	0.0165
8	3050000	0.0069
8	3123000	0.003
8	3184000	0.0058
8	3323000	0.008
8	3378000	0.0003
8	3459000	0.0058
8	3488000	0.0007
8	3513000	0.019
8	3757000	0.1081
8	3887000	0.1064
8	3973000	0.1218
8	4066000	0.108
8	4212000	0.0311
8	4237000	0.1086
8	4610000	0.0765
8	4659000	0.0966
8	4856000	0.0972
8	4889000	0.0966
8	5116000	0.1673
8	5169000	0.1684
8	5264000	0.1075
8	5393000	0.1936
8	5460000	0.1091
8	5737000	0.1603
8	5785000	0.1699
8	5840000	0.2901
8	5982000	0.2391
8	6002000	0.2409
8	6040000	0.2111
8	6207000	0.1576
8	6320000	0.2171
8	6724000	0.2258
8	7207000	0.1576
8	7861000	0.1015
8	8027000	0.052
8	8512000	0.0615
8	8579000	0.1263
8	8942000	0.2188
8	8973000	0.2215
8	8980000	0.1606
8	9351000	0.1089
8	10078000	0.0752
8	10166000	0.0817
8	10539000	0.1041
8	14447000	0.1364
8	15355000	0.2968
8	16586000	0.4638
8	16614000	0.4712
8	16871000	0.4724
8	16898000	0.4638
8	17386000	0.5814
8	17417000	0.5815
8	17428000	0.5815
8	17577000	0.6293
8	17893000	0.6529
8	18282000	0.5332
8	18412000	0.9722
8	18509000	1.1228
8	18781000	1.1222
8	18832000	0.9332
8	18868000	1.0751
8	18939000	1.5188
8	19194000	1.5605
8	19449000	2.051
8	19692000	2.4143
8	20099000	2.3528
8	20200000	2.357
8	20283000	2.2625
8	20620000	1.9905
8	20696000	2.1568
8	20714000	1.9483
8	20923000	1.969
8	21078000	1.3065
8	21784000	1.1998
8	22772000	0.0309
8	24402000	0.0059
8	24426000	0.0001
8	24922000	0
8	25333000	0.0003
8	25478000	0.0017
8	25506000	0.0049
8	25625000	0.0076
8	25765000	0.0023
8	25900000	0.0004
8	26106000	0
8	26149000	0.0086
8	26252000	0
8	26291000	0.0245
8	26324000	0.0585
8	26355000	0.0719
8	26439000	0.0911
8	26518000	0.0907
8	26594000	0.0911
8	26727000	0.1928
8	26858000	0.0006
8	26976000	0.0137
8	27162000	0.0058
8	27321000	0.0369
8	27544000	0.012
8	27582000	0.0122
8	27824000	0.0074
8	27935000	0.0122
8	28118000	0.024
9	0	0.3553
9	134000	0.2963
9	599000	0.2956
9	653000	0.2963
9	897000	0.3001
9	941000	0.372
9	1318000	0.4815
9	2021000	0.5058
9	2333000	0.4815
9	4352000	0.6107
9	5173000	0.5977
9	5630000	0.723
9	6015000	0.7084
9	6066000	0.6638
9	6118000	0.7853
9	6586000	0.8035
9	6604000	0.8076
9	6747000	0.6407
9	6900000	0.7743
9	6936000	0.8771
9	7089000	1.1324
9	7138000	1.1004
9	7752000	1.0727
9	7827000	1.0575
9	7960000	0.8832
9	8001000	1.0127
9	8159000	0.9872
9	8513000	1.0127
9	8618000	1.0092
9	8725000	0.9199
9	8960000	0.923
9	8987000	0.7748
9	9368000	0.548
9	9519000	0.5918
9	9643000	0.616
9	9939000	0.7452
9	10017000	0.5102
9	10159000	0.3354
9	10747000	0.3497
9	10832000	0.2552
9	11271000	0.2849
9	12203000	0.0057
9	14382000	0.1159
9	14826000	0.1451
9	14840000	0.1084
9	14930000	0.2416
9	15011000	0.2275
9	15440000	0.2063
9	15598000	0.2038
9	15817000	0.4925
9	16039000	0.4711
9	16359000	0.3279
9	16414000	0.8225
9	16519000	0.8294
9	16717000	0.8112
9	17037000	1.1709
9	17255000	1.4849
9	17491000	1.845
9	17559000	1.6329
9	17690000	1.9283
9	17793000	1.9228
9	17905000	1.8622
9	17937000	1.7924
9	17998000	2.3374
9	18145000	2.4406
9	18158000	2.4405
9	18178000	2.4399
9	18306000	2.715
9	18363000	2.905
9	18431000	2.4839
9	18511000	2.7324
9	18579000	2.8326
9	18736000	2.8662
9	18766000	2.8304
9	18818000	2.874
9	18899000	2.6237
9	18929000	2.4033
9	19010000	2.344
9	19069000	2.7231
9	19099000	2.7191
9	19176000	2.4074
9	19240000	2.2154
9	19270000	2.2463
9	19295000	2.3094
9	19450000	2.8322
9	19550000	3.3096
9	19805000	3.412
9	20063000	3.6485
9	20212000	3.722
9	20283000	3.6421
9	20374000	3.4519
9	20497000	2.9954
9	20548000	3.045
9	20590000	3.0025
9	20855000	2.8855
9	20891000	3.0123
9	21092000	2.415
9	21131000	2.5216
9	21153000	2.6126
9	21177000	2.3683
9	21279000	2.1787
9	21309000	2.4362
9	21372000	2.5451
9	21381000	3.2066
9	21514000	3.2077
9	21530000	3.3107
9	21597000	3.5872
9	21639000	3.2521
9	21794000	3.1677
9	21921000	1.8084
9	22177000	1.7616
9	22201000	1.7356
9	22249000	1.5757
9	22323000	1.5796
9	22395000	1.1765
