chr	start	end	value1	value2
2	9056489	9470162	p15	gneg
2	9470162	10134994	p14	gpos50
2	10134994	10563441	p13.3	gneg
2	10563441	10858922	p13.2	gpos50
2	10858922	11080533	p13.1	gneg
2	11080533	12306778	p12	gpos100
2	12306778	13370509	p11.2	gneg
2	13370509	13784183	p11.1	acen
2	13784183	14301274	q11.1	acen
2	14301274	15172943	q11.2	gneg
2	15172943	15660486	q12.1	gpos50
2	15660486	15882097	q12.2	gneg
2	15882097	16280996	q12.3	gpos25
2	16280996	16901506	q13	gneg
2	16901506	17551564	q14.1	gpos50
2	17551564	18083429	q14.2	gneg
2	18083429	19191482	q14.3	gpos50
2	19191482	19575608	q21.1	gneg
2	19575608	19959733	q21.2	gpos25
2	19959733	20210891	q21.3	gneg
2	20210891	21008690	q22.1	gpos100
2	21008690	21289397	q22.2	gneg
2	21289397	21969003	q22.3	gpos100
2	21969003	22146291	q23.1	gneg
2	22146291	22234935	q23.2	gpos25
2	22234935	22884993	q23.3	gneg
2	22884993	23608921	q24.1	gpos75
2	23608921	24185109	q24.2	gneg
2	24185109	25071552	q24.3	gpos75
2	25071552	26297797	q31.1	gneg
2	26297797	26681922	q31.2	gpos50
2	26681922	27036499	q31.3	gneg
2	27036499	27982038	q32.1	gpos75
2	27982038	28351389	q32.2	gneg
2	28351389	29163962	q32.3	gpos75
2	29163962	30035630	q33.1	gneg
2	30035630	30272015	q33.2	gpos50
2	30272015	30877751	q33.3	gneg
2	30877751	31808516	q34	gpos100
2	31808516	32724506	q35	gneg
2	32724506	33271146	q36.1	gpos75
2	33271146	33404112	q36.2	gneg
2	33404112	34128040	q36.3	gpos100
2	34128040	34807646	q37.1	gneg
2	34807646	35058805	q37.2	gpos50
2	35058805	35930381	q37.3	gneg
3	1	514784	p26.3	gpos50
3	514784	735405	p26.2	gneg
3	735405	1599507	p26.1	gpos50
3	1599507	2169446	p25.3	gneg
3	2169446	2445223	p25.2	gpos25
3	2445223	3015162	p25.1	gneg
3	3015162	4394047	p24.3	gpos100
3	4394047	4853675	p24.2	gneg
3	4853675	5681006	p24.1	gpos75
3	5681006	5901628	p23	gneg
3	5901628	6710574	p22.3	gpos50
3	6710574	7243743	p22.2	gneg
3	7243743	8034304	p22.1	gpos75
3	8034304	8107844	p21.33	gneg
3	8107844	8126229	p21.32	gpos50
3	8126229	9302878	p21.31	gneg
3	9302878	9615425	p21.2	gpos25
3	9615425	10001513	p21.1	gneg
3	10001513	10773688	p14.3	gpos50
3	10773688	11711330	p14.2	gneg
3	11711330	12832823	p14.1	gpos50
3	12832823	13641769	p13	gneg
3	13641769	14671337	p12.3	gpos75
3	14671337	15351587	p12.2	gneg
3	15351587	16031837	p12.1	gpos75
3	16031837	16160533	p11.2	gneg
3	16160533	16730472	p11.1	acen
3	16730472	17263641	q11.1	acen
3	17263641	18072587	q11.2	gvar
3	18072587	18385134	q12.1	gneg
3	18385134	18550600	q12.2	gpos25
3	18550600	18899918	q12.3	gneg
3	18899918	19525012	q13.11	gpos75
3	19525012	19837560	q13.12	gneg
3	19837560	20462654	q13.13	gpos50
3	20462654	20867127	q13.2	gneg
3	20867127	21565762	q13.31	gpos75
3	21565762	21878309	q13.32	gneg
3	21878309	22411478	q13.33	gpos75
3	22411478	22760796	q21.1	gneg
3	22760796	23128499	q21.2	gpos25
3	23128499	23753593	q21.3	gneg
3	23753593	24580924	q22.1	gpos25
3	24580924	24948627	q22.2	gneg
3	24948627	25500181	q22.3	gpos25
3	25500181	26253971	q23	gneg
3	26253971	27375464	q24	gpos100
3	27375464	27963789	q25.1	gneg
3	27963789	28496958	q25.2	gpos50
3	28496958	28864660	q25.31	gneg
3	28864660	29232363	q25.32	gpos50
3	29232363	29544910	q25.33	gneg
3	29544910	30813484	q26.1	gpos100
3	30813484	31420194	q26.2	gneg
3	31420194	32302680	q26.31	gpos75
3	32302680	32909390	q26.32	gneg
3	32909390	33589640	q26.33	gpos75
3	33589640	33920572	q27.1	gneg
3	33920572	34196349	q27.2	gpos25
3	34196349	34545667	q27.3	gneg
3	34545667	35354613	q28	gpos75
3	35354613	36406689	q29	gneg
4	1	830492	p16.3	gneg
4	830492	1107322	p16.2	gpos25
4	1107322	2085457	p16.1	gneg
4	2085457	2805216	p15.33	gpos50
4	2805216	3285055	p15.32	gneg
4	3285055	3930993	p15.31	gpos75
4	3930993	5112137	p15.2	gneg
4	5112137	6607022	p15.1	gpos100
4	6607022	7603612	p14	gneg
4	7603612	8231094	p13	gpos50
4	8231094	8895487	p12	gneg
4	8895487	9301505	p11	acen
4	9301505	9725979	q11	acen
4	9725979	10980944	q12	gneg
4	10980944	12291275	q13.1	gpos100
4	12291275	13011034	q13.2	gneg
4	13011034	14081446	q13.3	gpos75
4	14081446	14561285	q21.1	gneg
4	14561285	15207223	q21.21	gpos50
4	15207223	15520964	q21.22	gneg
4	15520964	16037715	q21.23	gpos25
4	16037715	16240724	q21.3	gneg
4	16240724	17292680	q22.1	gpos75
4	17292680	17551055	q22.2	gneg
4	17551055	18233904	q22.3	gpos75
4	18233904	18658377	q23	gneg
4	18658377	19876431	q24	gpos50
4	19876431	21057575	q25	gneg
4	21057575	22294084	q26	gpos75
4	22294084	22847746	q27	gneg
4	22847746	23770514	q28.1	gpos50
4	23770514	24194987	q28.2	gneg
4	24194987	25745238	q28.3	gpos100
4	25745238	26114346	q31.1	gneg
4	26114346	27092480	q31.21	gpos25
4	27092480	27406221	q31.22	gneg
4	27406221	27886061	q31.23	gpos25
4	27886061	28716553	q31.3	gneg
4	28716553	29860785	q32.1	gpos100
4	29860785	30359080	q32.2	gneg
4	30359080	31392581	q32.3	gpos100
4	31392581	31724778	q33	gneg
4	31724778	32536814	q34.1	gpos75
4	32536814	32758278	q34.2	gneg
4	32758278	33810234	q34.3	gpos100
4	33810234	34529993	q35.1	gneg
4	34529993	35278225	q35.2	gpos25
5	1	743589	p15.33	gneg
5	743589	1041024	p15.32	gpos25
5	1041024	1619371	p15.31	gneg
5	1619371	2478629	p15.2	gpos50
5	2478629	3040452	p15.1	gneg
5	3040452	3850137	p14.3	gpos100
5	3850137	4064952	p14.2	gneg
5	4064952	4775492	p14.1	gpos100
5	4775492	5585178	p13.3	gneg
5	5585178	6345291	p13.2	gpos25
5	6345291	7022783	p13.1	gneg
5	7022783	7617654	p12	gpos50
5	7617654	7997710	p11	acen
5	7997710	8377766	q11.1	acen
5	8377766	9732750	q11.2	gneg
5	9732750	10393718	q12.1	gpos75
5	10393718	10443291	q12.2	gneg
5	10443291	11021638	q12.3	gpos75
5	11021638	11302549	q13.1	gneg
5	11302549	12112234	q13.2	gpos50
5	12112234	12707105	q13.3	gneg
5	12707105	13450694	q14.1	gpos50
5	13450694	13682033	q14.2	gneg
5	13682033	15251831	q14.3	gpos100
5	15251831	16226759	q15	gneg
5	16226759	16986872	q21.1	gpos100
5	16986872	17267783	q21.2	gneg
5	17267783	18110517	q21.3	gpos100
5	18110517	18424477	q22.1	gneg
5	18424477	18688864	q22.2	gpos50
5	18688864	19035872	q22.3	gneg
5	19035872	20060372	q23.1	gpos100
5	20060372	21035299	q23.2	gneg
5	21035299	21580598	q23.3	gpos100
5	21580598	22505953	q31.1	gneg
5	22505953	23051251	q31.2	gpos25
5	23051251	23877461	q31.3	gneg
5	23877461	24753243	q32	gpos75
5	24753243	25232445	q33.1	gneg
5	25232445	25728170	q33.2	gpos50
5	25728170	26422187	q33.3	gneg
5	26422187	27843267	q34	gpos100
5	27843267	28553808	q35.1	gneg
5	28553808	29181727	q35.2	gpos25
5	29181727	29894789	q35.3	gneg
6	1	419996	p25.3	gneg
6	419996	766949	p25.2	gpos25
6	766949	1296509	p25.1	gneg
6	1296509	1935633	p24.3	gpos50
6	1935633	2118240	p24.2	gneg
6	2118240	2446932	p24.1	gpos25
6	2446932	2775625	p23	gneg
6	2775625	4601693	p22.3	gpos75
6	4601693	4930386	p22.2	gneg
6	4930386	5551249	p22.1	gpos50
6	5551249	5861681	p21.33	gneg
6	5861681	6117331	p21.32	gpos25
6	6117331	6683412	p21.31	gneg
6	6683412	7395579	p21.2	gpos25
6	7395579	8436438	p21.1	gneg
6	8436438	9459037	p12.3	gpos100
6	9459037	9659904	p12.2	gneg
6	9659904	10408592	p12.1	gpos100
6	10408592	10719024	p11.2	gneg
6	10719024	11139020	p11.1	acen
6	11139020	11559016	q11.1	acen
6	11559016	11577276	q11.2	gneg
6	11577276	12782482	q12	gpos100
6	12782482	13859862	q13	gneg
6	13859862	15320717	q14.1	gpos50
6	15320717	15503324	q14.2	gneg
6	15503324	16069406	q14.3	gpos50
6	16069406	17000701	q15	gneg
6	17000701	18169385	q16.1	gpos100
6	18169385	18370252	q16.2	gneg
6	18370252	19265026	q16.3	gpos100
6	19265026	20926749	q21	gneg
6	20926749	21602394	q22.1	gpos75
6	21602394	21638916	q22.2	gneg
6	21638916	23026728	q22.31	gpos100
6	23026728	23209335	q22.32	gneg
6	23209335	23793677	q22.33	gpos75
6	23793677	23958023	q23.1	gneg
6	23958023	24688451	q23.2	gpos50
6	24688451	25382357	q23.3	gneg
6	25382357	26076263	q24.1	gpos75
6	26076263	26587562	q24.2	gneg
6	26587562	27208426	q24.3	gpos75
6	27208426	27847550	q25.1	gneg
6	27847550	28395370	q25.2	gpos50
6	28395370	29399708	q25.3	gneg
6	29399708	30038832	q26	gpos50
6	30038832	31246789	q27	gneg
7	1	522504	p22.3	gneg
7	522504	839738	p22.2	gpos25
7	839738	1362242	p22.1	gneg
7	1362242	2575197	p21.3	gpos100
7	2575197	3079040	p21.2	gneg
7	3079040	3900118	p21.1	gpos100
7	3900118	4758517	p15.3	gneg
7	4758517	5225038	p15.2	gpos50
7	5225038	5374325	p15.1	gneg
7	5374325	6531298	p14.3	gpos75
7	6531298	6941837	p14.2	gneg
7	6941837	8080149	p14.1	gpos75
7	8080149	8472026	p13	gneg
7	8472026	9143817	p12.3	gpos75
7	9143817	9423730	p12.2	gneg
7	9423730	10076860	p12.1	gpos75
7	10076860	10823294	p11.2	gneg
7	10823294	11177850	p11.1	acen
7	11177850	11513745	q11.1	acen
7	11513745	12502770	q11.21	gneg
7	12502770	13473135	q11.22	gpos50
7	13473135	14462160	q11.23	gneg
7	14462160	16122975	q21.11	gpos100
7	16122975	16458871	q21.12	gneg
7	16458871	17000035	q21.13	gpos75
7	17000035	17317270	q21.2	gneg
7	17317270	18287634	q21.3	gpos75
7	18287634	19369963	q22.1	gneg
7	19369963	19500589	q22.2	gpos50
7	19500589	20041754	q22.3	gneg
7	20041754	21385335	q31.1	gpos75
7	21385335	21907839	q31.2	gneg
7	21907839	22598291	q31.31	gpos75
7	22598291	23102134	q31.32	gneg
7	23102134	23717942	q31.33	gpos75
7	23717942	24109820	q32.1	gneg
7	24109820	24333750	q32.2	gpos25
7	24333750	24744289	q32.3	gneg
7	24744289	25789296	q33	gpos50
7	25789296	26703678	q34	gneg
7	26703678	27599399	q35	gpos75
7	27599399	28476459	q36.1	gneg
7	28476459	28942980	q36.2	gpos25
7	28942980	29696629	q36.3	gneg
8	1	427472	p23.3	gneg
8	427472	1204693	p23.2	gpos75
8	1204693	2467678	p23.1	gneg
8	2467678	3691801	p22	gpos100
8	3691801	4527314	p21.3	gneg
8	4527314	5323966	p21.2	gpos50
8	5323966	5595993	p21.1	gneg
8	5595993	7092144	p12	gpos75
8	7092144	7441894	p11.23	gneg
8	7441894	7713921	p11.22	gpos25
8	7713921	8374559	p11.21	gneg
8	8374559	8860323	p11.1	acen
8	8860323	9346086	q11.1	acen
8	9346086	10142738	q11.21	gneg
8	10142738	10220460	q11.22	gpos75
8	10220460	10783945	q11.23	gneg
8	10783945	11969208	q12.1	gpos50
8	11969208	12085791	q12.2	gneg
8	12085791	12824151	q12.3	gpos50
8	12824151	13212762	q13.1	gneg
8	13212762	13698525	q13.2	gpos50
8	13698525	14359163	q13.3	gneg
8	14359163	15214106	q21.11	gpos100
8	15214106	15563856	q21.12	gneg
8	15563856	16438230	q21.13	gpos75
8	16438230	16885132	q21.2	gneg
8	16885132	18128686	q21.3	gpos100
8	18128686	19236227	q22.1	gneg
8	19236227	19741420	q22.2	gpos25
8	19741420	20635225	q22.3	gneg
8	20635225	21470738	q23.1	gpos75
8	21470738	21781626	q23.2	gneg
8	21781626	22869736	q23.3	gpos100
8	22869736	23161194	q24.11	gneg
8	23161194	23802402	q24.12	gpos50
8	23802402	24735067	q24.13	gneg
8	24735067	25551149	q24.21	gpos50
8	25551149	26503246	q24.22	gneg
8	26503246	27183314	q24.23	gpos75
8	27183314	28439308	q24.3	gneg
9	1	358498	p24.3	gneg
9	358498	749587	p24.2	gpos25
9	749587	1466583	p24.1	gneg
9	1466583	2313941	p23	gpos75
9	2313941	2705030	p22.3	gneg
9	2705030	3014642	p22.2	gpos25
9	3014642	3242777	p22.1	gneg
9	3242777	4171613	p21.3	gpos100
9	4171613	4562701	p21.2	gneg
9	4562701	5410060	p21.1	gpos100
9	5410060	5915216	p13.3	gneg
9	5915216	6257419	p13.2	gpos25
9	6257419	6681098	p13.1	gneg
9	6681098	7104778	p12	gpos50
9	7104778	7707706	p11.2	gneg
9	7707706	7984727	p11.1	acen
9	7984727	8261748	q11	acen
9	8261748	10738643	q12	gvar
9	10738643	11194913	q13	gneg
9	11194913	11765251	q21.11	gpos25
9	11765251	12058567	q21.12	gneg
9	12058567	12905926	q21.13	gpos50
9	12905926	13215538	q21.2	gneg
9	13215538	13704399	q21.31	gpos50
9	13704399	14160669	q21.32	gneg
9	14160669	14731007	q21.33	gpos50
9	14731007	14959142	q22.1	gneg
9	14959142	15301344	q22.2	gpos25
9	15301344	15741319	q22.31	gneg
9	15741319	16181294	q22.32	gpos25
9	16181294	16719041	q22.33	gneg
9	16719041	17631581	q31.1	gpos100
9	17631581	18136737	q31.2	gneg
9	18136737	18723370	q31.3	gpos25
9	18723370	19179640	q32	gneg
9	19179640	19961818	q33.1	gpos75
9	19961818	20499565	q33.2	gneg
9	20499565	21232856	q33.3	gpos25
9	21232856	21754308	q34.11	gneg
9	21754308	21835784	q34.12	gpos25
9	21835784	22145396	q34.13	gneg
9	22145396	22389827	q34.2	gpos25
9	22389827	23011239	q34.3	gneg
10	1	512077	p15.3	gneg
10	512077	648631	p15.2	gpos25
10	648631	1126570	p15.1	gneg
10	1126570	2082448	p14	gpos75
10	2082448	2952980	p13	gneg
10	2952980	3174880	p12.33	gpos75
10	3174880	3191949	p12.32	gneg
10	3191949	3857650	p12.31	gpos75
10	3857650	4199034	p12.2	gneg
10	4199034	5052497	p12.1	gpos50
10	5052497	5342674	p11.23	gneg
10	5342674	5871821	p11.22	gpos25
10	5871821	6486313	p11.21	gneg
10	6486313	6861837	p11.1	acen
10	6861837	7220291	q11.1	acen
10	7220291	7868922	q11.21	gneg
10	7868922	8517554	q11.22	gpos25
10	8517554	9029631	q11.23	gneg
10	9029631	10446378	q21.1	gpos100
10	10446378	11009663	q21.2	gneg
10	11009663	12050887	q21.3	gpos100
10	12050887	12784865	q22.1	gneg
10	12784865	13262804	q22.2	gpos50
10	13262804	13996781	q22.3	gneg
10	13996781	15003867	q23.1	gpos100
10	15003867	15276975	q23.2	gneg
10	15276975	15857329	q23.31	gpos75
10	15857329	16062160	q23.32	gneg
10	16062160	16557168	q23.33	gpos50
10	16557168	16949761	q24.1	gneg
10	16949761	17393561	q24.2	gpos50
10	17393561	17581323	q24.31	gneg
10	17581323	17905639	q24.32	gpos25
10	17905639	18059262	q24.33	gneg
10	18059262	19100486	q25.1	gpos100
10	19100486	19612563	q25.2	gneg
10	19612563	20329472	q25.3	gpos75
10	20329472	20773272	q26.11	gneg
10	20773272	21012241	q26.12	gpos50
10	21012241	21763288	q26.13	gneg
10	21763288	22292435	q26.2	gpos50
10	22292435	23134759	q26.3	gneg
11	1	591345	p15.5	gneg
11	591345	2259784	p15.4	gpos50
11	2259784	2682173	p15.3	gneg
11	2682173	3421355	p15.2	gpos50
11	3421355	4582926	p15.1	gneg
11	4582926	5512183	p14.3	gpos100
11	5512183	5744497	p14.2	gneg
11	5744497	6547037	p14.1	gpos75
11	6547037	7687489	p13	gneg
11	7687489	9186971	p12	gpos100
11	9186971	10306303	p11.2	gneg
11	10306303	10897649	p11.12	gpos75
11	10897649	11341158	p11.11	acen
11	11341158	11763547	q11	acen
11	11763547	12650565	q12.1	gpos75
11	12650565	13030715	q12.2	gneg
11	13030715	13389746	q12.3	gpos25
11	13389746	13917733	q13.1	gneg
11	13917733	14445720	q13.2	gpos25
11	14445720	14868110	q13.3	gneg
11	14868110	15881844	q13.4	gpos50
11	15881844	16283114	q13.5	gneg
11	16283114	18078270	q14.1	gpos100
11	18078270	18648496	q14.2	gneg
11	18648496	19598872	q14.3	gpos100
11	19598872	20528129	q21	gneg
11	20528129	21562983	q22.1	gpos100
11	21562983	21731939	q22.2	gneg
11	21731939	23315899	q22.3	gpos100
11	23315899	23759408	q23.1	gneg
11	23759408	24181798	q23.2	gpos50
11	24181798	25596802	q23.3	gneg
11	25596802	26167028	q24.1	gpos50
11	26167028	26990688	q24.2	gneg
11	26990688	27624272	q24.3	gpos50
11	27624272	28512666	q25	gneg
12	1	677919	p13.33	gneg
12	677919	1109323	p13.32	gpos25
12	1109323	2074844	p13.31	gneg
12	2074844	2629506	p13.2	gpos75
12	2629506	3040366	p13.1	gneg
12	3040366	4108603	p12.3	gpos100
12	4108603	4375662	p12.2	gneg
12	4375662	5443899	p12.1	gpos100
12	5443899	5710958	p11.23	gneg
12	5710958	6306705	p11.22	gpos50
12	6306705	6840824	p11.21	gneg
12	6840824	7354399	p11.1	acen
12	7354399	7847431	q11	acen
12	7847431	9531959	q12	gpos100
12	9531959	10086620	q13.11	gneg
12	10086620	10579652	q13.12	gpos25
12	10579652	11278115	q13.13	gneg
12	11278115	11627346	q13.2	gpos25
12	11627346	11935491	q13.3	gneg
12	11935491	12962642	q14.1	gpos75
12	12962642	13373502	q14.2	gneg
12	13373502	13907621	q14.3	gpos50
12	13907621	14688255	q15	gneg
12	14688255	15551062	q21.1	gpos75
12	15551062	16496041	q21.2	gneg
12	16496041	17810793	q21.31	gpos100
12	17810793	18283283	q21.32	gneg
12	18283283	19022831	q21.33	gpos100
12	19022831	19762380	q22	gneg
12	19762380	20871703	q23.1	gpos75
12	20871703	21323649	q23.2	gneg
12	21323649	22391886	q23.3	gpos50
12	22391886	22946547	q24.11	gneg
12	22946547	23069805	q24.12	gpos25
12	23069805	23480665	q24.13	gneg
12	23480665	23994241	q24.21	gpos50
12	23994241	24261300	q24.22	gneg
12	24261300	24795418	q24.23	gpos50
12	24795418	25863655	q24.31	gneg
12	25863655	26562118	q24.32	gpos50
12	26562118	27497214	q24.33	gneg
