chr	start	stop	val1	val2	val3	val4	val5	val6
2	1688963	2009186	c	e	c	b	d	d
2	2009187	2044214	a	a	a	b	b	b
2	2044215	2302301	c	a	b	d	b	b
2	2302302	2959590	d	a	b	b	e	d
2	2959591	4309732	d	a	b	d	c	e
2	4309733	4451911	b	b	a	c	d	c
2	4451912	4462139	d	e	a	c	c	b
2	4462140	4614740	b	b	b	d	a	e
2	4614741	4704887	c	a	a	d	e	e
2	4704888	4775892	b	e	b	c	e	e
2	4775893	4888452	c	c	c	c	b	d
2	4888453	5101418	b	d	a	b	b	e
2	5101419	6051198	a	d	a	d	d	e
2	6051199	6116079	d	b	c	c	b	e
2	6116080	6319740	d	b	a	b	c	d
2	6319741	6350930	c	b	a	c	c	b
2	6350931	7498452	d	d	a	d	b	d
2	7498453	8011224	d	e	a	c	e	c
2	8011225	8254104	d	c	b	c	e	d
2	8254105	8369373	b	a	a	c	a	d
2	8369374	8421684	a	e	c	d	c	e
2	8421685	8466884	b	e	b	c	e	c
2	8466885	9524068	d	d	a	d	d	b
2	9524069	9535625	b	e	a	d	d	c
2	9535626	10465615	c	b	a	d	c	d
2	10465616	10659676	a	d	a	b	d	b
2	10659677	11147384	d	d	b	b	e	c
2	11147385	11574769	a	a	c	d	d	e
2	11574770	11636988	d	e	b	c	c	b
2	11636989	11947277	a	b	b	d	b	b
2	11947278	13030059	c	a	b	d	c	b
2	13030060	13472575	d	d	c	c	b	e
2	13472576	13678383	a	b	c	d	e	b
2	13678384	13706278	b	c	b	d	c	e
2	13706279	13745613	b	b	c	c	e	b
2	13745614	14323503	c	c	a	d	c	b
2	14323504	14472112	d	c	a	b	e	d
2	14472113	14775740	c	b	b	b	c	c
2	14775741	15097061	d	d	a	d	c	c
2	15097062	15209577	b	e	b	b	d	d
2	15209578	15443087	b	b	b	c	c	c
2	15443088	15495894	b	b	b	b	c	b
2	15495895	15829080	c	b	c	c	e	b
2	15829081	16104746	c	b	a	d	a	c
2	16104747	16677748	b	d	a	b	e	c
2	16677749	16892304	b	b	c	c	d	c
2	16892305	16977077	c	e	c	c	c	d
2	16977078	17317898	d	d	b	c	b	b
2	17317899	17433812	d	d	c	d	d	d
2	17433813	18038045	b	b	c	b	d	c
2	18038046	18175661	d	c	b	c	b	b
2	18175662	18218875	a	d	a	d	b	e
2	18218876	18231399	b	e	b	b	d	c
2	18231400	19463232	c	b	c	d	c	b
2	19463233	19550817	c	b	a	b	c	e
2	19550818	19626862	a	e	b	b	c	d
2	19626863	19976490	a	a	a	d	c	b
2	19976491	20887991	a	e	a	b	c	c
2	20887992	21362055	a	c	c	b	e	b
2	21362056	21521088	a	c	b	c	e	d
2	21521089	21956667	c	d	a	b	e	c
2	21956668	23072752	b	c	c	d	c	c
2	23072753	23208560	d	c	a	c	d	e
2	23208561	23728469	d	e	c	d	b	d
2	23728470	24092086	d	a	c	b	a	c
2	24092087	24225517	b	e	a	c	a	b
2	24225518	24420182	c	c	a	d	e	d
2	24420183	24471883	d	b	c	c	e	e
2	24471884	24519027	a	b	a	d	b	d
2	24519028	24653989	d	b	c	d	b	c
2	24653990	25537263	b	d	b	c	c	b
2	25537264	25841528	a	d	a	d	a	c
2	25841529	26191093	d	c	b	b	b	e
2	26191094	26641761	a	b	a	d	a	c
2	26641762	26810574	a	b	b	b	e	e
2	26810575	26956397	a	c	b	c	b	b
2	26956398	27199294	d	d	b	c	e	d
2	27199295	27824541	d	e	b	d	d	b
2	27824542	28185596	c	a	b	c	a	e
2	28185597	28810652	a	a	c	b	c	c
2	28810653	28974068	d	d	c	b	d	d
2	28974069	29223306	a	b	c	b	c	c
2	29223307	29452940	d	d	a	b	c	d
2	29452941	30019217	c	c	b	b	c	c
2	30019218	30243526	d	a	c	d	d	e
2	30243527	30418538	d	c	c	c	e	d
2	30418539	30468883	a	e	a	c	c	d
2	30468884	30871909	c	b	b	b	a	d
2	30871910	31465391	d	b	c	b	c	c
2	31465392	32060579	a	c	c	c	c	c
2	32060580	32619644	a	b	b	b	e	d
2	32619645	32670221	d	d	c	b	a	b
2	32670222	32903882	d	e	b	b	d	d
2	32903883	33011890	a	a	c	d	b	e
2	33011891	33091266	a	e	c	c	b	d
2	33091267	33601082	c	b	c	b	a	c
2	33601083	34450492	b	c	a	d	b	e
2	34450493	35679744	d	e	a	b	d	d
2	35679745	35930381	d	b	c	b	a	c
3	0	367589	c	e	b	b	d	c
3	367590	519777	d	d	c	d	c	c
3	519778	612038	b	c	c	d	c	e
3	612039	880170	d	e	b	d	b	d
3	880171	925130	d	e	a	c	e	b
3	925131	1193747	b	b	a	d	d	b
3	1193748	1319400	b	c	b	b	c	c
3	1319401	1944430	d	b	a	d	b	c
3	1944431	2343484	b	c	b	c	e	d
3	2343485	2406048	b	b	b	d	a	e
3	2406049	2950596	a	e	c	b	d	b
3	2950597	3456340	d	e	a	b	c	d
3	3456341	4047328	a	a	b	b	c	d
3	4047329	4368951	d	d	a	b	b	c
3	4368952	4501260	d	e	a	b	b	b
3	4501261	4695453	b	d	c	b	d	e
3	4695454	4892153	c	e	b	c	b	b
3	4892154	7397304	b	b	c	d	a	b
3	7397305	7581999	d	d	a	d	b	b
3	7582000	7837064	c	c	a	c	d	e
3	7837065	7991614	b	c	a	c	b	e
3	7991615	8024670	a	a	a	b	b	b
3	8024671	8156546	c	e	a	b	b	d
3	8156547	8542172	b	b	b	b	d	c
3	8542173	8574580	c	c	a	d	b	c
3	8574581	9032253	a	d	a	b	c	e
3	9032254	9581079	b	c	b	d	e	b
3	9581080	9707508	c	d	c	c	e	c
3	9707509	10487562	d	b	b	c	b	c
3	10487563	11269986	a	e	b	b	a	e
3	11269987	11656204	a	b	b	d	c	e
3	11656205	12147941	d	d	b	c	e	c
3	12147942	12260893	d	a	b	c	c	b
3	12260894	12803787	b	d	b	c	e	e
3	12803788	13165097	c	b	c	d	e	e
3	13165098	13254305	c	a	c	c	e	d
3	13254306	13262898	c	e	a	b	b	e
3	13262899	13899569	d	c	b	c	e	d
3	13899570	14289426	c	a	c	c	a	b
3	14289427	14410534	d	d	c	c	d	b
3	14410535	14748999	c	e	c	c	a	c
3	14749000	15003846	a	d	c	d	a	d
3	15003847	15106435	a	c	a	d	b	e
3	15106436	15817855	d	a	b	b	d	b
3	15817856	15910124	a	c	b	c	d	e
3	15910125	16283079	c	d	b	b	a	e
3	16283080	16356051	b	c	a	d	c	c
3	16356052	17129588	a	d	a	c	d	d
3	17129589	17508801	d	c	a	b	a	d
3	17508802	17631456	d	d	a	b	d	c
3	17631457	17891055	c	b	a	d	d	b
3	17891056	17972904	c	e	c	c	a	e
3	17972905	18433550	a	b	a	d	e	d
3	18433551	18720223	a	e	c	d	e	b
3	18720224	18905676	a	d	c	d	a	d
3	18905677	19372401	a	c	c	d	a	d
3	19372402	19632307	a	a	b	b	e	d
3	19632308	19970164	d	c	a	d	e	c
3	19970165	20041401	a	e	a	c	d	d
3	20041402	20640112	d	a	a	c	d	c
3	20640113	20738085	d	d	b	d	b	e
3	20738086	20962931	d	e	a	d	b	d
3	20962932	21586152	b	e	a	d	e	e
3	21586153	22275227	a	b	b	d	d	e
3	22275228	22328807	a	d	c	d	b	c
3	22328808	22508132	a	c	c	b	e	e
3	22508133	22669915	c	c	c	b	c	c
3	22669916	22870945	b	b	c	b	e	b
3	22870946	25228587	b	b	a	c	d	e
3	25228588	25329197	b	c	a	d	a	b
3	25329198	25335989	c	a	b	d	b	d
3	25335990	25659900	a	d	a	b	d	d
3	25659901	25723669	c	a	b	d	e	b
3	25723670	25984867	c	d	a	c	e	d
3	25984868	26188964	b	b	a	b	e	c
3	26188965	26649443	c	e	a	d	b	d
3	26649444	26818884	d	b	a	b	c	d
3	26818885	27341094	a	c	b	c	c	c
3	27341095	28025164	c	b	c	b	d	c
3	28025165	28975959	c	a	b	d	d	e
3	28975960	29043005	b	b	a	d	a	b
3	29043006	29377828	a	b	b	d	b	b
3	29377829	29515170	a	c	b	d	c	d
3	29515171	29713578	d	a	c	b	b	e
3	29713579	30880631	a	a	b	d	b	d
3	30880632	30889597	c	d	b	b	b	d
3	30889598	30916290	a	a	b	d	e	c
3	30916291	31268052	c	d	c	b	e	c
3	31268053	31457070	a	e	c	c	e	c
3	31457071	32666116	a	d	c	b	e	c
3	32666117	33055423	c	e	c	b	e	d
3	33055424	33626956	c	c	a	d	a	e
3	33626957	33716906	b	c	c	d	a	d
3	33716907	33809351	c	c	c	c	e	d
3	33809352	34186994	a	c	a	d	d	e
3	34186995	34856484	d	d	a	c	a	e
3	34856485	35085507	d	a	c	d	b	c
3	35085508	35326754	b	e	c	c	e	d
3	35326755	35483453	b	c	a	c	a	e
3	35483454	36406689	b	b	a	d	e	b
4	0	527408	c	c	a	b	d	e
4	527409	535348	a	a	a	c	e	b
4	535349	627374	a	b	b	d	c	b
4	627375	893758	b	e	a	d	a	b
4	893759	1737977	b	d	c	b	e	d
4	1737978	1915562	d	a	a	c	a	b
4	1915563	2224796	a	c	b	d	d	e
4	2224797	2545907	b	e	c	c	a	b
4	2545908	3291197	b	c	a	d	a	e
4	3291198	3885017	c	d	c	d	e	e
4	3885018	4306238	c	c	b	c	d	b
4	4306239	4845523	c	e	b	c	c	e
4	4845524	4954460	b	d	a	d	a	d
4	4954461	5138484	c	a	c	d	b	d
4	5138485	5924623	b	d	c	b	a	e
4	5924624	6061442	b	a	b	b	e	e
4	6061443	6869944	d	c	c	b	d	d
4	6869945	7123200	a	b	a	d	d	b
4	7123201	7932394	c	a	b	c	d	c
4	7932395	8084793	d	d	c	b	a	e
4	8084794	8529128	d	a	a	d	e	c
4	8529129	9629455	b	a	a	b	b	c
4	9629456	10049307	c	e	c	d	e	d
4	10049308	10373529	b	e	a	d	c	c
4	10373530	10737338	b	e	a	d	c	b
4	10737339	10743177	d	a	b	d	a	b
4	10743178	11880409	c	a	a	c	a	e
4	11880410	12088796	b	d	b	b	c	e
4	12088797	12464042	a	b	b	d	e	e
4	12464043	12571939	d	b	c	d	e	e
4	12571940	12627006	d	e	c	c	e	c
4	12627007	12694576	d	e	c	d	b	e
4	12694577	12789912	a	e	c	c	c	b
4	12789913	13227623	c	d	b	c	a	c
4	13227624	13291280	c	c	b	d	b	b
4	13291281	13702942	b	c	c	b	e	e
4	13702943	14008741	d	a	a	b	c	c
4	14008742	14164649	a	c	b	b	a	d
4	14164650	14443665	c	c	a	c	b	b
4	14443666	14480128	c	d	c	c	a	c
4	14480129	14489598	a	a	b	d	e	d
4	14489599	14721376	b	e	a	b	c	e
4	14721377	14878477	c	b	c	c	d	b
4	14878478	14919668	b	c	c	b	a	d
4	14919669	16475479	a	a	c	b	a	c
4	16475480	17401703	d	d	b	b	b	d
4	17401704	17716510	b	a	a	d	e	c
4	17716511	17768525	d	b	b	c	e	d
4	17768526	17931787	a	a	a	b	e	d
4	17931788	18140017	c	e	b	c	d	e
4	18140018	18943110	b	e	c	c	b	d
4	18943111	19027779	a	d	a	b	d	b
4	19027780	19276638	b	c	c	d	c	b
4	19276639	19431783	a	a	c	d	d	c
4	19431784	19677030	d	d	b	b	e	b
4	19677031	19712510	d	e	c	d	e	c
4	19712511	19825090	b	e	c	d	e	d
4	19825091	19831142	d	e	b	c	c	d
4	19831143	20741291	b	c	c	c	c	d
4	20741292	20924529	d	a	c	c	d	e
4	20924530	21279618	c	a	a	c	a	b
4	21279619	22077843	a	e	a	c	e	e
4	22077844	22830870	a	e	b	c	e	b
4	22830871	24768046	c	e	a	b	b	d
4	24768047	24977578	b	a	c	c	a	d
4	24977579	25128949	d	a	a	d	d	e
4	25128950	25658086	d	e	b	b	c	c
4	25658087	26314738	c	d	c	b	d	c
4	26314739	26324719	c	a	c	d	d	b
4	26324720	26379690	c	d	b	d	e	e
4	26379691	27135336	b	d	a	c	c	b
4	27135337	27758648	d	c	c	b	a	d
4	27758649	27859323	a	e	b	d	a	c
4	27859324	28451237	a	b	a	c	c	b
4	28451238	28638049	a	d	c	d	b	e
4	28638050	28654111	b	a	c	d	a	c
4	28654112	29033359	c	a	b	d	a	c
4	29033360	29184231	c	b	b	b	a	b
4	29184232	29253811	c	e	b	d	e	e
4	29253812	29295564	a	e	c	d	d	d
4	29295565	29528160	a	c	b	c	d	d
4	29528161	30042504	b	e	c	c	e	c
4	30042505	30054729	b	b	a	c	c	b
4	30054730	30120685	a	e	b	d	a	e
4	30120686	30339427	b	a	c	c	d	d
4	30339428	30575712	d	a	c	c	a	d
4	30575713	31094358	c	a	a	d	a	e
4	31094359	31120145	b	e	a	d	c	c
4	31120146	31147033	a	b	b	c	e	e
4	31147034	31816620	b	d	b	d	d	b
4	31816621	32178703	b	c	a	c	e	c
4	32178704	32475455	b	d	c	b	d	c
4	32475456	33090747	a	b	b	c	e	e
4	33090748	33451633	a	b	a	b	a	c
4	33451634	34098364	c	e	a	b	d	c
4	34098365	34728478	a	c	b	c	a	b
4	34728479	34779248	d	e	a	d	a	c
4	34779249	34817774	b	e	b	b	d	c
4	34817775	34942092	d	a	c	d	c	c
4	34942093	35278225	c	a	a	b	c	c
5	0	1004046	c	d	b	b	a	b
5	1004047	1298902	b	b	c	d	b	c
5	1298903	2852827	b	d	b	c	c	c
5	2852828	3215142	d	e	a	c	c	c
5	3215143	3549525	a	a	a	b	e	c
5	3549526	3631376	b	b	b	c	b	e
5	3631377	3813468	a	e	a	b	c	c
5	3813469	4033521	b	b	a	d	a	d
5	4033522	4291336	b	d	c	c	b	c
5	4291337	4511614	d	b	a	d	e	e
5	4511615	5000636	d	d	a	c	a	d
5	5000637	5391993	a	c	b	b	c	d
5	5391994	6157020	d	b	a	c	c	e
5	6157021	6176230	a	e	c	d	a	c
5	6176231	6317437	c	a	a	c	e	d
5	6317438	6372034	a	e	a	b	d	d
5	6372035	6382900	d	b	b	b	d	b
5	6382901	6681645	b	d	a	d	e	b
5	6681646	6870030	b	e	c	d	a	d
5	6870031	7112744	c	e	c	d	a	c
5	7112745	7377221	a	e	c	d	d	b
5	7377222	7837159	a	a	a	c	c	d
5	7837160	8044790	b	e	a	b	d	d
5	8044791	8615828	b	d	a	d	c	e
5	8615829	8754348	c	b	c	d	b	e
5	8754349	9383048	a	a	c	c	c	b
5	9383049	9593071	a	d	c	b	d	e
5	9593072	9779214	b	b	c	c	b	e
5	9779215	9789402	b	d	a	d	d	b
5	9789403	10170472	a	d	b	b	d	d
5	10170473	10263243	a	e	c	d	b	c
5	10263244	10382002	d	d	b	d	a	d
5	10382003	10542528	d	e	a	b	a	d
5	10542529	10654055	a	a	a	b	c	e
5	10654056	12265543	d	b	c	c	c	e
5	12265544	12564885	a	d	a	c	d	d
5	12564886	13142450	a	d	b	d	e	e
5	13142451	13227199	d	b	c	c	a	b
5	13227200	13408703	b	e	a	c	a	e
5	13408704	13462081	d	c	a	c	d	b
5	13462082	13846407	b	d	c	d	b	b
5	13846408	13865645	b	b	a	d	a	c
5	13865646	13975065	b	e	c	c	c	c
5	13975066	14280003	b	c	a	b	b	c
5	14280004	14919098	d	d	a	c	a	b
5	14919099	15812836	a	a	c	c	e	e
5	15812837	16498709	d	a	c	c	d	e
5	16498710	16858026	a	e	a	d	d	e
5	16858027	17065423	b	b	c	d	b	c
5	17065424	17226062	d	d	a	c	d	e
5	17226063	17422001	d	a	c	c	d	d
5	17422002	17585671	d	e	b	c	d	d
5	17585672	17709909	c	d	b	c	c	c
5	17709910	17859146	b	b	a	d	a	e
5	17859147	17898794	b	b	c	b	c	c
5	17898795	18038316	a	c	c	d	b	e
5	18038317	18246786	d	d	a	c	c	b
5	18246787	18431111	a	a	c	d	a	e
5	18431112	18519786	d	c	b	b	c	c
5	18519787	18650781	b	b	b	c	c	d
5	18650782	19060640	c	b	a	d	e	e
5	19060641	19088518	c	c	a	c	b	b
5	19088519	19260671	a	c	c	b	e	b
5	19260672	19285456	a	c	b	b	e	d
5	19285457	19322389	a	a	a	b	c	d
5	19322390	19535580	d	d	c	c	e	d
5	19535581	19628374	d	a	a	d	a	b
5	19628375	20369335	a	e	a	d	a	c
5	20369336	20442312	b	c	b	b	d	e
5	20442313	20461204	d	c	c	d	a	b
5	20461205	20804810	a	d	c	b	c	b
5	20804811	21275301	c	b	a	d	d	e
5	21275302	21543003	c	c	b	c	a	d
5	21543004	21666381	a	c	c	c	e	d
5	21666382	22503819	b	a	b	b	a	d
5	22503820	22852198	b	b	a	d	a	c
5	22852199	22854933	b	e	c	d	b	d
5	22854934	23234412	b	d	a	c	d	e
5	23234413	23342678	b	e	c	c	a	d
5	23342679	23625875	d	b	c	c	c	e
5	23625876	24016628	c	c	c	b	d	c
5	24016629	24316857	b	a	b	d	b	e
5	24316858	24379629	b	b	a	d	e	d
5	24379630	24978402	b	c	b	b	d	c
5	24978403	25091486	c	c	b	d	c	c
5	25091487	25370645	d	d	a	b	e	c
5	25370646	25724896	b	a	b	c	b	c
5	25724897	25851257	c	c	b	c	b	e
5	25851258	26539397	d	a	b	b	d	b
5	26539398	26862549	b	d	a	b	c	b
5	26862550	26943498	c	d	c	d	e	e
5	26943499	27515141	b	c	b	b	e	d
5	27515142	27652425	b	e	b	d	c	d
5	27652426	27844894	d	d	b	b	b	e
5	27844895	28086323	d	d	b	b	b	e
5	28086324	28251985	b	e	c	d	e	d
5	28251986	28291226	c	e	c	d	b	d
5	28291227	28600461	d	c	c	b	e	b
5	28600462	29511406	a	e	c	b	b	c
5	29511407	29894789	c	d	a	b	e	e
6	0	628667	c	b	b	b	d	b
6	628668	671273	b	b	b	b	e	e
6	671274	1106777	c	e	a	c	c	e
6	1106778	1393166	c	d	c	d	a	e
6	1393167	1398673	d	a	a	b	b	c
6	1398674	2002595	b	a	c	d	b	b
6	2002596	2112429	c	e	a	c	e	d
6	2112430	2142797	a	a	b	c	e	d
6	2142798	2271886	a	b	b	b	b	d
6	2271887	2920768	b	a	a	b	d	d
6	2920769	3495029	c	e	a	b	d	c
6	3495030	4069837	b	e	a	c	c	c
6	4069838	4161329	a	e	b	d	b	d
6	4161330	4209229	c	c	c	d	e	b
6	4209230	4431980	d	e	b	c	b	d
6	4431981	4687250	b	d	b	c	e	e
6	4687251	4867395	d	b	b	d	e	c
6	4867396	4965220	d	e	b	b	e	c
6	4965221	4982634	a	e	c	d	d	d
6	4982635	4995976	a	c	b	d	e	d
6	4995977	5832093	a	e	b	d	b	e
6	5832094	6018573	b	e	a	b	b	b
6	6018574	6365880	b	a	b	d	b	d
6	6365881	6892323	b	c	a	c	d	e
6	6892324	7007583	c	a	b	c	b	d
6	7007584	7135475	a	a	c	c	b	c
6	7135476	7317818	b	e	c	c	a	e
6	7317819	7808597	d	b	a	b	a	d
6	7808598	8903642	b	c	a	b	c	b
6	8903643	8976679	d	c	a	c	e	e
6	8976680	9567707	d	e	c	b	b	d
6	9567708	9868182	d	e	a	b	b	b
6	9868183	10754242	d	a	a	b	d	c
6	10754243	11017313	b	a	a	b	b	d
6	11017314	11034964	b	d	c	d	d	e
6	11034965	11650662	a	c	a	d	c	b
6	11650663	11716314	d	c	c	d	b	c
6	11716315	12116126	b	e	c	d	c	b
6	12116127	12283063	b	d	a	b	e	b
6	12283064	12290830	b	b	c	c	d	e
6	12290831	12818296	a	a	a	c	b	e
6	12818297	12939155	a	b	c	c	e	d
6	12939156	12963372	a	e	c	d	c	e
6	12963373	13049799	c	c	c	c	c	b
6	13049800	13215246	b	b	a	d	e	b
6	13215247	13220189	a	c	a	c	d	c
6	13220190	13641441	d	d	c	c	b	e
6	13641442	14434514	a	c	c	b	a	c
6	14434515	14458952	a	d	b	b	c	c
6	14458953	14641077	c	e	a	c	c	b
6	14641078	15146778	a	e	c	d	e	b
6	15146779	15222032	d	c	c	c	e	b
6	15222033	17527617	a	e	c	d	b	c
6	17527618	17947647	c	a	a	b	a	e
6	17947648	18062407	c	c	a	d	a	c
6	18062408	18226510	c	e	c	b	a	e
6	18226511	18359963	b	d	a	d	d	c
6	18359964	18875852	a	d	b	b	b	d
6	18875853	19133358	b	e	b	c	a	b
6	19133359	19154490	b	e	a	c	d	e
6	19154491	19238963	b	b	c	d	a	c
6	19238964	19368440	a	c	b	c	b	d
6	19368441	19446598	c	d	c	b	e	c
6	19446599	19634768	c	a	b	d	b	b
6	19634769	19937294	d	e	b	d	d	d
6	19937295	20126374	d	c	c	d	a	b
6	20126375	20159439	d	c	a	d	d	c
6	20159440	20545559	d	c	a	c	e	b
6	20545560	20653150	d	d	a	d	e	c
6	20653151	20704045	c	a	a	b	c	b
6	20704046	20723572	c	a	c	b	b	c
6	20723573	20907829	b	b	c	d	c	d
6	20907830	21395607	c	e	c	b	c	e
6	21395608	22156947	b	d	c	c	b	c
6	22156948	22232887	b	d	a	d	b	d
6	22232888	22317029	a	d	b	b	a	c
6	22317030	22340673	d	a	c	d	d	e
6	22340674	22645569	a	e	a	b	c	c
6	22645570	23415783	b	a	b	d	a	b
6	23415784	25061334	d	a	b	d	d	e
6	25061335	25840087	a	b	b	c	d	e
6	25840088	27016325	a	a	c	d	b	c
6	27016326	27072674	d	a	b	d	c	e
6	27072675	27312960	d	e	c	d	a	d
6	27312961	27694986	a	b	c	b	e	d
6	27694987	27721540	c	e	c	c	d	b
6	27721541	27745469	d	e	b	b	d	c
6	27745470	27783046	b	a	c	b	b	d
6	27783047	28335805	a	b	a	c	a	c
6	28335806	29003440	b	a	c	b	c	d
6	29003441	29236781	c	d	c	c	d	e
6	29236782	29390658	a	a	b	c	e	d
6	29390659	29495825	d	c	b	d	a	b
6	29495826	29749585	a	d	a	b	c	b
6	29749586	29826995	c	e	b	c	a	d
6	29826996	29837744	a	d	c	d	e	c
6	29837745	30093508	c	d	c	d	b	b
6	30093509	30194949	d	e	b	d	b	c
6	30194950	31036008	c	a	b	b	a	c
6	31036009	31246789	b	d	b	c	e	b
7	0	212088	d	c	c	c	a	b
7	212089	282599	d	d	b	c	e	e
7	282600	468161	a	e	c	b	b	e
7	468162	1072676	d	c	a	d	d	b
7	1072677	1263230	c	d	b	c	c	d
7	1263231	1949476	a	d	a	d	e	d
7	1949477	2329239	b	c	b	c	e	c
7	2329240	2766041	b	e	a	d	e	d
7	2766042	2792445	b	b	c	d	a	d
7	2792446	2850721	d	e	b	d	d	c
7	2850722	3222870	a	a	c	b	a	e
7	3222871	3335520	c	a	c	d	b	d
7	3335521	3399100	d	b	a	b	d	e
7	3399101	4179807	a	a	a	b	c	d
7	4179808	4595977	d	b	c	d	c	c
7	4595978	5188686	d	b	a	c	b	b
7	5188687	5476805	d	a	c	d	c	b
7	5476806	6415458	c	e	c	b	d	e
7	6415459	6668065	c	e	b	d	d	c
7	6668066	6719519	b	e	a	d	d	b
7	6719520	7379626	c	e	c	d	b	b
7	7379627	7506554	b	b	c	d	b	c
7	7506555	7932353	b	d	b	b	b	e
7	7932354	8316042	a	c	b	d	c	b
7	8316043	8914090	c	a	a	d	d	d
7	8914091	9687800	c	e	a	c	b	b
7	9687801	10358068	d	a	b	b	c	e
7	10358069	10567819	c	a	b	c	a	c
7	10567820	10698866	b	c	c	b	c	b
7	10698867	10943221	b	d	b	c	e	b
7	10943222	11353230	c	e	c	b	d	d
7	11353231	11841210	c	a	c	d	e	b
7	11841211	12246640	a	a	c	c	e	c
7	12246641	12246879	a	c	a	d	e	c
7	12246880	12491061	b	e	c	d	c	d
7	12491062	13462777	d	b	a	d	a	b
