chr	start	stop	TE	NTE	TR	NR
1	17300001	17400000	7	12	13	19
1	17400001	17500000	7	19	9	22
1	17500001	17600000	10	10	17	20
1	17600001	17700000	5	7	14	6
1	17700001	17800000	4	13	7	15
1	17800001	17900000	10	6	21	12
1	17900001	18000000	2	19	9	25
1	18000001	18100000	2	16	11	16
1	1800001	1900000	3	18	14	18
1	18100001	18200000	1	12	6	23
1	18200001	18300000	8	6	9	13
1	18300001	18400000	6	9	11	8
1	18400001	18500000	9	11	13	23
1	18500001	18600000	5	13	-1	17
1	18600001	18700000	2	13	10	8
1	18700001	18800000	5	10	10	14
1	18800001	18900000	5	7	11	12
1	18900001	19000000	5	10	3	3
1	19000001	19100000	5	25	13	34
1	1900001	2000000	2	19	12	26
1	19100001	19200000	7	9	15	12
1	19200001	19300000	5	9	10	16
1	19300001	19400000	1	14	4	19
1	19400001	19500000	7	11	3	10
1	19500001	19600000	12	6	26	18
1	19600001	19700000	13	9	19	10
1	19700001	19800000	14	1	20	-1
1	19800001	19900000	10	10	16	21
1	19900001	20000000	11	12	15	12
1	20000001	20100000	4	4	8	10
1	2000001	2100000	3	19	6	22
1	200001	300000	5	22	14	33
1	20100001	20200000	6	8	18	13
1	20200001	20300000	8	11	10	12
1	20300001	20400000	3	11	7	13
1	20400001	20500000	5	9	15	7
1	20500001	20600000	8	7	13	12
1	20600001	20700000	5	7	8	15
1	20700001	20800000	6	10	18	17
1	20800001	20900000	14	12	19	11
1	20900001	21000000	3	12	7	24
1	21000001	21100000	6	9	10	10
1	2100001	2200000	4	10	11	15
1	21100001	21200000	1	24	6	33
1	21200001	21300000	7	10	14	11
1	21300001	21400000	7	9	13	14
1	21400001	21500000	6	8	8	12
1	21500001	21600000	5	4	18	18
1	21600001	21700000	4	21	2	28
1	21700001	21800000	7	14	9	20
1	21800001	21900000	2	10	3	25
1	21900001	22000000	1	16	6	23
1	22000001	22100000	3	15	9	15
1	2200001	2300000	4	20	4	28
1	22100001	22200000	3	9	15	24
1	22200001	22300000	9	5	15	19
1	22300001	22400000	4	14	2	16
1	22400001	22500000	4	21	13	23
1	22500001	22600000	4	12	13	16
1	22600001	22700000	3	14	10	18
1	22700001	22800000	0	18	0	25
1	22800001	22900000	1	15	10	31
1	22900001	23000000	0	23	5	29
1	23000001	23100000	6	10	17	20
1	2300001	2400000	2	17	5	27
1	23100001	23200000	5	10	13	10
1	23200001	23300000	7	9	16	16
1	23300001	23400000	1	21	12	35
1	23400001	23500000	7	8	12	12
1	23500001	23600000	7	13	2	19
1	23600001	23700000	1	13	11	23
1	23700001	23800000	2	11	0	12
1	23800001	23900000	2	21	1	25
1	23900001	24000000	0	14	6	24
1	24000001	24100000	2	6	-4	10
1	2400001	2500000	2	14	23	13
1	24100001	24200000	1	19	4	22
1	24200001	24300000	4	18	2	21
1	24300001	24400000	0	20	0	31
1	24400001	24500000	3	15	7	23
1	24500001	24600000	1	11	10	18
1	24600001	24700000	3	13	16	21
1	24700001	24800000	3	10	6	14
1	24800001	24900000	0	19	4	24
1	24900001	25000000	0	19	9	22
1	25000001	25100000	1	16	17	14
1	2500001	2600000	2	22	17	21
1	25100001	25200000	6	15	10	20
1	25200001	25300000	2	14	8	14
1	25300001	25400000	3	18	6	27
1	25400001	25500000	1	15	10	17
1	25500001	25600000	5	13	11	29
1	25600001	25700000	5	11	14	5
1	25700001	25800000	3	16	9	24
1	25800001	25900000	6	8	9	12
1	25900001	26000000	3	14	17	21
1	26000001	26100000	5	14	14	9
1	2600001	2700000	1	22	11	25
1	26100001	26200000	1	14	2	20
1	26200001	26300000	5	14	19	21
1	26300001	26400000	3	12	13	19
1	26400001	26500000	5	12	14	11
1	26500001	26600000	4	15	3	27
1	26600001	26700000	3	11	3	13
1	26700001	26800000	3	14	16	18
1	26800001	26900000	3	9	0	9
1	26900001	27000000	11	5	21	3
1	27000001	27100000	4	23	9	24
1	2700001	2800000	2	14	5	21
1	27100001	27200000	1	24	12	34
1	27200001	27300000	0	18	8	21
1	27300001	27400000	4	16	7	24
1	27400001	27500000	9	8	5	13
1	27500001	27600000	2	14	10	14
1	27600001	27700000	0	21	10	27
1	27700001	27800000	3	17	11	17
1	27800001	27900000	1	15	10	28
1	27900001	28000000	2	16	8	26
1	28000001	28100000	0	18	10	27
1	2800001	2900000	1	20	4	25
1	28100001	28200000	0	19	2	22
1	28200001	28300000	2	12	12	20
1	28300001	28400000	1	17	12	18
1	28400001	28500000	3	16	13	26
1	28500001	28600000	2	29	0	28
1	28600001	28700000	2	13	16	19
1	28700001	28800000	4	16	14	22
1	28800001	28900000	4	14	14	22
1	28900001	29000000	1	15	5	22
1	29000001	29100000	5	16	0	23
1	2900001	3000000	7	22	19	21
1	29100001	29200000	3	16	9	32
1	29200001	29300000	0	20	3	20
1	29300001	29400000	4	13	13	14
1	29400001	29500000	1	19	1	19
1	29500001	29600000	1	27	7	31
1	29600001	29700000	1	14	1	24
1	29700001	29800000	2	20	15	23
1	29800001	29900000	2	17	17	20
1	29900001	30000000	0	21	12	25
1	30000001	30100000	0	26	1	21
1	3000001	3100000	3	30	5	33
1	300001	400000	0	18	5	18
1	30100001	30200000	0	22	14	32
1	30200001	30300000	1	11	10	12
1	30300001	30400000	1	22	-2	20
1	30400001	30500000	3	17	5	12
1	30500001	30600000	2	16	4	23
1	30600001	30700000	1	16	6	19
1	30700001	30800000	2	18	1	22
1	30800001	30900000	2	14	1	24
1	30900001	31000000	2	20	8	23
1	31000001	31100000	2	21	2	25
1	3100001	3200000	6	13	22	14
1	31100001	31200000	4	9	8	13
1	31200001	31300000	6	14	9	16
1	31300001	31400000	0	25	3	22
1	31400001	31500000	9	8	12	20
1	31500001	31600000	2	17	9	27
1	31600001	31700000	2	25	8	24
1	31700001	31800000	0	14	-4	25
1	31800001	31900000	0	23	8	35
1	31900001	32000000	3	20	10	29
1	32000001	32100000	2	21	3	24
1	3200001	3300000	5	17	11	23
1	32100001	32200000	1	23	8	33
1	32200001	32300000	3	21	5	24
1	32300001	32400000	4	18	9	22
1	32400001	32500000	4	10	12	16
1	32500001	32600000	1	23	2	24
1	32600001	32700000	0	19	12	20
1	32700001	32800000	0	19	7	22
1	32800001	32900000	1	17	6	28
1	32900001	33000000	0	14	1	21
1	33000001	33100000	8	15	18	25
1	3300001	3400000	6	21	17	13
1	33100001	33200000	0	19	13	16
1	33200001	33300000	0	16	7	18
1	33300001	33400000	2	21	1	19
1	33400001	33500000	6	14	15	15
1	33500001	33600000	1	24	12	32
1	33600001	33700000	0	21	12	31
1	33700001	33800000	1	17	8	19
1	33800001	33900000	2	17	2	21
1	33900001	34000000	5	20	9	25
1	34000001	34100000	2	14	8	19
1	3400001	3500000	2	26	11	27
1	34100001	34200000	0	22	3	27
1	34200001	34300000	5	11	12	19
1	34300001	34400000	0	15	-2	26
1	34400001	34500000	1	20	-4	30
1	34500001	34600000	0	23	5	24
1	34600001	34700000	0	23	0	26
1	34700001	34800000	2	13	11	21
1	34800001	34900000	3	17	11	9
1	34900001	35000000	5	15	7	13
1	35000001	35100000	7	12	2	26
1	3500001	3600000	0	16	10	21
1	35100001	35200000	2	16	-4	18
1	35200001	35300000	5	8	12	14
1	35300001	35400000	4	12	14	19
1	35400001	35500000	3	21	8	31
1	35500001	35600000	2	18	11	35
1	35600001	35700000	2	21	3	34
1	35700001	35800000	0	30	1	37
1	35800001	35900000	0	23	7	22
1	35900001	36000000	5	17	22	20
1	36000001	36100000	3	21	11	26
1	3600001	3700000	0	17	3	16
1	36100001	36200000	0	24	3	36
1	36200001	36300000	1	17	2	13
1	36300001	36400000	2	22	5	30
1	36400001	36500000	0	19	16	25
1	36500001	36600000	9	4	11	9
1	36600001	36700000	2	21	11	21
1	36700001	36800000	4	15	10	27
1	36800001	36900000	7	5	10	12
1	36900001	37000000	6	10	13	34
1	37000001	37100000	0	22	-4	30
1	3700001	3800000	7	16	7	23
1	37100001	37200000	1	21	5	23
1	37200001	37300000	8	16	19	15
1	37300001	37400000	3	21	4	26
1	37400001	37500000	3	17	5	25
1	37500001	37600000	0	36	-5	42
1	37600001	37700000	0	17	12	26
1	37700001	37800000	0	23	16	27
1	37800001	37900000	4	17	7	21
1	37900001	38000000	0	18	4	24
1	38000001	38100000	0	18	14	18
1	3800001	3900000	1	19	6	27
1	38100001	38200000	2	21	7	24
1	38200001	38300000	2	22	7	25
1	38300001	38400000	2	15	8	21
1	38400001	38500000	1	17	-2	24
1	38500001	38600000	3	16	6	23
1	38600001	38700000	0	17	6	25
1	38700001	38800000	3	16	9	24
1	38800001	38900000	2	19	2	20
1	38900001	39000000	0	25	-2	30
1	39000001	39100000	0	23	-4	27
1	3900001	4000000	2	16	16	24
1	39100001	39200000	2	14	2	21
1	39200001	39300000	0	19	7	23
1	39300001	39400000	1	20	14	25
1	39400001	39500000	3	17	8	19
1	39500001	39600000	2	17	10	23
1	39600001	39700000	6	19	13	19
1	39700001	39800000	4	18	-1	25
1	39800001	39900000	0	23	6	38
1	39900001	40000000	0	20	17	29
1	40000001	40100000	6	16	16	10
1	4000001	4100000	1	16	11	17
1	400001	500000	3	16	4	20
1	40100001	40200000	1	22	5	25
1	40200001	40300000	0	17	11	27
1	40300001	40400000	3	11	-3	5
1	40400001	40500000	0	12	2	23
1	40500001	40600000	2	13	1	24
1	40600001	40700000	0	19	9	18
1	40700001	40800000	0	22	13	31
1	40800001	40900000	2	25	6	28
1	40900001	41000000	2	20	12	23
1	41000001	41100000	1	24	12	33
1	4100001	4200000	3	12	16	12
1	41100001	41200000	0	21	3	32
1	41200001	41300000	0	13	0	20
1	41300001	41400000	2	15	13	30
1	41400001	41500000	3	18	5	26
1	41500001	41600000	1	21	8	25
1	41600001	41700000	8	5	17	13
1	41700001	41800000	3	8	8	15
1	41800001	41900000	2	20	7	25
1	41900001	42000000	2	18	6	22
1	42000001	42100000	1	17	10	23
1	4200001	4300000	1	13	7	22
1	42100001	42200000	1	16	9	25
1	42200001	42300000	2	24	17	25
1	42300001	42400000	1	18	2	19
1	42400001	42500000	2	25	1	31
1	42500001	42600000	3	15	14	22
1	42600001	42700000	0	25	10	35
1	42700001	42800000	2	15	11	21
1	42800001	42900000	7	24	14	37
1	42900001	43000000	5	12	9	28
1	43000001	43100000	6	16	5	24
1	4300001	4400000	3	22	10	28
1	43100001	43200000	2	19	8	26
1	43200001	43268879	2	11	1	18
1	4400001	4500000	1	22	10	26
1	4500001	4600000	4	14	11	24
1	4600001	4700000	6	6	12	2
1	4700001	4800000	2	16	3	21
1	4800001	4900000	3	16	11	29
1	4900001	5000000	2	13	10	23
1	5000001	5100000	0	17	3	28
1	500001	600000	6	20	17	24
1	5100001	5200000	3	8	7	13
1	5200001	5300000	3	17	-4	29
1	5300001	5400000	0	15	7	24
1	5400001	5500000	3	19	8	25
1	5500001	5600000	0	14	11	17
1	5600001	5700000	1	13	11	18
1	5700001	5800000	1	17	9	17
1	5800001	5900000	2	16	8	27
1	5900001	6000000	2	11	11	5
1	6000001	6100000	3	13	7	22
1	600001	700000	5	13	10	19
1	6100001	6200000	2	13	7	22
1	6200001	6300000	1	13	7	19
1	6300001	6400000	2	16	13	19
1	6400001	6500000	1	8	2	11
1	6500001	6600000	1	20	11	20
1	6600001	6700000	1	15	8	21
1	6700001	6800000	4	15	4	25
1	6800001	6900000	0	17	7	23
1	6900001	7000000	3	17	11	19
1	7000001	7100000	5	15	14	30
1	700001	800000	2	22	4	17
1	7100001	7200000	0	19	17	34
1	7200001	7300000	0	22	9	29
1	7300001	7400000	0	13	-1	16
1	7400001	7500000	0	24	13	25
1	7500001	7600000	0	13	1	18
1	7600001	7700000	5	17	19	17
1	7700001	7800000	3	15	11	26
1	7800001	7900000	4	18	16	20
1	7900001	8000000	4	13	11	17
1	8000001	8100000	4	15	9	24
1	800001	900000	8	10	20	8
1	8100001	8200000	3	15	11	18
1	8200001	8300000	2	17	3	29
1	8300001	8400000	0	21	2	27
1	8400001	8500000	2	14	13	27
1	8500001	8600000	5	16	3	18
1	8600001	8700000	4	12	10	21
1	8700001	8800000	3	15	9	28
1	8800001	8900000	5	15	5	20
1	8900001	9000000	4	13	9	22
1	9000001	9100000	2	18	9	24
1	900001	1000000	2	16	12	22
1	9100001	9200000	2	18	11	17
1	9200001	9300000	1	18	-2	23
1	9300001	9400000	3	17	2	19
1	9400001	9500000	5	12	8	14
1	9500001	9600000	4	4	5	4
1	9600001	9700000	1	19	10	24
1	9700001	9800000	0	13	-5	19
1	9800001	9900000	5	11	9	18
1	9900001	10000000	3	9	6	19
10	1	100000	5	8	11	16
10	10000001	10100000	10	8	12	16
10	1000001	1100000	4	14	15	27
10	100001	200000	10	7	14	11
10	10100001	10200000	7	9	6	13
10	10200001	10300000	7	14	16	17
10	10300001	10400000	5	13	10	21
10	10400001	10500000	3	8	16	10
10	10500001	10600000	6	12	2	17
10	10600001	10700000	6	8	5	16
10	10700001	10800000	2	7	11	11
10	10800001	10900000	0	44	1	55
10	10900001	11000000	8	14	15	22
10	11000001	11100000	1	16	-2	22
10	1100001	1200000	6	11	14	15
10	11100001	11200000	5	9	3	16
10	11200001	11300000	4	8	10	14
10	11300001	11400000	8	10	19	20
10	11400001	11500000	6	10	15	16
10	11500001	11600000	8	14	14	19
10	11600001	11700000	2	14	14	28
10	11700001	11800000	3	11	2	19
10	11800001	11900000	4	19	19	17
10	11900001	12000000	0	15	8	18
10	12000001	12100000	3	15	2	13
10	1200001	1300000	11	4	15	10
10	12100001	12200000	4	10	11	19
10	12200001	12300000	10	9	16	17
10	12300001	12400000	11	12	12	20
10	12400001	12500000	16	3	25	6
10	12500001	12600000	13	1	16	-8
10	12600001	12700000	15	1	19	13
10	12700001	12800000	11	8	18	8
10	12800001	12900000	4	10	14	16
10	12900001	13000000	3	9	4	24
10	13000001	13100000	3	14	19	29
10	1300001	1400000	14	7	19	17
10	13100001	13200000	3	11	6	18
10	13200001	13300000	1	20	18	25
10	13300001	13400000	4	12	7	14
10	13400001	13500000	10	12	14	19
10	13500001	13600000	6	18	13	21
10	13600001	13700000	5	3	4	19
10	13700001	13800000	1	12	-2	24
10	13800001	13900000	1	13	23	15
10	13900001	14000000	3	14	-9	23
10	14000001	14100000	4	5	11	14
10	1400001	1500000	7	11	19	17
10	14100001	14200000	6	2	3	9
10	14200001	14300000	3	13	15	12
10	14300001	14400000	6	16	4	22
10	14400001	14500000	1	19	-11	29
10	14500001	14600000	2	13	8	23
10	14600001	14700000	4	12	11	21
10	14700001	14800000	2	23	8	25
10	14800001	14900000	3	16	9	16
10	14900001	15000000	3	12	8	16
10	15000001	15100000	8	11	18	19
10	1500001	1600000	1	18	3	18
10	15100001	15200000	6	16	9	27
10	15200001	15300000	4	21	11	31
10	15300001	15400000	3	16	10	22
10	15400001	15500000	4	17	11	26
10	15500001	15600000	8	11	19	17
10	15600001	15700000	1	18	11	21
10	15700001	15800000	5	14	11	23
10	15800001	15900000	2	13	0	20
10	15900001	16000000	4	14	11	23
10	16000001	16100000	3	12	7	20
10	1600001	1700000	1	10	16	21
10	16100001	16200000	4	13	10	21
10	16200001	16300000	4	11	14	6
10	16300001	16400000	3	4	1	8
10	16400001	16500000	21	5	25	13
10	16500001	16600000	6	12	15	21
10	16600001	16700000	1	15	9	18
10	16700001	16800000	3	11	9	21
10	16800001	16900000	7	11	13	18
10	16900001	17000000	6	11	16	14
10	17000001	17100000	3	15	-1	13
10	1700001	1800000	1	21	10	34
10	17100001	17200000	2	28	7	38
10	17200001	17300000	3	14	11	30
10	17300001	17400000	0	12	4	26
10	17400001	17500000	4	13	4	18
10	17500001	17600000	2	8	8	9
10	17600001	17700000	3	12	18	19
10	17700001	17800000	1	19	-6	26
10	17800001	17900000	2	5	11	9
10	17900001	18000000	0	17	6	22
10	18000001	18100000	1	12	5	19
10	1800001	1900000	6	8	-1	12
10	18100001	18200000	4	11	13	11
10	18200001	18300000	3	16	10	24
10	18300001	18400000	3	14	4	26
10	18400001	18500000	3	21	3	32
10	18500001	18600000	0	16	16	11
10	18600001	18700000	3	19	7	25
10	18700001	18800000	0	21	14	39
10	18800001	18900000	1	20	0	19
10	18900001	19000000	4	17	8	17
10	19000001	19100000	0	27	6	25
10	1900001	2000000	8	6	0	9
10	19100001	19200000	2	19	-4	29
10	19200001	19300000	2	16	2	22
10	19300001	19400000	3	17	2	18
10	19400001	19500000	4	11	6	13
10	19500001	19600000	3	17	1	20
10	19600001	19700000	1	20	1	27
10	19700001	19800000	1	8	-4	10
10	19800001	19900000	9	13	7	26
10	19900001	20000000	0	11	9	17
10	20000001	20100000	2	19	3	26
10	2000001	2100000	2	9	18	18
10	200001	300000	6	9	23	6
10	20100001	20200000	3	22	3	27
10	20200001	20300000	5	20	4	31
10	20300001	20400000	3	14	3	23
10	20400001	20500000	0	26	1	27
10	20500001	20600000	10	11	6	11
10	20600001	20700000	2	20	8	26
10	20700001	20800000	0	23	12	29
10	20800001	20900000	2	18	3	29
10	20900001	21000000	3	16	9	8
10	21000001	21100000	2	17	6	22
10	2100001	2200000	1	19	10	34
10	21100001	21200000	1	23	5	29
10	21200001	21300000	0	19	6	33
10	21300001	21400000	2	20	10	26
10	21400001	21500000	1	34	13	36
10	21500001	21600000	5	10	14	26
10	21600001	21700000	1	18	7	18
10	21700001	21800000	1	14	13	25
10	21800001	21900000	0	11	6	12
10	21900001	22000000	5	19	2	27
10	22000001	22100000	2	16	11	24
10	2200001	2300000	3	17	11	24
10	22100001	22200000	0	21	8	31
10	22200001	22300000	1	24	15	21
10	22300001	22400000	0	8	0	17
10	22400001	22500000	3	25	0	24
10	22500001	22600000	3	28	12	28
10	22600001	22700000	3	15	13	17
10	22700001	22800000	0	20	4	27
10	22800001	22900000	4	9	13	8
10	22900001	23000000	6	15	12	21
10	23000001	23100000	0	31	5	33
10	2300001	2400000	1	10	15	9
10	23100001	23134759	2	7	4	14
10	2400001	2500000	2	16	5	16
10	2500001	2600000	2	17	5	21
10	2600001	2700000	8	12	23	19
10	2700001	2800000	1	14	2	19
10	2800001	2900000	5	12	10	10
10	2900001	3000000	2	15	6	22
10	3000001	3100000	3	11	17	20
10	300001	400000	6	9	10	4
10	3100001	3200000	10	6	6	11
10	3200001	3300000	19	0	22	0
10	3300001	3400000	9	7	12	6
10	3400001	3500000	4	10	0	16
10	3500001	3600000	4	10	1	10
10	3600001	3700000	3	10	12	8
10	3700001	3800000	8	10	18	21
10	3800001	3900000	4	6	12	14
10	3900001	4000000	2	11	5	17
10	4000001	4100000	8	7	25	9
10	400001	500000	1	14	-1	14
10	4100001	4200000	8	3	15	5
10	4200001	4300000	5	12	7	21
10	4300001	4400000	14	7	16	10
10	4400001	4500000	10	5	26	1
10	4500001	4600000	9	4	11	9
10	4600001	4700000	4	16	10	21
10	4700001	4800000	7	14	9	20
10	4800001	4900000	7	10	16	10
10	4900001	5000000	8	11	5	15
10	5000001	5100000	17	3	17	9
10	500001	600000	12	8	22	16
10	5100001	5200000	8	5	17	13
10	5200001	5300000	5	11	15	11
10	5300001	5400000	6	12	15	17
10	5400001	5500000	4	9	15	20
10	5500001	5600000	3	16	17	27
10	5600001	5700000	6	11	3	17
10	5700001	5800000	4	9	9	10
10	5800001	5900000	9	8	14	8
10	5900001	6000000	8	8	2	18
10	6000001	6100000	8	9	11	3
10	600001	700000	7	9	1	6
10	6100001	6200000	9	7	11	19
10	6200001	6300000	8	12	16	18
10	6300001	6400000	10	4	14	4
10	6400001	6500000	12	8	17	11
10	6500001	6600000	3	9	3	4
10	6600001	6700000	11	3	15	-2
10	6700001	6800000	6	5	10	-1
10	6800001	6900000	8	7	15	12
10	6900001	7000000	10	3	16	1
10	7000001	7100000	13	2	12	9
10	700001	800000	7	10	8	7
10	7100001	7200000	14	1	17	7
10	7200001	7300000	11	5	22	1
10	7300001	7400000	7	9	12	23
10	7400001	7500000	11	8	26	15
10	7500001	7600000	4	10	3	1
10	7600001	7700000	11	17	16	27
10	7700001	7800000	14	6	23	8
10	7800001	7900000	15	6	15	5
10	7900001	8000000	6	11	8	17
10	8000001	8100000	13	3	26	27
10	800001	900000	6	14	19	27
10	8100001	8200000	3	3	2	4
10	8200001	8300000	16	4	14	4
10	8300001	8400000	18	1	30	15
10	8400001	8500000	5	5	6	4
10	8500001	8600000	9	6	14	17
10	8600001	8700000	11	3	14	-2
10	8700001	8800000	14	3	20	5
10	8800001	8900000	9	4	12	6
10	8900001	9000000	4	11	6	10
10	9000001	9100000	9	9	9	12
10	900001	1000000	6	11	5	20
10	9100001	9200000	5	8	3	7
10	9200001	9300000	6	6	4	11
10	9300001	9400000	6	18	11	20
10	9400001	9500000	14	0	25	12
10	9500001	9600000	9	7	17	17
10	9600001	9700000	9	9	11	15
10	9700001	9800000	8	9	-1	16
10	9800001	9900000	9	12	13	21
10	9900001	10000000	6	11	13	14
11	1	100000	1	22	10	32
11	10000001	10100000	4	6	7	15
11	1000001	1100000	8	10	11	13
11	100001	200000	0	20	12	23
11	10100001	10200000	4	7	11	16
11	10200001	10300000	7	5	10	24
11	10300001	10400000	5	9	6	21
11	10400001	10500000	13	3	18	10
11	10500001	10600000	5	5	7	14
11	10600001	10700000	6	7	6	22
11	10700001	10800000	3	13	8	20
11	10800001	10900000	7	8	8	14
11	10900001	11000000	4	10	11	3
11	11000001	11100000	3	6	11	13
11	1100001	1200000	5	14	6	15
11	11100001	11200000	9	4	15	12
11	11200001	11300000	10	8	10	12
11	11300001	11400000	8	11	16	16
11	11400001	11500000	13	7	11	19
11	11500001	11600000	6	5	11	-4
11	11600001	11700000	7	8	14	13
11	11700001	11800000	4	10	14	20
11	11800001	11900000	10	3	15	10
11	11900001	12000000	10	5	15	10
11	12000001	12100000	4	3	19	6
11	1200001	1300000	3	14	12	20
11	12100001	12200000	0	0	-2	9
11	12200001	12300000	3	0	7	19
11	12300001	12400000	0	0	13	13
11	12400001	12500000	1	0	3	12
11	12500001	12600000	13	3	22	-1
11	12600001	12700000	13	5	22	11
11	12700001	12800000	22	1	31	5
11	12800001	12900000	8	4	7	7
11	12900001	13000000	13	2	19	9
11	13000001	13100000	12	4	14	7
11	1300001	1400000	0	22	7	23
11	13100001	13200000	15	3	27	8
11	13200001	13300000	11	4	9	11
11	13300001	13400000	13	4	21	17
11	13400001	13500000	13	7	19	12
11	13500001	13600000	10	7	20	14
11	13600001	13700000	8	3	8	6
11	13700001	13800000	4	7	5	19
11	13800001	13900000	5	8	4	2
11	13900001	14000000	1	15	9	20
11	14000001	14100000	4	14	9	13
11	1400001	1500000	0	23	1	29
11	14100001	14200000	8	9	11	10
11	14200001	14300000	7	6	7	4
11	14300001	14400000	7	13	13	14
11	14400001	14500000	13	2	24	1
11	14500001	14600000	4	10	9	17
11	14600001	14700000	8	8	9	9
11	14700001	14800000	8	9	24	8
11	14800001	14900000	3	6	13	9
11	14900001	15000000	10	5	21	10
11	15000001	15100000	10	5	12	8
11	1500001	1600000	5	11	4	12
11	15100001	15200000	14	0	16	5
11	15200001	15300000	6	13	6	17
11	15300001	15400000	2	8	12	3
11	15400001	15500000	3	12	8	30
11	15500001	15600000	9	7	6	19
11	15600001	15700000	7	7	16	12
11	15700001	15800000	4	12	8	21
11	15800001	15900000	8	9	7	11
11	15900001	16000000	14	5	20	8
11	16000001	16100000	13	7	25	14
11	1600001	1700000	3	25	6	26
11	16100001	16200000	6	7	14	18
11	16200001	16300000	8	12	22	22
11	16300001	16400000	4	12	2	22
11	16400001	16500000	7	6	16	21
11	16500001	16600000	5	5	12	2
11	16600001	16700000	10	2	9	4
11	16700001	16800000	10	6	18	10
11	16800001	16900000	1	12	5	15
11	16900001	17000000	4	15	14	19
11	17000001	17100000	4	12	9	22
11	1700001	1800000	1	17	-1	26
11	17100001	17200000	9	11	13	15
11	17200001	17300000	2	15	9	16
11	17300001	17400000	3	12	6	25
11	17400001	17500000	5	8	13	16
11	17500001	17600000	11	12	12	17
11	17600001	17700000	1	10	6	10
11	17700001	17800000	7	7	14	11
11	17800001	17900000	8	4	18	4
11	17900001	18000000	7	10	10	4
11	18000001	18100000	8	8	3	6
11	1800001	1900000	0	30	9	32
11	18100001	18200000	5	5	15	17
11	18200001	18300000	5	5	7	5
11	18300001	18400000	3	13	16	19
11	18400001	18500000	4	11	13	15
11	18500001	18600000	5	9	17	17
11	18600001	18700000	5	7	15	15
11	18700001	18800000	7	9	20	8
11	18800001	18900000	3	7	7	11
11	18900001	19000000	3	9	8	7
11	19000001	19100000	6	14	10	13
11	1900001	2000000	3	14	6	13
11	19100001	19200000	2	18	5	25
11	19200001	19300000	3	12	7	20
11	19300001	19400000	2	14	3	18
11	19400001	19500000	6	15	18	22
11	19500001	19600000	6	9	6	11
11	19600001	19700000	3	16	8	20
11	19700001	19800000	5	9	8	14
