chrX	posX	chrY	posY	color
7	7596000	Chr07	7352359	5.149
10	6406000	Chr10	7617333	5.871
9	19069000	Chr09	19101169	9.455
3	23571000	Chr08	24229791	5.578
1	13279000	Chr01	13306015	19.778
10	17466000	Chr11	4434621	6.192
6	23358000	Chr06	23457051	13.012
8	27938000	Chr09	14711176	5.113
3	266000	Chr03	271961	16.707
9	9520000	Chr04	21500119	5.527
10	14836000	Chr10	14943547	27.167
6	3364000	Chr06	3776602	28.181
3	22756000	Chr03	269549	8.527
5	17177000	Chr07	27959672	9.839
5	16828000	Chr05	16462361	13.136
6	7639000	Chr06	7582170	15.17
3	266000	Chr03	268174	39.125
5	21417000	Chr05	21328463	35.226
9	10748000	Chr02	25832127	6.389
10	3525000	Chr10	3867306	13.451
9	8619000	Chr10	5698115	6.515
1	1554000	Chr01	1672822	15.402
1	4751000	Chr01	4819613	19.753
3	7878000	Chr03	8491635	24.671
6	2236000	Chr06	2831206	6.729
4	22610000	Chr02	9901785	5.634
5	22334000	Chr05	22290902	5.772
10	22653000	Chr10	22547087	8.384
8	4857000	Chr03	29781102	7.667
2	20063000	Chr02	20108434	35.016
1	0	Chr07	14548550	18.065
9	15599000	Chr09	15377329	18.155
2	29593000	Chr08	25598511	15.312
2	18531000	Chr11	19229717	10.74
11	16210000	Chr03	30410360	5.357
1	32325000	Chr01	32147850	9.172
8	3974000	Chr08	4361258	11.485
5	22065000	Chr02	14367093	7.855
11	21254000	Chr11	21837708	40
5	21323000	Chr06	807332	8.761
3	28766000	Chr03	28805679	18.439
2	8897000	Chr02	9920907	5.045
7	28557000	Chr02	9902505	5.927
1	30502000	Chr01	31454891	12.969
3	29311000	Chr04	4516395	14.02
3	266000	Chr03	269376	23.449
11	19277000	Chr11	19261536	31.849
2	35711000	Chr12	11951611	5.618
10	15038000	Chr09	10837247	5.152
2	31065000	Chr02	29132779	10.601
12	22597000	Chr12	21004462	20.451
8	10540000	Chr11	7179812	15.986
1	19551000	Chr01	20055808	21.112
3	266000	Chr03	268398	38.116
2	16555000	Chr02	16775439	34.908
3	10088000	Chr03	10043039	20.177
4	22610000	Chr07	22500026	5.698
6	3952000	Chr12	18708870	5.891
6	517000	Chr06	564266	17.52
9	8160000	Chr03	23759602	7.837
8	21081000	Chr11	2193693	5.787
2	8015000	Chr02	8085888	12.736
3	10973000	Chr01	11799105	20.416
7	6028000	Chr07	6035341	14.582
9	16520000	Chr09	16764741	33.931
7	26240000	Chr02	22943287	5.338
8	25481000	Chr08	25493181	23.858
4	22353000	Chr04	22401808	38.018
3	35572000	Chr03	35601549	19.057
1	36271000	Chr01	36793718	5.595
4	20764000	Chr08	24407492	5.813
9	21921000	Chr07	19698382	5.307
9	8726000	Chr12	26339705	6.583
2	1197000	Chr02	1161990	24.037
10	17466000	Chr10	17816353	16.466
5	21417000	Chr01	37979497	21.749
6	4869000	Chr06	5177022	15.619
2	16555000	Chr02	17204678	18.961
3	5622000	Chr11	4019522	6.152
3	15585000	Chr11	510476	6.079
10	17412000	Chr10	16765311	5.101
9	7753000	Chr09	7641818	11.133
2	16208000	Chr02	16412412	19.039
7	155000	Chr07	137399	14.709
5	28559000	Chr05	28109061	6.186
11	22049000	Chr12	21701320	24.594
10	16685000	Chr10	16849843	26.508
11	1912000	Chr11	1858477	15.783
9	8514000	Chr07	21829430	15.329
6	641000	Chr06	690606	16.303
11	18360000	Chr06	24325049	5.348
11	4696000	Chr09	20690333	22.159
10	0	Chr10	292931	21.976
1	13279000	Chr01	13435042	19.693
4	22353000	Chr06	26950149	7.309
6	2236000	Chr06	2505435	7.148
11	21054000	Chr02	2557375	5.471
9	9520000	Chr09	9566310	35.011
5	16652000	Chr05	16660530	29.518
4	5490000	Chr04	5677433	16.975
5	22334000	Chr01	4443443	6.732
2	19651000	Chr02	19600431	28.925
8	8580000	Chr08	8766784	20.434
11	10686000	Chr11	15598066	27.19
10	19222000	Chr10	19397151	21.115
4	23844000	Chr04	24149221	25.901
9	8619000	Chr12	22237351	23.724
9	19099000	Chr09	20139691	8.129
9	14841000	Chr09	17751585	5.607
2	20108000	Chr02	20159638	38.857
5	21939000	Chr09	12771414	6.411
5	27803000	Chr05	27878929	25.253
4	804000	Chr04	989544	26.465
1	1951000	Chr06	4647708	8.643
4	23245000	Chr06	9394572	5.344
9	9369000	Chr08	1757558	7.407
8	19197000	Chr10	22576390	5.838
4	22012000	Chr06	18087186	5.372
7	28557000	Chr07	28547610	5.753
2	34173000	Chr04	6566643	5.452
5	20204000	Chr07	1417106	5.648
11	11918000	Chr11	13781608	24.654
2	16153000	Chr02	15612816	14.972
7	28412000	Chr08	3821645	5.438
2	15864000	Chr02	19268962	7.238
1	23678000	Chr01	8442747	5.723
6	7117000	Chr06	7166084	15.933
3	35803000	Chr03	35914600	22.945
2	16093000	Chr02	18116595	6.465
10	18080000	Chr06	21022849	5.618
8	24429000	Chr08	25086354	8.004
8	14450000	Chr08	11141458	17.065
5	18156000	Chr06	5265096	7.52
11	3177000	Chr05	17045279	5.183
1	30155000	Chr01	30165647	19.377
11	20804000	Chr01	25150771	5.258
6	6783000	Chr06	6915102	7.383
3	29621000	Chr03	28984939	10.004
5	21438000	Chr03	25227385	23.397
2	30005000	Chr02	29129618	6.315
11	10626000	Chr11	10600676	27.058
1	31855000	Chr01	31904496	23.08
5	28018000	Chr04	31468342	21.394
6	13725000	Chr06	30996105	8.315
5	27803000	Chr05	27453378	9.091
9	1319000	Chr09	3838254	29.165
11	18272000	Chr01	16202292	6.062
3	12994000	Chr03	13124771	5.209
6	6928000	Chr06	7002669	40
11	4696000	Chr08	26181392	5.54
3	21239000	Chr03	271137	5.795
8	5170000	Chr04	23237883	22.319
1	20558000	Chr08	4060035	5.551
3	29804000	Chr06	14351939	6.448
8	8943000	Chr08	9837532	5.417
9	8988000	Chr12	25423083	15.818
9	8961000	Chr09	8916423	16.099
2	9924000	Chr02	9902507	23.026
3	16915000	Chr03	16930908	25.683
3	17189000	Chr03	17214882	34.171
1	5762000	Chr01	5988972	35.604
5	21323000	Chr03	10949225	6.898
8	8981000	Chr08	16985946	6.532
9	0	Chr09	694301	30.871
3	12115000	Chr03	11276256	7.901
7	0	Chr07	137093	15.996
10	21867000	Chr04	21500094	5.33
9	9369000	Chr01	43025963	5.818
8	25509000	Chr08	25611520	25.327
7	155000	Chr07	139256	36.717
7	637000	Chr07	656070	29.281
11	7114000	Chr11	7430023	30.592
9	10160000	Chr09	11654094	9.393
6	7639000	Chr06	7628271	10.713
1	42250000	Chr01	42295161	15.078
10	0	Chr10	66677	19.051
9	8160000	Chr03	5371893	17.148
3	16915000	Chr03	18097111	18.691
7	21644000	Chr07	19151925	5.381
5	28649000	Chr05	29081602	17.388
3	7878000	Chr03	8419576	19.507
3	21239000	Chr08	1561203	20.991
2	19503000	Chr02	19564418	8.799
10	5277000	Chr10	5371326	12.88
3	21239000	Chr03	20020086	30.777
8	22775000	Chr08	22837873	11.726
5	21939000	Chr02	1666563	7.717
9	8619000	Chr06	6989668	7.457
8	5841000	Chr07	6453272	15.793
9	16718000	Chr09	17390607	22.113
12	24601000	Chr12	24118363	6.029
6	4869000	Chr06	4983653	34.859
11	7585000	Chr11	7542717	10.183
4	22445000	Chr04	22406113	5.559
8	8981000	Chr07	3742935	5.741
3	32075000	Chr03	32248558	16.058
1	1148000	Chr01	1103265	9.603
11	24841000	Chr11	24975971	7.594
7	637000	Chr07	423406	17.139
6	29072000	Chr06	29577439	8.433
10	6406000	Chr07	9270657	37.328
11	9299000	Chr11	9302444	13.796
1	22652000	Chr01	22730309	20.567
7	155000	Chr07	187231	24.962
8	8513000	Chr08	8322049	11.795
5	28018000	Chr05	27963734	14.443
4	490000	Chr06	3955489	5.663
2	2789000	Chr06	28000329	5.287
12	24110000	Chr12	24159985	16.012
4	18829000	Chr04	18763055	11.268
9	22395000	Chr09	22573373	17.203
5	15064000	Chr05	20041813	7.83
11	5751000	Chr06	1079665	5.805
2	16208000	Chr02	16502420	29.581
5	27941000	Chr05	27042643	7.839
9	7961000	Chr10	14026494	6.685
1	1951000	Chr01	2063128	8.155
1	6598000	Chr01	6612247	15.351
12	19563000	Chr07	18713016	5.272
2	1487000	Chr02	1487226	19.001
3	0	Chr03	271466	20.612
2	4367000	Chr02	6026056	5.728
6	641000	Chr09	5820910	18.937
5	18971000	Chr02	18978368	7.785
9	18580000	Chr08	22185610	6.928
5	21417000	Chr11	16707880	9.335
4	15935000	Chr04	11645692	14.805
10	21990000	Chr10	21973201	17.186
11	1166000	Chr11	942004	25.778
2	18750000	Chr02	18810086	33.318
3	11317000	Chr01	38424868	5.089
8	24429000	Chr08	25245193	6.756
3	266000	Chr03	271692	19.606
9	6748000	Chr07	6035717	11.719
9	1319000	Chr09	2714058	12.164
2	16208000	Chr02	17431999	15.91
5	21323000	Chr05	21328449	28.907
7	18148000	Chr07	18326454	11.076
8	6041000	Chr06	11470041	35.809
9	6605000	Chr01	32683682	6.123
5	358000	Chr02	22888854	5.599
1	41822000	Chr01	41938657	21.232
8	5117000	Chr08	5017828	24.008
5	3973000	Chr05	4797528	5.537
9	10748000	Chr10	22595624	7.497
11	1015000	Chr01	39573444	5.686
6	21533000	Chr06	21492862	23.751
12	26356000	Chr12	26282664	26.24
1	18409000	Chr01	18714263	25.263
5	1725000	Chr05	3607267	5.271
6	21083000	Chr06	22099086	10.117
9	20891000	Chr09	20059297	6.231
12	26429000	Chr12	26568693	16.625
6	1367000	Chr06	1434180	30.759
5	15897000	Chr12	24972105	12.863
11	8863000	Chr05	11278421	18.744
9	9369000	Chr07	7950434	5.185
1	15295000	Chr01	15498110	7.127
1	30891000	Chr01	30987762	16.341
9	8160000	Chr09	8506270	34.893
6	6571000	Chr09	11288191	6.596
7	23826000	Chr07	23832970	31.396
2	32269000	Chr02	31111365	5.425
3	29621000	Chr03	28518421	6.413
1	30194000	Chr01	30298392	37.393
5	27941000	Chr05	27951983	27.238
8	18942000	Chr08	18982728	11.479
8	1290000	Chr01	31386713	5.089
1	8798000	Chr01	8828426	30.719
9	7961000	Chr09	7249995	9.317
9	898000	Chr12	21809329	5.22
11	16778000	Chr11	16893835	17.947
1	0	Chr04	2401183	18.25
9	8514000	Chr10	367238	20.934
6	20261000	Chr06	20085638	40
3	2330000	Chr03	14171062	5.499
5	16395000	Chr06	3018283	5.506
1	23625000	Chr01	23535865	12.316
1	34745000	Chr01	34317748	29.662
6	2952000	Chr06	3010931	28.225
3	21239000	Chr03	18201174	13.774
5	684000	Chr05	684188	9.588
6	7092000	Chr06	6915100	18.285
9	1319000	Chr09	2281147	25.157
1	35076000	Chr01	35034394	26.14
3	9281000	Chr03	9273716	12.318
3	17376000	Chr03	20567647	21.558
9	4353000	Chr09	2714061	8.357
9	7961000	Chr03	24745850	11.327
4	13625000	Chr04	7152466	6.96
6	3364000	Chr02	29869574	4.953
3	16718000	Chr03	16708996	36.602
1	42250000	Chr01	42295124	17.802
7	17390000	Chr07	17889994	12.248
3	27249000	Chr03	27420416	11.084
3	21239000	Chr03	21647180	10.503
8	18415000	Chr12	27151397	6.369
2	16555000	Chr02	6708988	5.169
3	16417000	Chr03	16863759	9.302
5	6002000	Chr05	6158579	20.456
5	24098000	Chr05	24231769	24.249
4	22353000	Chr10	17934898	6.874
3	10178000	Chr03	26783824	5.786
11	24120000	Chr08	20243553	5.841
3	266000	Chr03	271164	31.765
4	18765000	Chr12	27220152	6.055
9	7961000	Chr04	32303569	11.696
2	31395000	Chr02	31802803	7.405
5	14421000	Chr09	3141707	5.25
7	121000	Chr07	139253	14.9
6	5362000	Chr06	5319170	20.139
3	17376000	Chr09	3903290	9.85
3	22886000	Chr04	5980761	26.375
3	17836000	Chr05	3661671	30.123
6	29809000	Chr06	29876782	5.89
6	2913000	Chr01	19141831	5.23
1	42052000	Chr01	42069580	18.099
8	8943000	Chr08	7360326	10.245
4	13625000	Chr02	19292952	5.084
3	15802000	Chr03	15802335	5.417
9	22395000	Chr09	22536181	19.524
11	19603000	Chr11	19617216	9.106
6	6571000	Chr07	19414453	5.711
10	8184000	Chr10	7559498	24.996
9	135000	Chr09	851437	13.536
6	11071000	Chr02	22898682	23.488
3	32844000	Chr03	32783207	21.125
8	15358000	Chr08	16338517	25.752
1	9222000	Chr01	9251197	15.176
12	10774000	Chr12	11076769	21.213
5	2753000	Chr01	4592846	7.713
10	14836000	Chr10	14865046	34.698
5	17438000	Chr03	9619024	17.023
2	16153000	Chr06	4427047	34.734
5	27847000	Chr03	12893574	18.108
1	14363000	Chr05	8367014	16.44
11	27852000	Chr11	28684122	27.715
3	28766000	Chr07	15186008	28.351
7	26328000	Chr07	26500565	11.194
8	17580000	Chr08	20244660	8.862
9	8160000	Chr02	9056591	8.253
6	13725000	Chr06	16280643	8.306
3	10778000	Chr03	11222315	27.755
2	30792000	Chr02	30821291	25.798
4	23844000	Chr01	30697843	25.822
1	3584000	Chr01	3603272	8.999
3	18076000	Chr07	10189095	9.579
1	34745000	Chr01	34896076	18.468
4	30614000	Chr04	30820698	38.464
8	19695000	Chr08	26495502	36.222
2	34869000	Chr02	34970531	24.354
4	4425000	Chr11	19577403	5.267
1	12367000	Chr01	12497975	18.19
1	32897000	Chr12	17843864	18.417
2	16555000	Chr02	17516342	20.806
7	7596000	Chr07	8332144	13.689
6	8454000	Chr08	5990588	32.713
7	8757000	Chr07	8988963	15.235
7	17339000	Chr02	11560902	27.905
3	266000	Chr03	271495	7.608
11	4426000	Chr11	4601707	17.111
11	23266000	Chr11	23535515	20.032
5	17008000	Chr05	15882423	5.111
4	27984000	Chr04	28421718	5.439
9	8988000	Chr08	23356034	10.626
6	16937000	Chr06	19742543	12.87
4	23006000	Chr04	24105491	6.044
1	23456000	Chr01	23535916	26.2
12	0	Chr12	744185	7.992
11	4426000	Chr03	7519583	5.573
9	20590000	Chr09	20721751	7.901
1	24075000	Chr01	24120843	13.126
3	22493000	Chr07	138610	11.126
6	26850000	Chr11	27471323	6.103
8	18512000	Chr07	28151179	5.013
6	4869000	Chr06	4896247	22.604
6	5045000	Chr01	3095490	19.54
11	7502000	Chr11	7541085	28.096
5	17177000	Chr08	27384615	22.217
2	35215000	Chr04	27464183	5.308
3	13077000	Chr03	13663015	16.34
6	15728000	Chr06	16274069	26.2
10	15870000	Chr10	16061159	15.677
10	879000	Chr10	865192	22.07
7	2112000	Chr07	2203004	31.594
8	4238000	Chr08	4110660	24.79
6	21718000	Chr06	21840957	20.617
2	16153000	Chr02	15709225	13.428
12	22597000	Chr12	23119506	27.403
3	15903000	Chr03	16915407	5.526
3	16718000	Chr03	16863709	34.779
1	14118000	Chr06	19361050	5.141
7	702000	Chr07	685317	29.614
8	4660000	Chr08	5074203	18.634
5	15064000	Chr01	29982832	5.416
8	8943000	Chr08	8721297	7.849
6	15809000	Chr06	16433690	30.35
9	8619000	Chr10	12892951	9.374
2	31652000	Chr01	32159019	17.831
7	155000	Chr02	31465115	6.411
1	12660000	Chr01	12497981	9.486
11	27025000	Chr11	27851691	10.28
5	23531000	Chr05	17659444	5.26
6	3563000	Chr12	11279868	8.214
8	5265000	Chr08	5224764	18.639
5	16828000	Chr10	18875102	10.469
3	30345000	Chr06	4408531	5.375
11	7820000	Chr11	7837437	18.528
9	21530000	Chr09	21535990	14.096
9	17999000	Chr09	17766855	9.947
7	17526000	Chr07	18307962	20.164
3	16718000	Chr02	32827568	5.639
3	266000	Chr03	268468	35.722
9	18819000	Chr09	19069726	8.256
6	3952000	Chr06	3443773	13.94
6	23889000	Chr06	23353505	13.499
1	5489000	Chr08	217716	17.732
4	34643000	Chr04	34433809	10.004
7	637000	Chr07	672297	15.221
2	8999000	Chr02	9902509	10.675
11	10947000	Chr11	10917558	23.326
5	16828000	Chr03	24745837	15.947
9	8726000	Chr05	3614475	5.606
9	7828000	Chr09	8521217	25.201
3	266000	Chr03	271105	12
2	495000	Chr02	462365	6.474
3	28766000	Chr03	28803631	21.55
4	19823000	Chr08	12122042	5.202
11	26608000	Chr11	26773750	32.023
5	21427000	Chr07	14555043	22.453
11	22252000	Chr03	7591023	18.924
12	25311000	Chr12	22945420	7.558
4	29679000	Chr04	29964105	5.586
5	877000	Chr05	1141768	24.8
3	25500000	Chr03	25383498	27.491
3	5869000	Chr01	43151182	17.138
4	16725000	Chr04	16715945	16.857
12	24156000	Chr12	24272419	34.312
3	266000	Chr03	269622	37.453
3	14722000	Chr08	24548725	5.221
7	28058000	Chr07	28075030	23.005
2	35109000	Chr11	24260019	17.593
5	4776000	Chr07	27809727	22.552
11	25444000	Chr11	25606853	18.62
3	16417000	Chr03	16885530	5.875
10	8574000	Chr10	5714686	40
4	23006000	Chr11	23222641	6.138
1	22024000	Chr02	22484511	36.946
1	35966000	Chr01	36456319	5.324
3	9257000	Chr03	9390006	6.143
9	9520000	Chr03	29333743	7.068
5	21438000	Chr01	14058894	5.6
11	23731000	Chr01	13719941	30.006
9	8160000	Chr09	8031754	21.967
2	10189000	Chr02	10282928	18.332
11	27852000	Chr11	27706233	16.063
2	12101000	Chr02	11072729	25.515
7	0	Chr07	137592	12.367
3	14349000	Chr07	5254959	5.182
3	17042000	Chr03	21455578	5.037
5	21090000	Chr10	9919536	21.546
10	6406000	Chr10	6015672	28.206
5	18411000	Chr01	4032754	5.394
11	18431000	Chr06	19170905	5.159
7	6720000	Chr03	9964890	5.3
9	20891000	Chr09	20953798	33.85
9	20212000	Chr09	20138571	6.082
3	30334000	Chr03	30214798	13.618
9	8988000	Chr08	27580777	10.263
5	26927000	Chr05	26981470	23.399
6	29809000	Chr05	14240555	5.381
2	33997000	Chr12	16062425	5.475
11	21054000	Chr11	21199620	10.89
5	4323000	Chr05	4159103	5.911
8	24925000	Chr08	25104675	19.886
2	1848000	Chr02	28861170	5.17
7	20209000	Chr07	21470050	15.933
12	24474000	Chr12	24562766	14.154
2	9598000	Chr02	9902505	27.933
1	42316000	Chr04	6248861	5.534
7	0	Chr07	21644	12.578
4	23006000	Chr01	7324944	6.601
1	10482000	Chr01	10564189	32.621
3	17836000	Chr03	17748899	33.954
4	24563000	Chr04	24287456	11.33
7	18806000	Chr04	30027029	6.166
10	21159000	Chr10	21439376	9.255
2	15864000	Chr02	15471530	11.919
9	17938000	Chr09	18157953	10.633
2	19305000	Chr02	19600472	24.529
5	25344000	Chr05	26275308	21.541
9	5631000	Chr09	5978860	6.888
4	22610000	Chr04	34053113	8.342
3	15334000	Chr03	14277599	7.073
11	22049000	Chr08	15820525	5.425
1	33618000	Chr01	34073952	9.438
1	38368000	Chr08	14785834	5.495
6	7117000	Chr06	7117649	26.157
4	19120000	Chr04	19247764	6.898
11	800000	Chr11	1161968	9.859
5	4323000	Chr05	4952031	13.368
9	8619000	Chr11	7241875	13.672
8	20699000	Chr08	20939126	5.246
2	5897000	Chr02	6039882	30.496
4	18765000	Chr03	30625581	5.219
9	7828000	Chr04	22352469	12.399
8	18512000	Chr08	18686729	25.012
3	10973000	Chr03	11147963	10.352
1	42423000	Chr01	41985311	8.617
8	20286000	Chr10	11193059	17.326
9	10748000	Chr01	42858051	10.882
2	9924000	Chr02	9659999	20.711
4	22185000	Chr01	38899602	6.444
3	29529000	Chr03	26807552	5.994
3	266000	Chr03	272138	36.386
2	9598000	Chr02	9856101	37.185
4	21997000	Chr04	22013943	16.236
5	21090000	Chr09	1012805	11.45
5	21438000	Chr05	21491233	13.919
2	16555000	Chr02	17582577	37.752
8	3124000	Chr03	9471031	9.721
3	266000	Chr03	271257	11.101
3	22622000	Chr03	18569878	18.351
6	9655000	Chr06	10099556	14.873
8	19695000	Chr08	20244334	14.751
4	22610000	Chr04	11593774	7.514
11	800000	Chr11	969474	11.691
12	25282000	Chr11	1142451	5.199
6	4499000	Chr02	20400244	14.315
3	22886000	Chr03	23085887	19.262
9	18737000	Chr02	32430283	14.068
3	16225000	Chr03	17045412	5.156
3	266000	Chr03	271471	40
5	21438000	Chr12	24997327	5.599
4	15935000	Chr04	16494707	40
3	3128000	Chr07	20233895	13.564
9	9520000	Chr02	31658936	6.705
5	27296000	Chr05	26711982	9.686
7	26328000	Chr07	26367952	20.102
6	2326000	Chr06	2446014	17.203
2	3150000	Chr02	3250128	22.772
4	22353000	Chr04	22369352	16.675
3	15379000	Chr03	14811859	12.272
5	6002000	Chr05	6240033	21.62
5	5376000	Chr05	6079360	16.794
5	21438000	Chr07	3387476	15.534
3	368000	Chr02	7329177	10.042
8	20203000	Chr08	20465524	11.04
4	21997000	Chr04	22149161	5.214
10	17931000	Chr12	23789718	13.991
8	3489000	Chr09	9685704	5.224
9	898000	Chr09	3103741	10.624
1	23456000	Chr01	23521286	15.905
3	23484000	Chr03	18505850	13.166
11	10686000	Chr11	14892591	7.017
4	32453000	Chr11	26515339	25.963
9	10748000	Chr07	3854570	5.758
1	36271000	Chr01	36423185	17.017
