chrX	startX	stopX	chrY	startY	stopY	color
8	23000001	24000000	Chr10	23000001	23134759	c
11	2000001	3000000	Chr01	17000001	18000000	b
7	4000001	5000000	Chr12	2000001	3000000	c
8	16000001	17000000	Chr09	19000001	20000000	c
6	24000001	25000000	Chr08	27000001	28000000	c
6	13000001	14000000	Chr11	8000001	9000000	c
2	11000001	12000000	Chr10	21000001	22000000	c
4	11000001	12000000	Chr05	9000001	10000000	c
8	25000001	26000000	Chr08	17000001	18000000	b
5	24000001	25000000	Chr01	20000001	21000000	c
5	7000001	8000000	Chr01	6000001	7000000	e
2	17000001	18000000	Chr12	20000001	21000000	c
10	20000001	21000000	Chr12	11000001	12000000	c
2	12000001	13000000	Chr04	5000001	6000000	c
2	1	1000000	Chr10	13000001	14000000	c
8	8000001	9000000	Chr11	1	1000000	b
12	20000001	21000000	Chr02	5000001	6000000	d
9	3000001	4000000	Chr06	11000001	12000000	c
3	12000001	13000000	Chr09	1000001	2000000	c
1	15000001	16000000	Chr02	30000001	31000000	c
10	16000001	17000000	Chr07	14000001	15000000	c
6	5000001	6000000	Chr08	15000001	16000000	d
12	20000001	21000000	Chr12	25000001	26000000	b
12	14000001	15000000	Chr07	7000001	8000000	c
11	3000001	4000000	Chr06	28000001	29000000	d
11	7000001	8000000	Chr08	1	1000000	c
7	24000001	25000000	Chr09	1	1000000	e
11	2000001	3000000	Chr05	18000001	19000000	c
10	1	1000000	Chr07	22000001	23000000	g
8	5000001	6000000	Chr02	21000001	22000000	g
11	28000001	28512666	Chr11	5000001	6000000	b
7	6000001	7000000	Chr04	19000001	20000000	e
12	16000001	17000000	Chr11	6000001	7000000	d
6	7000001	8000000	Chr10	11000001	12000000	d
4	6000001	7000000	Chr04	35000001	35278225	b
6	31000001	31246789	Chr09	4000001	5000000	c
2	19000001	20000000	Chr02	25000001	26000000	b
3	29000001	30000000	Chr08	20000001	21000000	f
5	24000001	25000000	Chr01	24000001	25000000	e
9	4000001	5000000	Chr03	8000001	9000000	c
2	22000001	23000000	Chr06	17000001	18000000	c
4	25000001	26000000	Chr07	7000001	8000000	b
7	1000001	2000000	Chr12	23000001	24000000	g
10	17000001	18000000	Chr11	10000001	11000000	d
7	5000001	6000000	Chr05	24000001	25000000	b
3	8000001	9000000	Chr07	17000001	18000000	d
11	9000001	10000000	Chr01	9000001	10000000	c
1	22000001	23000000	Chr06	15000001	16000000	d
1	29000001	30000000	Chr03	17000001	18000000	c
3	19000001	20000000	Chr03	18000001	19000000	b
9	4000001	5000000	Chr04	1	1000000	c
9	7000001	8000000	Chr11	3000001	4000000	c
5	8000001	9000000	Chr09	2000001	3000000	c
10	19000001	20000000	Chr08	17000001	18000000	b
12	14000001	15000000	Chr07	14000001	15000000	d
1	19000001	20000000	Chr02	33000001	34000000	b
4	12000001	13000000	Chr08	14000001	15000000	c
10	8000001	9000000	Chr07	27000001	28000000	d
6	22000001	23000000	Chr04	24000001	25000000	g
2	15000001	16000000	Chr02	4000001	5000000	b
7	5000001	6000000	Chr06	15000001	16000000	c
5	1000001	2000000	Chr07	14000001	15000000	e
3	27000001	28000000	Chr01	30000001	31000000	c
4	1	1000000	Chr07	13000001	14000000	b
6	1000001	2000000	Chr01	31000001	32000000	d
2	35000001	35930381	Chr01	31000001	32000000	c
4	35000001	35278225	Chr05	18000001	19000000	c
7	23000001	24000000	Chr06	4000001	5000000	d
11	23000001	24000000	Chr03	1	1000000	d
1	39000001	40000000	Chr02	5000001	6000000	b
6	6000001	7000000	Chr01	23000001	24000000	c
12	26000001	27000000	Chr01	40000001	41000000	d
6	24000001	25000000	Chr01	34000001	35000000	c
11	21000001	22000000	Chr10	22000001	23000000	d
3	10000001	11000000	Chr06	29000001	30000000	c
7	5000001	6000000	Chr04	20000001	21000000	f
8	1000001	2000000	Chr06	2000001	3000000	c
7	16000001	17000000	Chr08	22000001	23000000	c
6	10000001	11000000	Chr09	18000001	19000000	c
3	23000001	24000000	Chr04	1	1000000	c
1	41000001	42000000	Chr06	7000001	8000000	c
7	26000001	27000000	Chr01	35000001	36000000	c
7	5000001	6000000	Chr03	28000001	29000000	c
1	39000001	40000000	Chr04	9000001	10000000	c
12	15000001	16000000	Chr04	14000001	15000000	c
3	32000001	33000000	Chr04	3000001	4000000	c
1	27000001	28000000	Chr10	13000001	14000000	d
8	28000001	28439308	Chr03	31000001	32000000	c
4	30000001	31000000	Chr05	10000001	11000000	c
3	1	1000000	Chr03	6000001	7000000	b
5	4000001	5000000	Chr12	27000001	27497214	b
2	9000001	10000000	Chr06	23000001	24000000	c
1	8000001	9000000	Chr01	10000001	11000000	a
11	23000001	24000000	Chr09	9000001	10000000	g
4	11000001	12000000	Chr05	8000001	9000000	c
6	24000001	25000000	Chr11	25000001	26000000	c
9	18000001	19000000	Chr09	5000001	6000000	b
8	20000001	21000000	Chr06	15000001	16000000	c
4	6000001	7000000	Chr05	29000001	29894789	c
6	6000001	7000000	Chr08	18000001	19000000	c
4	34000001	35000000	Chr07	25000001	26000000	e
10	16000001	17000000	Chr06	7000001	8000000	b
12	18000001	19000000	Chr02	12000001	13000000	f
2	33000001	34000000	Chr06	1	1000000	g
8	21000001	22000000	Chr10	17000001	18000000	d
8	17000001	18000000	Chr03	16000001	17000000	c
10	11000001	12000000	Chr11	4000001	5000000	c
5	26000001	27000000	Chr04	12000001	13000000	c
4	31000001	32000000	Chr11	4000001	5000000	b
3	14000001	15000000	Chr04	3000001	4000000	c
4	11000001	12000000	Chr09	20000001	21000000	c
2	35000001	35930381	Chr12	16000001	17000000	c
7	2000001	3000000	Chr08	5000001	6000000	c
12	21000001	22000000	Chr09	22000001	23000000	c
4	24000001	25000000	Chr01	38000001	39000000	c
9	8000001	9000000	Chr08	12000001	13000000	b
8	1	1000000	Chr03	7000001	8000000	c
2	16000001	17000000	Chr01	30000001	31000000	c
5	22000001	23000000	Chr11	17000001	18000000	c
1	21000001	22000000	Chr03	26000001	27000000	c
5	26000001	27000000	Chr04	14000001	15000000	d
8	24000001	25000000	Chr07	11000001	12000000	c
11	1000001	2000000	Chr10	5000001	6000000	g
10	6000001	7000000	Chr05	10000001	11000000	c
3	11000001	12000000	Chr12	17000001	18000000	c
7	26000001	27000000	Chr02	5000001	6000000	c
8	17000001	18000000	Chr02	6000001	7000000	c
11	11000001	12000000	Chr07	28000001	29000000	c
6	18000001	19000000	Chr02	7000001	8000000	g
10	21000001	22000000	Chr03	19000001	20000000	c
2	22000001	23000000	Chr09	14000001	15000000	c
10	22000001	23000000	Chr12	25000001	26000000	c
2	3000001	4000000	Chr12	10000001	11000000	b
9	4000001	5000000	Chr12	17000001	18000000	c
5	29000001	29894789	Chr08	15000001	16000000	b
6	31000001	31246789	Chr12	27000001	27497214	c
11	8000001	9000000	Chr07	22000001	23000000	g
9	18000001	19000000	Chr07	6000001	7000000	c
6	28000001	29000000	Chr11	27000001	28000000	c
11	24000001	25000000	Chr04	11000001	12000000	c
3	16000001	17000000	Chr01	31000001	32000000	d
12	10000001	11000000	Chr04	17000001	18000000	e
4	7000001	8000000	Chr07	11000001	12000000	c
4	14000001	15000000	Chr07	2000001	3000000	d
2	9000001	10000000	Chr08	18000001	19000000	c
5	17000001	18000000	Chr05	25000001	26000000	a
10	10000001	11000000	Chr04	1	1000000	c
5	27000001	28000000	Chr06	30000001	31000000	f
2	1	1000000	Chr08	18000001	19000000	c
10	1000001	2000000	Chr11	8000001	9000000	c
2	25000001	26000000	Chr08	2000001	3000000	b
2	11000001	12000000	Chr04	22000001	23000000	f
2	28000001	29000000	Chr01	41000001	42000000	g
1	9000001	10000000	Chr09	8000001	9000000	g
8	16000001	17000000	Chr12	1	1000000	c
10	7000001	8000000	Chr08	5000001	6000000	f
1	25000001	26000000	Chr12	21000001	22000000	d
3	25000001	26000000	Chr04	12000001	13000000	c
10	17000001	18000000	Chr01	38000001	39000000	b
5	16000001	17000000	Chr01	26000001	27000000	c
10	14000001	15000000	Chr03	11000001	12000000	c
1	10000001	11000000	Chr10	19000001	20000000	c
4	1000001	2000000	Chr05	27000001	28000000	c
1	17000001	18000000	Chr02	22000001	23000000	b
8	27000001	28000000	Chr02	20000001	21000000	f
12	23000001	24000000	Chr05	25000001	26000000	c
1	17000001	18000000	Chr01	31000001	32000000	a
5	19000001	20000000	Chr05	12000001	13000000	b
1	26000001	27000000	Chr09	1	1000000	c
3	1000001	2000000	Chr04	30000001	31000000	c
10	8000001	9000000	Chr01	24000001	25000000	c
8	10000001	11000000	Chr11	5000001	6000000	d
9	10000001	11000000	Chr09	15000001	16000000	b
7	21000001	22000000	Chr01	36000001	37000000	c
9	8000001	9000000	Chr07	6000001	7000000	e
8	9000001	10000000	Chr12	8000001	9000000	c
7	16000001	17000000	Chr07	12000001	13000000	b
2	25000001	26000000	Chr02	5000001	6000000	b
1	31000001	32000000	Chr08	3000001	4000000	c
12	12000001	13000000	Chr01	42000001	43000000	g
10	7000001	8000000	Chr03	27000001	28000000	c
3	3000001	4000000	Chr05	28000001	29000000	c
12	2000001	3000000	Chr05	16000001	17000000	g
1	4000001	5000000	Chr05	28000001	29000000	c
4	10000001	11000000	Chr12	9000001	10000000	c
4	34000001	35000000	Chr01	37000001	38000000	c
1	30000001	31000000	Chr09	2000001	3000000	e
10	23000001	23134759	Chr01	10000001	11000000	c
1	30000001	31000000	Chr10	15000001	16000000	c
7	5000001	6000000	Chr11	3000001	4000000	c
1	40000001	41000000	Chr02	1	1000000	g
6	18000001	19000000	Chr04	25000001	26000000	c
11	6000001	7000000	Chr02	34000001	35000000	c
2	30000001	31000000	Chr11	14000001	15000000	c
5	8000001	9000000	Chr06	6000001	7000000	d
9	10000001	11000000	Chr05	17000001	18000000	c
5	18000001	19000000	Chr02	8000001	9000000	d
11	1000001	2000000	Chr12	22000001	23000000	d
10	17000001	18000000	Chr06	12000001	13000000	f
6	6000001	7000000	Chr07	5000001	6000000	d
11	24000001	25000000	Chr08	13000001	14000000	c
7	9000001	10000000	Chr09	19000001	20000000	c
11	1000001	2000000	Chr12	23000001	24000000	b
6	8000001	9000000	Chr10	3000001	4000000	c
10	4000001	5000000	Chr10	12000001	13000000	a
4	18000001	19000000	Chr01	8000001	9000000	c
9	17000001	18000000	Chr01	12000001	13000000	e
3	30000001	31000000	Chr12	14000001	15000000	b
1	25000001	26000000	Chr09	10000001	11000000	c
9	7000001	8000000	Chr06	11000001	12000000	g
5	20000001	21000000	Chr03	23000001	24000000	g
2	8000001	9000000	Chr07	14000001	15000000	b
11	27000001	28000000	Chr01	26000001	27000000	c
1	10000001	11000000	Chr12	8000001	9000000	b
1	32000001	33000000	Chr03	26000001	27000000	c
4	18000001	19000000	Chr03	33000001	34000000	c
7	14000001	15000000	Chr01	36000001	37000000	c
6	30000001	31000000	Chr11	15000001	16000000	d
6	13000001	14000000	Chr02	10000001	11000000	c
5	5000001	6000000	Chr09	1	1000000	e
8	27000001	28000000	Chr12	13000001	14000000	c
1	24000001	25000000	Chr12	8000001	9000000	c
2	7000001	8000000	Chr03	1000001	2000000	c
3	9000001	10000000	Chr09	20000001	21000000	f
4	10000001	11000000	Chr06	5000001	6000000	c
4	26000001	27000000	Chr03	30000001	31000000	c
11	26000001	27000000	Chr07	20000001	21000000	c
9	23000001	23011239	Chr10	9000001	10000000	c
7	22000001	23000000	Chr04	22000001	23000000	c
9	16000001	17000000	Chr06	26000001	27000000	d
8	11000001	12000000	Chr12	26000001	27000000	b
4	31000001	32000000	Chr09	19000001	20000000	c
5	18000001	19000000	Chr07	4000001	5000000	c
10	10000001	11000000	Chr05	2000001	3000000	c
10	4000001	5000000	Chr03	15000001	16000000	g
3	23000001	24000000	Chr03	6000001	7000000	b
4	3000001	4000000	Chr12	27000001	27497214	b
3	32000001	33000000	Chr08	26000001	27000000	b
8	4000001	5000000	Chr06	3000001	4000000	b
11	1	1000000	Chr03	9000001	10000000	c
7	7000001	8000000	Chr01	43000001	43268879	c
1	41000001	42000000	Chr01	12000001	13000000	b
3	20000001	21000000	Chr11	28000001	28512666	c
1	26000001	27000000	Chr07	11000001	12000000	d
2	25000001	26000000	Chr03	35000001	36000000	g
11	13000001	14000000	Chr02	34000001	35000000	c
7	13000001	14000000	Chr03	18000001	19000000	d
6	22000001	23000000	Chr09	20000001	21000000	c
2	28000001	29000000	Chr04	20000001	21000000	c
7	9000001	10000000	Chr02	27000001	28000000	c
1	35000001	36000000	Chr02	6000001	7000000	g
12	19000001	20000000	Chr05	22000001	23000000	c
1	37000001	38000000	Chr06	5000001	6000000	c
2	11000001	12000000	Chr11	7000001	8000000	c
11	17000001	18000000	Chr05	20000001	21000000	c
3	21000001	22000000	Chr06	16000001	17000000	c
2	11000001	12000000	Chr06	10000001	11000000	c
5	1000001	2000000	Chr01	42000001	43000000	f
4	11000001	12000000	Chr02	12000001	13000000	f
6	12000001	13000000	Chr12	3000001	4000000	c
1	29000001	30000000	Chr12	1	1000000	b
3	36000001	36406689	Chr12	2000001	3000000	c
2	30000001	31000000	Chr06	3000001	4000000	c
9	19000001	20000000	Chr02	3000001	4000000	b
1	22000001	23000000	Chr04	34000001	35000000	c
2	31000001	32000000	Chr12	21000001	22000000	d
12	12000001	13000000	Chr01	30000001	31000000	c
9	21000001	22000000	Chr09	5000001	6000000	b
1	1000001	2000000	Chr12	16000001	17000000	c
1	8000001	9000000	Chr12	12000001	13000000	c
4	34000001	35000000	Chr06	10000001	11000000	c
11	12000001	13000000	Chr10	19000001	20000000	c
1	43000001	43268879	Chr03	5000001	6000000	e
4	34000001	35000000	Chr12	3000001	4000000	c
11	10000001	11000000	Chr04	23000001	24000000	c
3	16000001	17000000	Chr10	17000001	18000000	c
1	40000001	41000000	Chr10	13000001	14000000	c
10	1	1000000	Chr10	11000001	12000000	b
12	21000001	22000000	Chr05	14000001	15000000	c
1	15000001	16000000	Chr01	38000001	39000000	a
7	13000001	14000000	Chr09	21000001	22000000	c
5	5000001	6000000	Chr01	13000001	14000000	b
4	13000001	14000000	Chr04	4000001	5000000	a
11	15000001	16000000	Chr03	1000001	2000000	c
6	22000001	23000000	Chr05	1	1000000	c
3	36000001	36406689	Chr06	23000001	24000000	c
9	19000001	20000000	Chr05	11000001	12000000	c
8	26000001	27000000	Chr08	1	1000000	b
4	9000001	10000000	Chr05	6000001	7000000	d
9	11000001	12000000	Chr10	7000001	8000000	f
12	19000001	20000000	Chr05	4000001	5000000	c
4	33000001	34000000	Chr12	3000001	4000000	b
4	30000001	31000000	Chr05	28000001	29000000	b
7	13000001	14000000	Chr01	11000001	12000000	e
3	7000001	8000000	Chr09	11000001	12000000	b
1	21000001	22000000	Chr08	9000001	10000000	d
3	13000001	14000000	Chr04	18000001	19000000	f
3	36000001	36406689	Chr03	20000001	21000000	b
1	6000001	7000000	Chr07	9000001	10000000	c
4	1	1000000	Chr05	2000001	3000000	c
2	21000001	22000000	Chr08	20000001	21000000	b
6	31000001	31246789	Chr02	10000001	11000000	c
11	8000001	9000000	Chr04	18000001	19000000	c
9	14000001	15000000	Chr05	21000001	22000000	c
2	19000001	20000000	Chr04	7000001	8000000	c
1	28000001	29000000	Chr11	23000001	24000000	c
7	6000001	7000000	Chr02	27000001	28000000	c
4	30000001	31000000	Chr06	22000001	23000000	c
7	16000001	17000000	Chr04	34000001	35000000	d
5	3000001	4000000	Chr12	6000001	7000000	c
4	23000001	24000000	Chr05	17000001	18000000	c
4	23000001	24000000	Chr01	24000001	25000000	c
4	20000001	21000000	Chr01	38000001	39000000	c
4	10000001	11000000	Chr10	14000001	15000000	c
2	2000001	3000000	Chr07	8000001	9000000	c
2	19000001	20000000	Chr05	24000001	25000000	e
4	15000001	16000000	Chr11	20000001	21000000	c
9	21000001	22000000	Chr04	1000001	2000000	c
6	30000001	31000000	Chr01	21000001	22000000	c
11	26000001	27000000	Chr07	3000001	4000000	c
2	21000001	22000000	Chr08	10000001	11000000	b
6	28000001	29000000	Chr01	10000001	11000000	c
10	14000001	15000000	Chr04	26000001	27000000	c
5	27000001	28000000	Chr12	1000001	2000000	c
10	8000001	9000000	Chr01	35000001	36000000	c
11	24000001	25000000	Chr03	12000001	13000000	b
7	18000001	19000000	Chr07	12000001	13000000	b
9	17000001	18000000	Chr08	13000001	14000000	c
1	41000001	42000000	Chr01	37000001	38000000	b
9	16000001	17000000	Chr05	27000001	28000000	c
8	2000001	3000000	Chr08	24000001	25000000	b
7	18000001	19000000	Chr08	23000001	24000000	b
4	11000001	12000000	Chr08	20000001	21000000	c
9	5000001	6000000	Chr07	5000001	6000000	c
8	7000001	8000000	Chr03	10000001	11000000	b
8	16000001	17000000	Chr11	1000001	2000000	b
3	22000001	23000000	Chr12	19000001	20000000	e
11	17000001	18000000	Chr03	16000001	17000000	c
5	2000001	3000000	Chr01	21000001	22000000	b
9	1	1000000	Chr07	2000001	3000000	c
5	12000001	13000000	Chr06	30000001	31000000	b
6	8000001	9000000	Chr02	29000001	30000000	d
2	31000001	32000000	Chr05	29000001	29894789	d
2	8000001	9000000	Chr05	24000001	25000000	b
8	18000001	19000000	Chr05	15000001	16000000	c
4	32000001	33000000	Chr04	4000001	5000000	a
6	5000001	6000000	Chr08	14000001	15000000	c
11	24000001	25000000	Chr12	21000001	22000000	g
12	22000001	23000000	Chr07	19000001	20000000	c
9	6000001	7000000	Chr07	18000001	19000000	c
12	22000001	23000000	Chr06	31000001	31246789	g
7	29000001	29696629	Chr02	21000001	22000000	c
1	18000001	19000000	Chr08	17000001	18000000	c
4	28000001	29000000	Chr03	7000001	8000000	c
3	22000001	23000000	Chr03	7000001	8000000	b
3	24000001	25000000	Chr04	12000001	13000000	b
3	26000001	27000000	Chr02	29000001	30000000	c
2	34000001	35000000	Chr01	8000001	9000000	b
8	18000001	19000000	Chr07	23000001	24000000	c
9	4000001	5000000	Chr03	9000001	10000000	c
4	21000001	22000000	Chr06	18000001	19000000	c
8	5000001	6000000	Chr08	20000001	21000000	b
9	5000001	6000000	Chr11	17000001	18000000	c
8	12000001	13000000	Chr08	8000001	9000000	b
6	19000001	20000000	Chr04	14000001	15000000	c
5	8000001	9000000	Chr04	20000001	21000000	c
1	34000001	35000000	Chr02	23000001	24000000	c
1	22000001	23000000	Chr02	4000001	5000000	d
2	27000001	28000000	Chr02	8000001	9000000	b
10	16000001	17000000	Chr12	24000001	25000000	c
2	20000001	21000000	Chr04	30000001	31000000	b
4	15000001	16000000	Chr09	19000001	20000000	c
4	15000001	16000000	Chr03	25000001	26000000	c
7	1	1000000	Chr04	14000001	15000000	c
8	11000001	12000000	Chr10	6000001	7000000	c
1	11000001	12000000	Chr03	13000001	14000000	c
4	18000001	19000000	Chr11	6000001	7000000	d
12	17000001	18000000	Chr06	28000001	29000000	b
12	17000001	18000000	Chr11	23000001	24000000	c
11	16000001	17000000	Chr08	10000001	11000000	c
9	2000001	3000000	Chr06	12000001	13000000	c
3	20000001	21000000	Chr04	30000001	31000000	d
3	29000001	30000000	Chr02	20000001	21000000	c
7	12000001	13000000	Chr10	9000001	10000000	c
5	3000001	4000000	Chr06	14000001	15000000	c
9	19000001	20000000	Chr08	28000001	28439308	c
5	23000001	24000000	Chr04	4000001	5000000	f
6	22000001	23000000	Chr09	17000001	18000000	f
1	10000001	11000000	Chr04	22000001	23000000	e
12	19000001	20000000	Chr04	16000001	17000000	d
3	21000001	22000000	Chr02	23000001	24000000	c
3	15000001	16000000	Chr12	5000001	6000000	b
3	17000001	18000000	Chr01	28000001	29000000	f
3	21000001	22000000	Chr04	6000001	7000000	c
6	8000001	9000000	Chr11	21000001	22000000	c
4	4000001	5000000	Chr03	12000001	13000000	c
7	2000001	3000000	Chr07	24000001	25000000	a
11	12000001	13000000	Chr07	21000001	22000000	c
5	15000001	16000000	Chr04	8000001	9000000	c
11	8000001	9000000	Chr06	26000001	27000000	b
4	30000001	31000000	Chr02	33000001	34000000	d
2	6000001	7000000	Chr06	1	1000000	d
7	16000001	17000000	Chr02	9000001	10000000	c
1	17000001	18000000	Chr06	21000001	22000000	b
7	6000001	7000000	Chr02	18000001	19000000	b
8	20000001	21000000	Chr04	31000001	32000000	c
7	17000001	18000000	Chr03	36000001	36406689	c
12	3000001	4000000	Chr10	10000001	11000000	c
5	5000001	6000000	Chr01	38000001	39000000	c
12	6000001	7000000	Chr01	33000001	34000000	c
10	17000001	18000000	Chr02	10000001	11000000	c
2	9000001	10000000	Chr04	1000001	2000000	d
4	13000001	14000000	Chr10	13000001	14000000	c
7	3000001	4000000	Chr03	35000001	36000000	c
3	27000001	28000000	Chr02	1000001	2000000	g
10	17000001	18000000	Chr04	28000001	29000000	b
10	3000001	4000000	Chr10	5000001	6000000	b
12	12000001	13000000	Chr04	30000001	31000000	c
2	5000001	6000000	Chr02	14000001	15000000	a
4	5000001	6000000	Chr04	33000001	34000000	a
1	5000001	6000000	Chr06	30000001	31000000	d
2	1000001	2000000	Chr07	12000001	13000000	c
5	28000001	29000000	Chr03	31000001	32000000	c
1	24000001	25000000	Chr05	19000001	20000000	d
8	24000001	25000000	Chr03	29000001	30000000	c
5	9000001	10000000	Chr11	11000001	12000000	c
1	40000001	41000000	Chr10	3000001	4000000	c
8	19000001	20000000	Chr07	1000001	2000000	b
12	22000001	23000000	Chr02	11000001	12000000	b
1	4000001	5000000	Chr11	8000001	9000000	e
3	10000001	11000000	Chr07	22000001	23000000	e
6	7000001	8000000	Chr01	27000001	28000000	c
1	29000001	30000000	Chr10	1000001	2000000	f
