chrX	startX	stopX	chrY	startY	stopY
4	7417833	7418438	Chr04	5568165	5568768
12	7195720	7196072	Chr12	7062004	7062356
1	18681625	18687394	Chr01	18398869	18404643
12	10619660	10635938	Chr12	10954878	10971165
9	8549454	8561500	Chr09	406365	418431
10	20798576	20809874	Chr12	7971029	7982333
11	15164159	15165282	Chr05	17275848	17276953
6	7485647	7488548	Chr06	6964489	6967388
8	6730175	6730798	Chr08	6182421	6183043
6	19540254	19540538	Chr06	17856213	17856497
4	8873839	8875386	Chr11	15852176	15850637
3	2950932	2962599	Chr03	27660567	27648924
4	16856718	16857227	Chr04	15959589	15960112
8	6057699	6068099	Chr08	5241385	5251784
10	3178877	3184906	Chr10	3383053	3389061
3	16660893	16665018	Chr03	16732766	16736982
4	3763422	3767473	Chr04	24358932	24362983
11	25590962	25602899	Chr11	24459316	24471236
10	9184814	9185527	Chr10	839845	840560
4	11718001	11718992	Chr07	16856917	16857899
2	30424171	30424589	Chr02	30877185	30877612
5	21628036	21629006	Chr01	18566081	18565091
8	18098910	18099000	Chr08	15861406	15861316
1	12451305	12456044	Chr01	12616079	12620793
4	5578489	5579722	Chr04	6051164	6049849
11	1653057	1654961	Chr11	1615629	1617537
3	37016317	37019465	Chr03	23009525	23006373
8	2430818	2433230	Chr08	2708862	2711317
8	4680506	4693435	Chr08	4233201	4246127
4	23998438	24016663	Chr04	23254928	23273227
10	8002268	8003234	Chr10	7366698	7367661
4	19625883	19675297	Chr04	18920758	18970168
1	21828246	21854393	Chr01	20855292	20881431
9	18037730	18038137	Chr09	16281879	16282294
3	15467898	15471542	Chr03	15410353	15413984
10	5276961	5297854	Chr10	5542123	5563007
8	10854937	10858692	Chr01	21263526	21259786
12	17780380	17785585	Chr10	15678771	15673580
1	1708004	1755139	Chr01	1764650	1811741
9	3834732	3835713	Chr09	3485962	3486942
5	15204048	15227517	Chr05	14171922	14195409
6	4659305	4659590	Chr06	3850283	3850569
2	18360955	18363947	Chr05	8045411	8042437
9	4142483	4142593	Chr09	9834279	9834169
3	23442819	23444351	Chr07	14730628	14729066
1	30485772	30518191	Chr01	29561229	29593616
10	13959011	13959631	Chr12	14272134	14272764
2	27090621	27093917	Chr11	3885807	3889100
1	20456305	20456383	Chr01	2367551	2367629
10	10028623	10030697	Chr10	9504873	9502799
8	14546829	14547973	Chr08	15547520	15548674
1	19708213	19710447	Chr01	19115696	19117946
11	27081120	27082684	Chr11	26113499	26115045
1	14229436	14229629	Chr01	14376847	14377041
9	7809009	7809760	Chr09	6657937	6658696
1	10689288	10689394	Chr01	30570906	30571012
1	962943	972735	Chr01	1013784	1023559
5	18346167	18350021	Chr05	17073054	17076891
6	24012787	24013165	Chr06	22792969	22793348
4	4160817	4177820	Chr04	4403329	4420297
1	18735590	18740185	Chr01	18452095	18456691
9	10153549	10154613	Chr09	8114915	8115976
11	9326044	9326209	Chr11	8716609	8716774
5	8381914	8385036	Chr08	16174622	16171496
10	4872246	4873692	Chr10	5106809	5108243
12	23543700	23545294	Chr12	22112818	22114420
5	21955667	21991911	Chr05	20285578	20321807
11	7781664	7797867	Chr11	7489840	7506072
8	18047069	18056561	Chr08	19264168	19273790
7	17630661	17631171	Chr07	16769732	16770242
2	25818165	25839105	Chr02	26339737	26360677
9	22026700	22027357	Chr09	3652721	3652060
6	15712936	15714069	Chr06	14292669	14293802
3	33432821	33465842	Chr03	30605412	30638443
1	13085532	13086196	Chr01	14155699	14155041
10	5715640	5716806	Chr10	6788859	6787703
6	19702151	19713007	Chr09	1266272	1255442
12	5816005	5825451	Chr12	5797476	5806922
10	5412157	5412730	Chr10	5865841	5866378
8	15132382	15133396	Chr11	7838281	7837272
9	21952867	21954278	Chr09	19884085	19885504
1	27798906	27816103	Chr01	26640309	26657508
12	7369854	7373276	Chr12	7271581	7274977
9	18412350	18432951	Chr09	16660919	16681415
4	11912378	11918214	Chr04	11163745	11169557
12	12060719	12065115	Chr12	12524830	12529252
3	15198853	15200838	Chr03	15015346	15017329
1	609809	609934	Chr10	17777006	17777130
3	24783323	24791423	Chr03	23882277	23890378
5	23635181	23638133	Chr03	14420573	14423543
1	8339796	8343740	Chr01	8319878	8323788
11	8888962	8889437	Chr11	22644686	22645164
1	36647513	36648754	Chr08	10949258	10948019
12	21702955	21703458	Chr12	20249707	20250214
11	29611441	29611510	Chr11	27077514	27077583
6	20076996	20081993	Chr04	29438837	29433830
11	8448807	8448969	Chr11	8048683	8048845
12	16166567	16167604	Chr12	15235805	15236814
9	20800750	20823876	Chr09	18922487	18945659
8	18138312	18140080	Chr08	19343228	19345009
7	25447805	25465053	Chr07	24428134	24445384
9	1998307	1999224	Chr04	2970205	2969270
8	16888328	16889172	Chr08	18123837	18124716
2	916510	918206	Chr01	12906140	12907837
10	53592	56144	Chr10	272412	274971
10	13766500	13780606	Chr10	13550402	13564450
10	21609075	21611080	Chr11	1553709	1551735
4	20511027	20512886	Chr04	4696830	4698688
1	1200551	1203158	Chr01	1249576	1252196
11	9411030	9413916	Chr11	8792104	8794987
2	23884256	23884350	Chr08	15197337	15197431
1	29268535	29288548	Chr01	28332533	28352563
3	28990311	29018001	Chr03	26827190	26854859
8	18910040	18912024	Chr08	3950459	3952438
3	20219673	20224787	Chr01	18203365	18208489
11	215947	216288	Chr10	161467	161125
9	2818175	2819091	Chr09	19932566	19933472
4	15694778	15701459	Chr04	15014772	15021470
2	8318633	8321508	Chr02	9603762	9600881
6	9265619	9682290	Chr06	7936067	8352723
10	8611069	8615457	Chr10	8035222	8039594
1	32579196	32580342	Chr01	22032962	22031821
7	25000808	25001355	Chr07	23952870	23952325
12	12096866	12106609	Chr12	12580895	12590659
3	10596394	10597854	Chr03	10826556	10828016
2	29698366	29698842	Chr02	18011438	18011915
6	15626659	15634203	Chr06	14162001	14169535
8	10910644	10913126	Chr11	16823877	16821416
4	8385962	8388490	Chr06	13294450	13291925
8	5492424	5534771	Chr08	5049727	5092070
2	9239558	9240213	Chr02	9529127	9529782
12	24441516	24443556	Chr12	23332202	23334230
4	3234751	3237039	Chr04	5665230	5662940
9	8853272	8858828	Chr09	5915094	5920648
11	17181638	17183473	Chr11	16998801	17000635
6	16060126	16061614	Chr10	8875072	8876559
9	17965372	17971959	Chr09	1790613	1797198
4	22519232	22600966	Chr04	21720853	21802571
1	29052564	29071080	Chr01	28134882	28153293
11	27152421	27154121	Chr11	26178740	26180439
4	23745012	23746351	Chr07	8321991	8320666
5	7481223	7481992	Chr05	7038595	7039366
6	22617904	22618531	Chr12	9339466	9340087
4	3653443	3653649	Chr04	3650746	3650952
5	4735475	4735903	Chr05	4228791	4229218
1	16359740	16363014	Chr01	12934355	12937645
11	26263578	26264506	Chr11	25406994	25407913
6	13617686	13636680	Chr06	12552314	12571316
1	5492185	5494307	Chr01	5892000	5894130
9	8385927	8386722	Chr09	7031410	7032208
5	11606134	11606948	Chr09	8906791	8905978
2	1183923	1185123	Chr02	1192550	1193750
12	13471342	13482118	Chr12	13761926	13772583
4	11933415	11944874	Chr04	11186477	11197859
8	6671585	6673721	Chr08	6137959	6140094
5	7482938	7483128	Chr05	7040521	7040718
12	16261334	16270976	Chr12	15329155	15338854
3	23598713	23601924	Chr03	22581024	22584240
4	15520123	15529811	Chr04	14810824	14820512
11	21451993	21473080	Chr11	20719691	20740766
3	23179591	23182744	Chr10	13174852	13171705
12	7197304	7222687	Chr12	7080865	7106162
6	4742090	4742297	Chr06	3930890	3931098
3	7987681	8034045	Chr03	8196247	8242637
4	5362276	5367386	Chr04	4559118	4564228
4	993744	993926	Chr04	1226921	1227103
11	5668944	5684668	Chr11	5514969	5530721
10	8777745	8779110	Chr10	8198479	8199840
10	10343389	10346497	Chr10	9897891	9900999
11	22399840	22400488	Chr11	21363600	21364292
2	2764586	2768978	Chr02	2816828	2821342
6	1593761	1594179	Chr06	1431110	1431535
1	34813753	34815115	Chr12	12114855	12113490
5	7050834	7058950	Chr05	6528945	6537072
2	30563140	30564559	Chr02	9348833	9350260
1	13587083	13587468	Chr01	13599490	13599883
1	33462999	33470399	Chr01	32768881	32776270
1	12465232	12470052	Chr01	12639033	12643867
7	17360081	17365014	Chr07	16537650	16542594
2	20038876	20049480	Chr02	20700738	20711333
6	20416153	20472076	Chr06	18689148	18745201
12	14332259	14341002	Chr05	21423752	21432490
12	22505235	22837857	Chr12	21009363	21341954
4	1114495	1114796	Chr04	1344171	1344472
12	12255495	12255984	Chr12	9968996	9969489
2	20199701	20201720	Chr02	20862125	20864143
10	988695	990423	Chr11	9835178	9836895
9	19094694	19114157	Chr09	17323723	17343027
4	5405815	5406768	Chr04	5619314	5620271
1	2082411	2083254	Chr01	2148762	2149603
6	6980809	7013981	Chr06	6345699	6378951
2	2872001	2875541	Chr02	2922204	2925735
3	30007175	30013563	Chr03	27502509	27508848
5	8198300	8207966	Chr05	7720313	7730019
5	11870034	11972293	Chr05	11288429	11390706
9	11821440	11822058	Chr09	9766386	9767022
10	886114	888020	Chr12	7072583	7074486
3	30596689	30601141	Chr11	20199003	20194590
1	22733471	22734739	Chr01	21725882	21727152
6	13709721	13710650	Chr06	12676889	12677816
1	22646209	22647644	Chr01	31670128	31668693
6	9696503	9699385	Chr04	7169921	7172794
3	14736286	14760123	Chr03	14671691	14695541
9	3063934	3067190	Chr09	2906920	2910181
5	3754816	3761934	Chr07	20407248	20400132
9	2364850	2370392	Chr09	2476230	2481771
10	23321522	23337415	Chr10	23504992	23520795
8	23285460	23290459	Chr08	24249321	24254405
11	21329739	21331707	Chr11	20616553	20618513
1	3450205	3495639	Chr01	3509636	3555090
5	3851885	3854763	Chr05	3347281	3350136
1	4761809	4765907	Chr01	5177617	5181721
10	12429479	12446496	Chr10	12146282	12163255
4	2620916	2621426	Chr04	2957985	2958495
9	8979206	8999890	Chr09	7211707	7232359
7	8467956	8493960	Chr07	7853947	7879972
12	6925887	6927894	Chr12	7009653	7011677
10	5796207	5841109	Chr10	6186100	6230886
7	3094436	3164933	Chr07	2584388	2654900
1	39595970	39601646	Chr01	39124563	39130220
11	4200517	4205077	Chr11	4153031	4157613
11	21560606	21561257	Chr11	27212995	27213629
8	3391057	3426344	Chr08	3093683	3128887
9	11768855	11769121	Chr09	9764984	9764718
1	2434932	2441823	Chr01	2515936	2522845
3	5573518	5579364	Chr03	5853295	5859118
3	16522083	16523542	Chr03	16551112	16552563
12	14995419	15000255	Chr12	10317681	10312847
4	28761630	28762106	Chr04	28187911	28188396
12	16431997	16433126	Chr12	7923605	7922474
12	8848012	8848511	Chr12	9380217	9380718
10	3356425	3358817	Chr10	3696332	3698656
8	23616556	23623497	Chr08	24602561	24609496
9	11070733	11071343	Chr09	8930264	8930870
8	18094971	18095634	Chr08	19309049	19309725
1	35830354	35830726	Chr01	35197149	35197521
6	15553628	15557028	Chr06	14048626	14052015
11	2803388	2808339	Chr11	2823307	2828244
5	6576445	6578047	Chr05	6097674	6099282
1	14089134	14090290	Chr01	14273438	14274599
9	19652362	19654640	Chr09	17860436	17862655
5	21013285	21016146	Chr08	5755025	5757892
9	7068487	7076848	Chr09	5885987	5894338
6	94367	94928	Chr01	12294682	12294120
1	29632993	29639370	Chr01	28697014	28703402
11	7066761	7067020	Chr11	10668991	10669250
12	23624894	23663863	Chr12	22159846	22198893
8	950070	1033998	Chr08	987426	1071365
10	3373114	3373525	Chr10	3715685	3716096
5	3520611	3526101	Chr01	19801889	19796387
7	1636609	1641285	Chr07	1415144	1419894
10	22229606	22230082	Chr10	22531839	22532316
5	27807619	27842914	Chr05	26126188	26161524
3	8164425	8165632	Chr02	110308	109138
4	984553	988891	Chr03	32109643	32105308
6	21642464	21643432	Chr06	20094389	20095388
1	5535371	5536071	Chr01	5952996	5953695
8	208897	209611	Chr03	31728189	31727464
6	23286898	23287951	Chr08	23744311	23743257
8	3724980	3726049	Chr08	3432939	3434008
4	8030342	8031719	Chr05	11530587	11529239
11	7820712	7832522	Chr11	13126120	13114329
3	23247000	23250376	Chr03	16726423	16729821
7	15925664	15928993	Chr07	16346709	16350028
4	14147925	14150554	Chr04	13327180	13329810
11	21588476	21589062	Chr11	20783855	20784444
9	5926871	5928996	Chr05	14601388	14599267
5	7061736	7062121	Chr05	6536940	6537368
1	19009844	19010370	Chr12	20566972	20566446
4	16495258	16496603	Chr04	15569850	15571194
5	27801457	27803728	Chr05	26118596	26120878
12	13323494	13324156	Chr01	28853462	28852803
4	28472892	28473689	Chr04	28016335	28017137
2	9064247	9066879	Chr02	9335552	9338183
2	10675862	10679904	Chr05	14413809	14409778
12	15467842	15468101	Chr12	22262271	22262017
7	14483784	14487486	Chr10	11631350	11627627
11	28206118	28206312	Chr11	26874074	26873880
10	7799941	7802799	Chr03	24399079	24401933
12	7775725	7777181	Chr12	7768107	7769595
10	9560180	9585490	Chr10	9357835	9383221
3	21775922	21779968	Chr01	18782847	18778801
6	3980982	3981482	Chr01	21321676	21321176
8	11788413	12022539	Chr08	12031113	12265229
7	20973226	20974031	Chr06	14696434	14695616
11	9437945	9440993	Chr11	23242939	23246031
5	20411357	20412224	Chr05	18747755	18748621
9	14582289	14584045	Chr09	12757204	12758933
8	3922309	3928569	Chr08	3628885	3635142
11	143238	152523	Chr11	60209	69569
7	26855596	26880916	Chr07	25819001	25844274
10	16435485	16450356	Chr10	16470112	16484950
1	5485335	5489739	Chr01	5884170	5888596
11	19732720	19748821	Chr11	19091338	19107382
6	26706071	26711488	Chr06	25467088	25472517
6	26748686	26752980	Chr06	25511540	25515865
12	16068918	16073429	Chr12	15137753	15142171
1	22346851	22350886	Chr01	21323043	21327078
3	23631027	23631182	Chr12	14098822	14098977
7	17211102	17211603	Chr07	881628	882123
10	15413774	15427030	Chr10	15269174	15282444
10	7073982	7078501	Chr10	6952741	6957259
2	9811235	9812368	Chr02	10347017	10348174
6	26276315	26552855	Chr06	25037389	25313974
3	13538848	13539601	Chr05	10123223	10122482
9	19426382	19468237	Chr09	17649602	17691538
9	6241543	6241779	Chr09	4578753	4578516
4	11205175	11205626	Chr04	14295577	14296035
11	23530488	23535746	Chr11	22479628	22484880
10	15486009	15488437	Chr10	15337717	15340125
8	15828708	15828810	Chr08	15859716	15859614
3	9234768	9237208	Chr03	9443326	9445815
7	5292969	5296537	Chr11	3655707	3652183
10	16222641	16274028	Chr10	16231670	16283069
2	25501880	25603631	Chr02	26237884	26339636
3	21719953	21722684	Chr03	20846352	20849081
1	30073852	30093806	Chr01	29114846	29134876
4	28403210	28403632	Chr04	27947612	27947145
9	2528842	2529190	Chr09	10740170	10740516
6	20668604	20684553	Chr06	19000435	19016384
12	11456112	11456553	Chr12	14712703	14713144
5	1484182	1484435	Chr08	17860561	17860308
12	16625617	16625904	Chr11	12007106	12007392
11	29684177	29684643	Chr11	26123673	26124135
10	12449183	12454746	Chr10	12166448	12171966
11	17973172	17973606	Chr11	17928334	17928768
5	1385453	1386991	Chr05	1384606	1386147
8	18862682	18863315	Chr08	20079408	20080038
1	5521238	5535016	Chr01	5938990	5952691
3	21782083	21785237	Chr03	20905020	20908160
12	6716410	6723138	Chr12	6710856	6717585
9	9146105	9149746	Chr09	7301433	7305065
6	7374977	7375597	Chr08	2010459	2009846
1	12459154	12459409	Chr01	12636855	12637109
4	20707491	20710451	Chr04	19673184	19676141
1	27539460	27556624	Chr01	26395684	26412750
10	5058166	5064199	Chr10	5349110	5355147
4	523977	528209	Chr04	803371	807602
6	6544441	6546036	Chr06	5884864	5886505
11	9410523	9411172	Chr08	13996661	13996011
5	2150963	2153555	Chr05	1808632	1811250
1	30055763	30056195	Chr01	13027406	13027837
12	12692699	12695720	Chr12	12879386	12882388
10	10764104	10767570	Chr10	10240417	10243896
8	8375085	8375202	Chr08	8099505	8099618
4	17619241	17634906	Chr04	16792432	16808076
3	33297861	33315684	Chr03	30453263	30471192
8	7105544	7107255	Chr08	6562642	6564392
9	18306219	18320138	Chr09	16565217	16579110
5	9935645	9935947	Chr05	19032437	19032739
11	26901764	26906543	Chr11	25993091	25997876
6	13325181	13328402	Chr06	12169154	12172371
10	17321624	17323886	Chr10	17351991	17354251
1	12978815	12993085	Chr01	13133869	13148116
11	22334518	22334721	Chr11	25312770	25312973
5	11655628	11656454	Chr10	1279107	1278281
8	3500430	3500549	Chr08	3252826	3252945
11	17774628	17775729	Chr11	26427131	26428170
8	14898399	14902002	Chr06	3490965	3487368
4	28663737	28669525	Chr04	28341408	28347208
10	22052229	22167653	Chr10	22355991	22471418
1	19554602	19554725	Chr01	31240373	31240251
4	973470	973951	Chr04	1207525	1207995
6	10246765	10247275	Chr08	20922219	20921713
4	10077316	10078516	Chr04	4703812	4705002
11	15559707	15580561	Chr11	15489942	15510807
7	12649292	12650930	Chr04	11249381	11251026
7	24627923	24659945	Chr07	23577196	23609210
11	6875344	6878106	Chr11	6941859	6944635
10	12273153	12274365	Chr10	12021353	12022565
1	29675739	29677984	Chr01	28741861	28744091
2	18793349	18794154	Chr06	20551102	20551947
9	17704220	17769530	Chr09	15959802	16025248
4	15591205	15591539	Chr04	14869844	14870143
4	16325862	16334016	Chr04	15298822	15307040
6	6548931	6553192	Chr06	5888501	5892731
2	26649459	26651829	Chr11	14800061	14802439
11	13703319	13708636	Chr11	13547923	13553237
8	6893596	6894306	Chr08	6748809	6749526
9	22009916	22010203	Chr09	17922400	17922685
12	7774315	7775725	Chr12	7739137	7740523
7	11013107	11013358	Chr04	12388995	12388744
4	11422007	11423518	Chr04	13293846	13292336
12	7142810	7143668	Chr12	7046534	7047416
11	3014771	3038810	Chr11	3044034	3068029
6	20955811	20968269	Chr06	19314778	19327267
3	23726936	23729923	Chr01	35187821	35184835
3	16633262	16638257	Chr11	536623	531567
8	7173314	7173478	Chr08	5994589	5994424
8	13185016	13284862	Chr08	13591703	13691574
6	12904730	12906167	Chr12	14247912	14246467
3	30000748	30001622	Chr03	27495787	27496655
12	9074248	9079997	Chr03	19327251	19321482
1	35559841	35561248	Chr05	18441904	18443338
4	19540708	19544010	Chr04	18816933	18820247
6	19263941	19274195	Chr06	17589622	17599933
6	13448350	13448865	Chr06	12379043	12379558
8	4249450	4249719	Chr08	1612255	1611984
2	5774659	5775140	Chr06	1838731	1838246
5	2252388	2289326	Chr05	1916098	1953000
12	7174361	7178161	Chr12	15897940	15894055
4	1353998	1354780	Chr04	3978876	3978094
9	3309106	3315840	Chr09	226843	220120
8	12628053	12629986	Chr08	6011707	6009761
9	7315399	7328038	Chr09	6116958	6129575
1	7907744	7907897	Chr03	18646286	18646133
5	7078805	7081611	Chr05	5324675	5321866
2	6193881	6205011	Chr12	10753134	10764290
6	20083650	20085680	Chr03	23520825	23518791
3	20538730	20543578	Chr03	19794381	19799230
6	5877136	5879610	Chr06	5230395	5232870
8	18389726	18391626	Chr08	19582395	19584258
3	20235854	20245368	Chr03	19610631	19620131
5	14324854	14457181	Chr05	13514237	13646540
5	21272221	21353569	Chr05	19776045	19857516
1	29595644	29627393	Chr01	28655103	28686882
4	3570176	3571625	Chr04	3575334	3576785
8	8008569	8010151	Chr08	7671644	7673270
2	9391893	9401058	Chr02	9732300	9741474
11	25576645	25590962	Chr11	24441809	24456165
9	8955668	8971458	Chr09	7197410	7213118
1	23064135	23065545	Chr01	2146356	2144954
6	18748782	18755485	Chr06	17053169	17059871
1	22153089	22162396	Chr01	21151502	21160854
11	12669059	12677496	Chr11	7686184	7694627
4	988891	991565	Chr04	1219883	1222650
4	1447199	1447281	Chr04	5943545	5943627
4	19662834	19664621	Chr10	8363508	8365295
4	11816627	11817577	Chr04	11071160	11072110
4	74028	74324	Chr11	21135119	21135422
4	12276357	12276913	Chr04	11538464	11539020
2	17768599	17787709	Chr02	18308431	18327490
11	26491358	26492920	Chr11	25639588	25641146
12	12323277	12324973	Chr01	39940844	39939148
10	382446	401474	Chr10	577641	596704
3	13296239	13550776	Chr03	13304197	13558741
9	4410190	4413014	Chr09	1366027	1363239
6	4626290	4626939	Chr06	3827796	3828434
5	25850622	25870736	Chr05	24216255	24236361
3	26826651	26831626	Chr08	18088846	18093816
11	21565683	21566101	Chr11	22659883	22660302
11	8783982	8805164	Chr11	8305904	8327081
1	22467339	22469868	Chr01	21435940	21438465
12	23731718	23732184	Chr12	22278373	22278853
2	19465673	19475340	Chr02	20108349	20118013
8	7103190	7105255	Chr08	6559894	6562035
3	33360163	33388635	Chr03	30522175	30550683
1	536924	539133	Chr01	577401	579630
2	16344252	16345259	Chr02	16920469	16921475
1	40918344	40935991	Chr01	40352130	40369751
1	26322612	26433229	Chr01	25194773	25305445
7	17192235	17194939	Chr07	16410819	16413514
4	528448	540447	Chr04	807598	819604
11	24818520	24819502	Chr11	23932126	23933111
9	7789713	7790636	Chr09	6621554	6622475
1	34283409	34285247	Chr01	33641131	33642967
9	18432947	18491575	Chr09	16681531	16740273
1	5517341	5517850	Chr01	5935203	5935716
9	2175712	2176504	Chr09	2659514	2660307
4	19809662	19810027	Chr04	19443658	19443293
7	18018988	18104269	Chr07	17177358	17262584
4	3518940	3521523	Chr04	3513816	3516400
6	24650893	24651455	Chr03	18066086	18065524
2	17630657	17631416	Chr02	18189281	18190069
1	13531391	13531982	Chr01	13560179	13560774
2	24130108	24130480	Chr02	24903999	24904372
5	2621057	2641145	Chr05	2305812	2325911
12	12099349	12100045	Chr04	10036119	10035425
11	10521026	10521295	Chr11	1019689	1019409
2	27893242	27893794	Chr02	8475773	8476342
11	25008457	25009600	Chr01	5865604	5864455
8	16334949	16338526	Chr08	17591379	17594944
4	12398627	12398861	Chr04	15875879	15876103
2	9728034	9749715	Chr02	10231954	10253634
11	13323988	13325367	Chr11	12943189	12944568
2	33762537	33779424	Chr02	34364234	34381039
11	24041610	24042932	Chr11	25187890	25186660
6	6623344	6624384	Chr06	5999987	6001121
11	20010911	20022189	Chr11	19362613	19373880
3	1852964	1863114	Chr03	2147873	2157992
8	23240734	23243830	Chr08	6101093	6104183
8	23788869	23789111	Chr11	21700866	21700622
9	4150334	4150779	Chr09	9833889	9833422
4	1813672	2014319	Chr04	1698478	1899049
1	12995077	12996988	Chr09	7693963	7695876
2	17145781	17146183	Chr06	23518528	23518929
1	2615854	2616395	Chr01	2444088	2444629
2	24225344	24225813	Chr04	23229816	23229365
12	20619939	20623384	Chr12	19464943	19468438
7	2138095	2138539	Chr07	2007162	2007606
6	7959269	7959523	Chr06	20005441	20005165
4	20849134	20850628	Chr04	19817945	19819438
12	7761943	7762149	Chr12	7720682	7720886
8	8952773	9083012	Chr08	9195506	9325729
11	24795611	24796603	Chr11	25638580	25639591
4	3269707	3269969	Chr04	3416545	3416807
10	7613656	7615099	Chr07	2221013	2219573
9	11905279	11906400	Chr09	9902284	9903391
4	14151752	14152250	Chr04	13329998	13330499
4	14967694	14969087	Chr04	14135334	14136759
2	8315237	8316451	Chr02	9606758	9605569
5	15764739	15784500	Chr05	14726544	14746299
9	4731770	4732582	Chr09	4138847	4139660
9	8602832	8608551	Chr09	7149057	7154771
8	3345888	3346193	Chr08	3016157	3016462
10	23122248	23122505	Chr10	10642896	10642645
9	32293	37641	Chr10	7297378	7302677
9	8591873	8602805	Chr09	7138581	7149529
11	10419645	10442213	Chr11	9654686	9677264
9	2454277	2456319	Chr09	2547199	2549234
12	13180812	13186708	Chr02	12391067	12385176
11	27171825	27175080	Chr11	25712329	25709075
1	14951510	14952562	Chr09	11482886	11481837
9	9216190	9220224	Chr09	144065	148090
8	7857609	7857985	Chr08	1609988	1609588
3	16502421	16504361	Chr03	16519441	16521411
8	14364431	14365022	Chr08	15270504	15271125
1	191796	220664	Chr01	203297	232098
12	15980723	15983168	Chr12	15060095	15062531
2	18114986	18115362	Chr07	13186574	13186195
7	6346688	6348429	Chr04	2266612	2264866
8	6608530	6611382	Chr08	27281399	27278538
4	28750341	28751261	Chr04	28233182	28234086
10	8390980	8397813	Chr10	7872683	7879513
9	10494512	10495267	Chr09	4596700	4595908
9	9939399	9957102	Chr09	7933285	7951000
11	2885406	2903014	Chr11	2900133	2917880
5	4557484	4557905	Chr11	10789205	10789624
6	2185959	2186573	Chr06	2111073	2111683
4	2718070	2718697	Chr04	2969310	2969926
11	25169714	25169847	Chr11	2255871	2255738
11	12955607	12956769	Chr11	12327951	12326790
1	29639711	29640663	Chr01	26748222	26749176
9	7995209	7995502	Chr11	5880904	5880626
12	10620722	10621629	Chr06	14125419	14124512
3	309041	317945	Chr03	366609	375477
1	10593577	10655063	Chr01	10843710	10905187
11	17813857	17814879	Chr04	21347380	21348402
12	16740377	16745198	Chr12	15599216	15604026
1	5504643	5505617	Chr01	5908187	5909250
10	3446465	3449484	Chr10	3839619	3842617
12	7704888	7734042	Chr12	7662030	7691094
5	18653716	18688072	Chr05	17337281	17371577
3	12372928	12445657	Chr03	12707207	12780010
5	8208105	8212822	Chr05	7730019	7734736
1	19363427	19371801	Chr09	4212140	4203775
4	30207726	30208076	Chr04	29854776	29855118
5	25885533	25922892	Chr05	24263880	24301264
11	19846447	19855351	Chr11	19210086	19219036
4	1068304	1088945	Chr04	1305210	1325887
8	4838119	4839087	Chr08	4388831	4389797
11	17595489	17600348	Chr07	6680646	6685514
11	23399539	23432270	Chr11	22348250	22380958
7	15623535	15663802	Chr07	14810109	14850408
4	16934488	16935752	Chr04	16033696	16034955
11	21627957	21628143	Chr11	20760937	20761128
10	9321936	9324055	Chr10	19460926	19458790
7	1963631	1979170	Chr07	1829564	1844983
9	8999890	9010419	Chr09	7232155	7242687
11	3908367	3920087	Chr11	304121	315858
12	12695726	12707310	Chr12	12888115	12899731
